G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,21-230,PHI,@,BOS,L (-17),0,26:37,2,7,.286,0,1,.000,5,5,1.000,1,5,6,0,2,0,0,2,9,8.3,-22,3.0
2,2015-10-30,21-232,PHI,,UTA,L (-28),0,25:29,4,9,.444,1,2,.500,3,4,.750,0,5,5,2,0,2,3,1,12,7.8,-1,3.0
3,2015-11-02,21-235,PHI,,CLE,L (-7),0,22:59,3,8,.375,0,1,.000,1,2,.500,1,1,2,1,1,0,2,3,7,1.7,+6,3.0
4,2015-11-04,21-237,PHI,@,MIL,L (-4),1,22:51,3,9,.333,0,3,.000,2,2,1.000,1,6,7,3,0,4,0,2,8,9.5,+22,3.0
5,2015-11-06,21-239,PHI,@,CLE,L (-6),1,27:09,3,5,.600,0,2,.000,2,4,.500,1,3,4,2,0,2,0,3,8,8.1,-12,3.0
6,2015-11-07,21-240,PHI,,ORL,L (-8),1,23:12,4,7,.571,1,3,.333,2,3,.667,0,4,4,0,0,1,1,2,11,7.4,-1,3.0
7,2015-11-09,21-242,PHI,,CHI,L (-23),1,29:19,4,12,.333,0,2,.000,3,4,.750,1,2,3,1,1,3,1,3,11,6.7,-26,3.0
8,2015-11-11,21-244,PHI,,TOR,L (-16),1,32:21,5,10,.500,0,1,.000,2,4,.500,5,5,10,1,1,2,0,3,12,13.1,-16,3.0
9,2015-11-13,21-246,PHI,@,OKC,L (-17),1,31:52,2,10,.200,0,3,.000,5,6,.833,2,4,6,1,0,2,2,5,9,3.1,-15,3.0
10,2015-11-14,21-247,PHI,@,SAS,L (-9),1,25:06,4,7,.571,2,3,.667,2,2,1.000,0,4,4,0,1,1,1,5,12,8.6,-4,3.0
11,2015-11-16,21-249,PHI,,DAL,L (-6),1,29:27,5,10,.500,0,1,.000,3,5,.600,1,2,3,0,1,0,3,5,13,4.5,-21,3.0
12,2015-11-18,21-251,PHI,,IND,L (-27),1,29:12,4,6,.667,0,1,.000,5,6,.833,2,2,4,1,0,3,2,1,13,12.4,-16,3.0
13,2015-11-20,21-253,PHI,@,CHO,L (-25),1,24:18,6,9,.667,0,0,,0,2,.000,3,2,5,1,1,1,1,4,12,9.8,-19,3.0
14,2015-11-21,21-254,PHI,@,MIA,L (-5),1,30:16,0,7,.000,0,2,.000,4,6,.667,2,4,6,3,0,2,1,3,4,2.2,-21,3.0
15,2015-11-23,21-256,PHI,@,MIN,L (-5),1,31:39,3,10,.300,1,3,.333,2,3,.667,2,4,6,1,0,2,2,4,9,3.9,-2,3.0
16,2015-11-25,21-258,PHI,@,BOS,L (-4),0,21:52,3,7,.429,0,2,.000,0,0,,2,3,5,2,1,2,2,2,6,5.6,+1,3.0
