G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,28-128,SAS,@,OKC,L (-6),1,29:11,2,9,.222,0,5,.000,0,0,,0,8,8,2,1,0,2,1,4,0.9,-4,2.0
2,2015-10-30,28-130,SAS,,BRK,W (+27),1,26:33,3,6,.500,2,5,.400,0,0,,2,2,4,2,0,0,2,0,8,6.4,+20,2.0
3,2015-11-01,28-132,SAS,@,BOS,W (+8),1,28:51,2,10,.200,0,5,.000,0,2,.000,1,5,6,1,4,1,0,1,4,4.2,-6,2.0
4,2015-11-02,28-133,SAS,@,NYK,W (+10),1,27:25,2,6,.333,0,2,.000,0,0,,2,3,5,1,0,1,1,0,4,3.3,+7,2.0
5,2015-11-04,28-135,SAS,@,WAS,L (-3),1,29:15,3,10,.300,3,8,.375,3,3,1.000,0,3,3,2,0,1,4,2,12,4.4,-17,2.0
6,2015-11-07,28-138,SAS,,CHO,W (+20),1,27:04,2,7,.286,1,3,.333,3,3,1.000,1,2,3,4,2,1,0,2,8,9.9,-3,2.0
7,2015-11-09,28-140,SAS,@,SAC,W (+18),1,26:56,2,6,.333,1,4,.250,0,0,,0,1,1,4,0,2,2,3,5,2.9,+21,2.0
8,2015-11-11,28-142,SAS,@,POR,W (+12),1,30:42,4,6,.667,3,4,.750,0,1,.000,0,4,4,2,0,0,0,2,11,9.8,-3,2.0
9,2015-11-14,28-145,SAS,,PHI,W (+9),1,28:22,1,9,.111,1,4,.250,0,0,,0,5,5,2,0,0,0,1,3,-0.4,+9,2.0
10,2015-11-16,28-147,SAS,,POR,W (+13),1,28:40,5,10,.500,2,5,.400,0,0,,0,1,1,2,0,1,1,1,12,8.0,+2,2.0
11,2015-11-18,28-149,SAS,,DEN,W (+11),1,27:39,2,6,.333,2,5,.400,2,2,1.000,0,3,3,4,0,1,1,1,8,7.6,+22,2.0
12,2015-11-20,28-151,SAS,@,NOP,L (-14),1,32:32,2,8,.250,2,4,.500,0,0,,0,8,8,3,0,1,2,1,6,4.0,-7,2.0
13,2015-11-21,28-152,SAS,,MEM,W (+10),1,28:22,4,10,.400,1,7,.143,0,0,,0,3,3,2,1,0,4,4,9,1.3,+8,2.0
14,2015-11-23,28-154,SAS,,PHO,W (+14),1,33:54,7,15,.467,4,9,.444,0,0,,1,5,6,4,0,0,1,2,18,13.5,+9,2.0
15,2015-11-25,28-156,SAS,,DAL,W (+5),1,25:31,2,9,.222,2,7,.286,0,0,,0,6,6,1,1,1,1,1,6,3.3,+1,2.0
16,2015-11-27,28-158,SAS,@,DEN,W (+11),1,27:04,3,9,.333,3,6,.500,0,0,,0,4,4,0,1,0,2,0,9,4.1,-6,2.0
17,2015-11-28,28-159,SAS,,ATL,W (+20),1,28:43,2,6,.333,1,2,.500,0,0,,2,0,2,3,1,1,3,2,5,3.0,+9,2.0
18,2015-11-30,28-161,SAS,@,CHI,L (-3),1,33:10,3,10,.300,1,5,.200,2,2,1.000,2,2,4,1,2,1,1,2,9,6.8,+5,2.0
19,2015-12-02,28-163,SAS,,MIL,W (+25),1,20:36,1,5,.200,0,4,.000,0,0,,0,4,4,2,2,0,0,3,2,2.3,+15,2.0
20,2015-12-03,28-164,SAS,@,MEM,W (+20),1,24:40,0,5,.000,0,3,.000,2,2,1.000,1,1,2,2,0,0,2,2,2,-1.9,+8,2.0
21,2015-12-05,28-166,SAS,,BOS,W (+3),1,28:52,2,6,.333,0,2,.000,2,2,1.000,1,3,4,0,0,0,1,4,6,1.6,-10,2.0
22,2015-12-07,28-168,SAS,@,PHI,W (+51),1,18:38,1,3,.333,1,3,.333,0,0,,0,2,2,1,0,0,1,2,3,0.8,+21,2.0
23,2015-12-09,28-170,SAS,@,TOR,L (-3),1,21:20,4,11,.364,2,7,.286,0,0,,1,3,4,1,3,0,1,1,10,7.8,-11,2.0
24,2015-12-11,28-172,SAS,,LAL,W (+22),1,18:10,1,3,.333,1,3,.333,0,0,,0,1,1,0,2,1,0,0,3,4.3,-2,2.0
25,2015-12-12,28-173,SAS,@,ATL,W (+25),1,21:04,4,8,.500,2,3,.667,0,0,,0,1,1,2,1,0,4,1,10,4.3,+2,2.0
26,2015-12-14,28-175,SAS,,UTA,W (+37),1,20:28,2,5,.400,0,3,.000,0,0,,1,6,7,5,0,0,0,2,4,6.5,+42,2.0
27,2015-12-16,28-177,SAS,,WAS,W (+19),1,18:30,3,7,.429,1,5,.200,0,0,,0,4,4,0,0,1,0,1,7,4.8,+10,2.0
28,2015-12-18,28-179,SAS,,LAC,W (+8),1,24:36,4,6,.667,2,4,.500,0,0,,1,3,4,0,0,2,1,2,10,8.6,-5,2.0
29,2015-12-21,28-182,SAS,,IND,W (+14),1,25:44,1,7,.143,1,5,.200,0,0,,0,5,5,2,0,1,1,1,3,0.7,+7,2.0
30,2015-12-23,28-184,SAS,@,MIN,W (+25),1,21:38,4,5,.800,3,4,.750,0,0,,1,6,7,0,0,0,0,0,11,11.6,+15,2.0
31,2015-12-25,28-186,SAS,@,HOU,L (-4),1,22:21,2,6,.333,1,2,.500,0,0,,0,1,1,0,1,1,1,1,5,2.2,-5,2.0
32,2015-12-26,28-187,SAS,,DEN,W (+15),1,32:14,3,6,.500,0,1,.000,2,2,1.000,1,3,4,1,1,1,1,1,8,7.6,+21,2.0
33,2015-12-28,28-189,SAS,,MIN,W (+6),1,21:18,3,7,.429,0,4,.000,0,0,,0,0,0,1,1,1,0,1,6,4.3,-14,2.0
34,2015-12-30,28-191,SAS,,PHO,W (+33),1,21:19,3,6,.500,1,3,.333,0,0,,0,2,2,1,0,1,1,2,7,4.2,+9,2.0
35,2016-01-02,28-194,SAS,,HOU,W (+18),1,32:05,6,9,.667,6,8,.750,0,0,,0,4,4,3,3,1,1,2,18,19.3,+12,2.0
