G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,25-237,GSW,,NOP,W (+16),1,29:26,3,12,.250,2,5,.400,2,2,1.000,3,5,8,2,1,0,1,5,10,5.8,+20,4.0
2,2015-10-30,25-240,GSW,@,HOU,W (+20),1,31:14,3,8,.375,1,2,.500,2,4,.500,1,6,7,7,2,1,1,2,9,12.1,+15,4.0
3,2015-10-31,25-241,GSW,@,NOP,W (+14),1,37:11,7,12,.583,4,5,.800,3,6,.500,1,5,6,4,1,1,3,4,21,16.3,+19,4.0
4,2015-11-02,25-243,GSW,,MEM,W (+50),1,26:57,4,7,.571,3,4,.750,0,0,,0,9,9,8,0,3,2,2,11,15.3,+41,4.0
5,2015-11-04,25-245,GSW,,LAC,W (+4),1,39:10,3,11,.273,1,6,.167,3,4,.750,2,3,5,5,2,0,3,5,10,5.9,+1,4.0
6,2015-11-06,25-247,GSW,,DEN,W (+15),1,33:03,5,9,.556,2,3,.667,0,0,,2,7,9,8,0,1,2,3,12,14.3,+18,4.0
7,2015-11-07,25-248,GSW,@,SAC,W (+9),1,37:50,3,8,.375,0,3,.000,4,4,1.000,4,5,9,7,2,0,5,3,10,10.6,+10,4.0
8,2015-11-09,25-250,GSW,,DET,W (+14),1,32:58,3,10,.300,0,1,.000,0,0,,2,8,10,9,4,2,1,0,6,14.7,+7,4.0
9,2015-11-11,25-252,GSW,@,MEM,W (+16),1,28:01,3,7,.429,1,4,.250,0,0,,1,5,6,4,0,2,3,6,7,4.3,-5,4.0
10,2015-11-12,25-253,GSW,@,MIN,W (+13),1,35:03,8,10,.800,2,3,.667,5,5,1.000,0,8,8,12,2,2,2,3,23,30.2,+34,4.0
11,2015-11-14,25-255,GSW,,BRK,W (+8),1,42:01,7,18,.389,2,7,.286,0,0,,2,8,10,12,2,4,4,4,16,17.6,+4,4.0
12,2015-11-17,25-258,GSW,,TOR,W (+5),1,35:09,3,6,.500,1,4,.250,2,2,1.000,0,9,9,5,1,1,3,4,9,9.3,+1,4.0
13,2015-11-19,25-260,GSW,@,LAC,W (+7),1,30:01,7,9,.778,3,3,1.000,2,2,1.000,0,6,6,9,1,1,3,4,19,20.7,+7,4.0
14,2015-11-20,25-261,GSW,,CHI,W (+12),1,35:08,3,8,.375,0,2,.000,3,4,.750,1,8,9,5,0,0,3,0,9,7.8,+9,4.0
15,2015-11-22,25-263,GSW,@,DEN,W (+13),1,31:16,5,7,.714,3,5,.600,0,0,,2,5,7,4,0,1,4,5,13,10.5,+10,4.0
16,2015-11-24,25-265,GSW,,LAL,W (+34),1,30:16,7,11,.636,2,5,.400,2,2,1.000,2,5,7,5,1,2,2,0,18,19.9,+36,4.0
17,2015-11-27,25-268,GSW,@,PHO,W (+19),1,33:13,4,4,1.000,2,2,1.000,4,6,.667,2,8,10,10,1,2,4,4,14,19.6,+23,4.0
18,2015-11-28,25-269,GSW,,SAC,W (+19),1,35:43,4,13,.308,0,4,.000,5,7,.714,2,9,11,12,1,4,3,4,13,16.4,+21,4.0
19,2015-11-30,25-271,GSW,@,UTA,W (+3),1,38:19,8,21,.381,0,4,.000,4,7,.571,7,5,12,8,0,0,5,2,20,13.5,+10,4.0
20,2015-12-02,25-273,GSW,@,CHO,W (+17),1,30:49,2,9,.222,0,4,.000,0,2,.000,0,11,11,9,0,3,5,2,4,3.6,+19,4.0
21,2015-12-05,25-276,GSW,@,TOR,W (+3),1,39:18,5,12,.417,0,2,.000,6,9,.667,0,9,9,6,0,1,1,4,16,13.4,+11,4.0
22,2015-12-06,25-277,GSW,@,BRK,W (+16),1,34:22,7,10,.700,2,2,1.000,6,9,.667,1,8,9,7,1,0,1,1,22,24.2,+12,4.0
23,2015-12-08,25-279,GSW,@,IND,W (+8),1,35:39,4,13,.308,0,2,.000,0,0,,1,8,9,4,1,1,4,4,8,2.5,+18,4.0
24,2015-12-11,25-282,GSW,@,BOS,W (+5),1,49:38,8,20,.400,2,9,.222,6,9,.667,1,10,11,8,5,5,2,5,24,25.8,+14,4.0
25,2015-12-12,25-283,GSW,@,MIL,L (-13),1,36:25,9,14,.643,1,2,.500,5,6,.833,3,8,11,5,1,1,6,4,24,19.5,-1,4.0
26,2015-12-16,25-287,GSW,,PHO,W (+25),1,31:02,5,14,.357,2,3,.667,4,4,1.000,4,7,11,10,5,1,2,1,16,23.4,+39,4.0
27,2015-12-18,25-289,GSW,,MIL,W (+9),1,40:17,7,15,.467,2,3,.667,5,8,.625,2,7,9,8,1,0,2,4,21,18.6,+15,4.0
28,2015-12-23,25-294,GSW,,UTA,W (+18),1,37:45,7,15,.467,1,4,.250,0,0,,2,7,9,6,1,2,3,1,15,14.0,+23,4.0
29,2015-12-25,25-296,GSW,,CLE,W (+6),1,38:43,8,17,.471,2,3,.667,4,7,.571,1,14,15,7,0,2,4,2,22,18.5,+14,4.0
30,2015-12-28,25-299,GSW,,SAC,W (+19),1,31:13,7,14,.500,5,7,.714,6,8,.750,3,5,8,4,2,0,6,2,25,18.8,+24,4.0
31,2015-12-30,25-301,GSW,@,DAL,L (-23),1,30:57,4,15,.267,1,4,.250,2,4,.500,2,7,9,4,2,0,2,3,11,6.4,-11,4.0
32,2015-12-31,25-302,GSW,@,HOU,W (+4),1,37:38,3,7,.429,1,2,.500,3,4,.750,0,11,11,16,2,2,2,1,10,21.4,-4,4.0
33,2016-01-02,25-304,GSW,,DEN,W (+3),1,43:50,10,16,.625,5,9,.556,4,6,.667,4,13,17,14,4,1,3,4,29,37.6,+17,4.0
34,2016-01-04,25-306,GSW,,CHO,W (+10),1,37:28,5,8,.625,1,2,.500,2,2,1.000,2,13,15,10,1,2,2,3,13,20.9,+5,4.0
35,2016-01-05,25-307,GSW,@,LAL,W (+21),1,27:41,2,5,.400,1,2,.500,4,8,.500,1,11,12,5,0,1,2,2,9,10.1,+31,4.0
36,2016-01-08,25-310,GSW,@,POR,W (+20),1,33:11,4,6,.667,0,2,.000,3,4,.750,1,12,13,10,0,1,2,3,11,16.8,+30,4.0
37,2016-01-09,25-311,GSW,@,SAC,W (+12),1,34:02,8,12,.667,5,6,.833,4,6,.667,0,9,9,4,2,2,4,3,25,22.7,+7,4.0
38,2016-01-11,25-313,GSW,,MIA,W (+8),1,35:37,8,14,.571,0,2,.000,6,11,.545,3,9,12,6,1,0,2,2,22,20.6,-7,4.0
39,2016-01-14,25-316,GSW,,LAL,W (+18),1,27:03,2,7,.286,0,2,.000,3,4,.750,3,6,9,5,3,0,4,1,7,8.5,+8,4.0
40,2016-01-16,25-318,GSW,@,DET,L (-18),1,36:00,1,7,.143,1,1,1.000,2,4,.500,2,3,5,9,1,2,2,2,5,7.9,+4,4.0
41,2016-01-18,25-320,GSW,@,CLE,W (+34),1,31:16,5,10,.500,2,4,.500,4,7,.571,2,5,7,10,0,2,1,2,16,19.3,+35,4.0
42,2016-01-20,25-322,GSW,@,CHI,W (+31),1,29:09,3,8,.375,0,3,.000,0,2,.000,2,8,10,9,1,0,0,3,6,10.7,+12,4.0
43,2016-01-22,25-324,GSW,,IND,W (+12),1,35:48,10,15,.667,0,2,.000,2,2,1.000,3,8,11,2,4,0,3,4,22,20.8,+19,4.0
44,2016-01-25,25-327,GSW,,SAS,W (+30),1,26:54,3,8,.375,0,1,.000,5,5,1.000,2,7,9,6,3,1,4,2,11,13.2,+29,4.0
45,2016-01-27,25-329,GSW,,DAL,W (+20),1,23:50,4,4,1.000,2,2,1.000,0,0,,0,3,3,4,0,0,5,5,10,5.5,+23,4.0
46,2016-01-30,25-332,GSW,@,PHI,W (+3),1,32:50,5,7,.714,0,0,,0,1,.000,1,12,13,9,2,1,7,3,10,11.8,+8,4.0
47,2016-01-31,25-333,GSW,@,NYK,W (+21),1,37:09,9,9,1.000,2,2,1.000,0,2,.000,1,9,10,10,2,2,4,2,20,25.5,+27,4.0
48,2016-02-03,25-336,GSW,@,WAS,W (+13),1,34:01,3,5,.600,0,1,.000,6,9,.667,1,9,10,12,1,5,4,5,12,18.8,+20,4.0
49,2016-02-06,25-339,GSW,,OKC,W (+8),1,35:37,3,9,.333,0,0,,3,6,.500,6,9,15,6,0,0,1,5,9,10.8,+9,4.0
50,2016-02-09,25-342,GSW,,HOU,W (+13),1,31:36,2,3,.667,0,0,,4,4,1.000,2,7,9,5,0,0,2,5,8,9.7,+2,4.0
51,2016-02-10,25-343,GSW,@,PHO,W (+8),1,28:21,1,5,.200,1,2,.500,6,8,.750,0,6,6,3,1,0,3,3,9,5.8,+16,4.0
52,2016-02-19,25-352,GSW,@,POR,L (-32),1,31:08,5,7,.714,2,2,1.000,2,2,1.000,1,11,12,8,0,0,9,3,14,10.5,-13,4.0
53,2016-02-20,25-353,GSW,@,LAC,W (+3),1,37:44,9,14,.643,0,3,.000,0,0,,2,9,11,10,0,0,2,2,18,20.1,+14,4.0
54,2016-02-22,25-355,GSW,@,ATL,W (+10),1,38:16,2,10,.200,0,4,.000,2,2,1.000,1,13,14,9,2,1,4,2,6,8.6,+15,4.0
55,2016-02-24,25-357,GSW,@,MIA,W (+6),1,35:56,3,7,.429,0,2,.000,4,5,.800,2,9,11,3,0,1,3,3,10,8.6,+7,4.0
56,2016-02-25,25-358,GSW,@,ORL,W (+16),1,31:52,4,7,.571,0,1,.000,4,7,.571,0,4,4,8,4,0,5,3,12,12.1,+4,4.0
57,2016-02-27,25-360,GSW,@,OKC,W (+3),1,44:07,0,8,.000,0,2,.000,2,5,.400,3,11,14,14,6,4,3,4,2,14.6,+10,4.0
58,2016-03-01,25-363,GSW,,ATL,W (+4),1,42:28,6,15,.400,2,6,.333,1,1,1.000,2,11,13,9,4,1,5,5,15,15.6,+10,4.0
59,2016-03-03,25-365,GSW,,OKC,W (+15),1,35:00,6,10,.600,1,3,.333,1,4,.250,1,7,8,7,2,0,1,4,14,15.3,+7,4.0
60,2016-03-06,26-002,GSW,@,LAL,L (-17),1,32:31,2,7,.286,1,3,.333,4,4,1.000,0,10,10,9,0,1,7,5,9,5.9,-9,4.0
61,2016-03-07,26-003,GSW,,ORL,W (+6),1,34:49,0,3,.000,0,0,,1,2,.500,3,6,9,10,2,3,7,2,1,5.7,+19,4.0
62,2016-03-09,26-005,GSW,,UTA,W (+21),1,34:50,7,13,.538,2,4,.500,1,2,.500,0,7,7,5,2,3,3,3,17,15.8,+30,4.0
63,2016-03-11,26-007,GSW,,POR,W (+16),1,32:34,4,11,.364,0,4,.000,9,9,1.000,3,10,13,7,2,1,2,2,17,20.8,+17,4.0
64,2016-03-12,26-008,GSW,,PHO,W (+7),1,37:09,5,12,.417,1,5,.200,8,10,.800,0,4,4,6,2,1,3,3,19,15.7,0,4.0
65,2016-03-14,26-010,GSW,,NOP,W (+18),1,31:18,5,10,.500,1,3,.333,3,3,1.000,1,11,12,4,0,3,4,1,14,13.5,+27,4.0
66,2016-03-16,26-012,GSW,,NYK,W (+36),1,28:37,3,8,.375,0,2,.000,0,0,,1,10,11,10,0,2,1,2,6,11.9,+31,4.0
67,2016-03-18,26-014,GSW,@,DAL,W (+18),1,36:07,5,8,.625,2,2,1.000,3,3,1.000,0,4,4,8,1,1,4,2,15,15.1,+17,4.0
68,2016-03-19,26-015,GSW,@,SAS,L (-8),1,39:16,5,10,.500,1,5,.200,0,1,.000,2,7,9,8,1,1,3,3,11,12.2,-1,4.0
69,2016-03-21,26-017,GSW,@,MIN,W (+5),1,36:34,10,13,.769,0,1,.000,4,8,.500,4,5,9,6,3,3,4,4,24,25.3,+8,4.0
70,2016-03-23,26-019,GSW,,LAC,W (+16),1,37:22,4,8,.500,0,2,.000,4,6,.667,1,11,12,4,2,0,4,4,12,10.4,+7,4.0
71,2016-03-25,26-021,GSW,,DAL,W (+8),1,35:11,7,11,.636,3,5,.600,2,2,1.000,0,7,7,10,2,2,1,1,19,25.2,+15,4.0
72,2016-03-27,26-023,GSW,,PHI,W (+12),1,35:55,4,7,.571,2,3,.667,3,6,.500,1,10,11,11,1,3,4,2,13,18.2,+9,4.0
73,2016-03-29,26-025,GSW,,WAS,W (+8),1,36:20,4,6,.667,3,4,.750,4,4,1.000,0,16,16,9,1,2,2,3,15,22.7,+8,4.0
74,2016-03-30,26-026,GSW,@,UTA,W (+7),1,42:54,5,10,.500,1,3,.333,2,3,.667,2,6,8,6,0,3,4,3,13,11.9,+5,4.0
75,2016-04-01,26-028,GSW,,BOS,L (-3),1,36:37,5,13,.385,3,8,.375,3,3,1.000,2,7,9,7,6,2,4,3,16,19.5,-1,4.0
76,2016-04-03,26-030,GSW,,POR,W (+25),1,35:24,7,17,.412,0,2,.000,8,9,.889,5,5,10,10,2,3,1,3,22,26.4,+22,4.0
77,2016-04-05,26-032,GSW,,MIN,L (-7),1,38:48,5,11,.455,0,3,.000,2,3,.667,1,5,6,9,3,2,6,6,12,10.4,+8,4.0
78,2016-04-07,26-034,GSW,,SAS,W (+11),1,33:48,7,12,.583,2,3,.667,2,2,1.000,0,6,6,7,1,0,4,2,18,15.3,+17,4.0
79,2016-04-09,26-036,GSW,@,MEM,W (+1),1,35:12,10,14,.714,2,5,.400,1,2,.500,2,9,11,4,1,3,4,2,23,22.0,+11,4.0
80,2016-04-10,26-037,GSW,@,SAS,W (+6),1,33:17,4,5,.800,1,2,.500,2,3,.667,1,3,4,4,0,1,1,4,11,11.2,+8,4.0
81,2016-04-13,26-040,GSW,,MEM,W (+21),1,29:47,4,8,.500,2,4,.500,1,2,.500,3,6,9,7,1,1,5,1,11,11.7,+19,4.0
