G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-129,MEM,,CLE,L (-30),0,14:00,2,5,.400,0,1,.000,0,2,.000,4,3,7,0,0,0,0,2,4,3.4,-17,4.0
2,2015-10-29,25-130,MEM,@,IND,W (+9),0,12:45,1,4,.250,0,0,,3,4,.750,2,2,4,0,0,1,2,2,5,2.1,-1,4.0
3,2015-10-31,25-132,MEM,,BRK,W (+10),0,11:20,2,5,.400,1,1,1.000,0,0,,1,2,3,0,0,1,0,2,5,3.5,+2,4.0
4,2015-11-02,25-134,MEM,@,GSW,L (-50),0,21:27,3,8,.375,0,1,.000,0,0,,1,3,4,1,1,0,0,1,6,4.5,-12,4.0
5,2015-11-03,25-135,MEM,@,SAC,W (+14),0,19:58,4,7,.571,0,1,.000,4,4,1.000,4,8,12,0,1,0,3,3,12,10.7,+5,4.0
6,2015-11-05,25-137,MEM,@,POR,L (-19),0,10:24,3,4,.750,2,2,1.000,0,0,,0,3,3,0,1,0,0,1,8,7.9,+4,4.0
7,2015-11-07,25-139,MEM,@,UTA,L (-10),0,9:15,0,3,.000,0,0,,2,2,1.000,1,1,2,1,0,0,0,0,2,1.6,+4,4.0
8,2015-11-09,25-141,MEM,@,LAC,L (-2),0,16:19,2,4,.500,0,0,,1,2,.500,0,1,1,1,0,0,0,4,5,2.0,-11,4.0
9,2015-11-11,25-143,MEM,,GSW,L (-16),0,25:16,3,4,.750,0,0,,3,4,.750,2,7,9,0,1,2,3,4,9,8.3,-19,4.0
10,2015-11-13,25-145,MEM,,POR,W (+1),0,18:02,3,7,.429,0,1,.000,0,0,,2,2,4,0,0,0,2,4,6,0.7,+6,4.0
11,2015-11-15,25-147,MEM,@,MIN,W (+8),0,24:38,4,6,.667,1,1,1.000,3,3,1.000,1,6,7,1,1,1,2,1,12,11.9,+13,4.0
12,2015-11-16,25-148,MEM,,OKC,W (+8),0,30:23,1,5,.200,1,1,1.000,2,2,1.000,1,2,3,0,1,2,0,3,5,4.4,0,4.0
13,2015-11-20,25-152,MEM,,HOU,W (+12),1,23:00,2,6,.333,0,0,,1,1,1.000,1,4,5,1,0,0,4,4,5,-1.4,-1,4.0
14,2015-11-21,25-153,MEM,@,SAS,L (-10),1,21:11,3,6,.500,0,0,,2,2,1.000,2,3,5,1,1,0,0,5,8,7.0,-1,4.0
15,2015-11-24,25-156,MEM,,DAL,W (+14),0,16:58,5,7,.714,1,1,1.000,2,2,1.000,1,5,6,1,1,0,3,4,13,9.4,+4,4.0
16,2015-11-25,25-157,MEM,@,HOU,W (+9),0,12:06,2,6,.333,0,0,,2,2,1.000,1,2,3,0,0,1,2,5,6,0.6,-1,4.0
17,2015-11-27,25-159,MEM,,ATL,L (-15),0,26:38,4,7,.571,0,0,,1,1,1.000,1,6,7,2,1,0,1,3,9,8.4,+3,4.0
18,2015-11-29,25-161,MEM,,PHI,W (+8),0,16:59,1,3,.333,0,1,.000,0,0,,0,3,3,1,1,0,4,2,2,-1.9,-2,4.0
19,2015-12-01,25-163,MEM,@,NOP,W (+9),0,9:00,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,0,1,2,2.6,+11,4.0
20,2015-12-03,25-165,MEM,,SAS,L (-20),0,13:23,2,4,.500,0,1,.000,0,0,,1,2,3,1,0,0,0,4,4,2.4,-7,4.0
21,2015-12-06,25-168,MEM,,PHO,W (+2),0,17:55,2,4,.500,0,0,,3,3,1.000,3,6,9,1,0,0,1,1,7,8.2,+19,4.0
22,2015-12-08,25-170,MEM,,OKC,L (-37),0,19:01,4,7,.571,0,0,,3,4,.750,2,2,4,0,1,0,0,2,11,9.5,-9,4.0
23,2015-12-09,25-171,MEM,@,DET,W (+1),0,14:40,1,4,.250,0,0,,1,1,1.000,1,2,3,1,0,0,0,0,3,2.6,+6,4.0
24,2015-12-11,25-173,MEM,,CHO,L (-24),0,16:59,2,5,.400,0,0,,2,4,.500,2,1,3,0,0,0,1,5,6,1.2,-5,4.0
25,2015-12-13,25-175,MEM,@,MIA,L (-3),0,9:03,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,1,4,4.0,-10,4.0
26,2015-12-14,25-176,MEM,,WAS,W (+17),0,11:17,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,2,0,0,-2.5,-7,4.0
27,2015-12-16,25-178,MEM,@,CHI,L (-13),0,14:03,4,6,.667,0,1,.000,3,6,.500,1,1,2,0,1,0,3,1,11,5.8,-5,4.0
28,2015-12-18,25-180,MEM,@,DAL,L (-9),0,12:32,4,6,.667,0,0,,0,0,,5,2,7,0,0,0,1,2,8,7.7,0,4.0
29,2015-12-19,25-181,MEM,,IND,W (+12),0,8:25,1,3,.333,0,0,,0,0,,0,4,4,0,0,1,0,1,2,1.8,+1,4.0
30,2015-12-22,25-184,MEM,@,PHI,W (+14),0,9:33,3,4,.750,0,0,,1,2,.500,1,0,1,0,0,0,1,3,7,3.5,-4,4.0
31,2015-12-23,25-185,MEM,@,WAS,L (-9),0,15:52,3,4,.750,0,0,,2,2,1.000,0,1,1,1,0,0,0,3,8,6.2,-4,4.0
32,2015-12-26,25-188,MEM,@,CHO,L (-6),0,14:22,2,5,.400,0,0,,4,4,1.000,1,7,8,0,0,0,1,1,8,6.7,+5,4.0
33,2015-12-27,25-189,MEM,,LAL,W (+16),0,27:22,3,7,.429,1,1,1.000,0,2,.000,1,7,8,1,1,2,1,3,7,6.2,+2,4.0
34,2015-12-29,25-191,MEM,,MIA,W (+9),0,7:19,0,3,.000,0,1,.000,0,0,,2,1,3,0,0,0,0,2,0,-1.2,-8,4.0
35,2016-01-02,25-195,MEM,@,UTA,L (-5),0,5:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3,4.0
36,2016-01-04,25-197,MEM,@,POR,W (+13),0,11:15,3,4,.750,0,0,,0,0,,2,3,5,0,0,0,1,1,6,5.3,-1,4.0
37,2016-01-06,25-199,MEM,@,OKC,L (-18),0,17:42,4,7,.571,0,0,,1,2,.500,1,3,4,0,0,0,1,3,9,4.7,+3,4.0
38,2016-01-08,25-201,MEM,,DEN,W (+7),0,9:17,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-2.1,0,4.0
39,2016-01-10,25-203,MEM,,BOS,W (+3),0,15:23,2,2,1.000,0,0,,2,2,1.000,1,3,4,0,0,1,2,1,6,5.3,+12,4.0
40,2016-01-12,25-205,MEM,,HOU,L (-16),0,14:27,1,2,.500,1,1,1.000,0,0,,0,1,1,0,1,0,0,4,3,1.7,-9,4.0
41,2016-01-14,25-207,MEM,,DET,W (+2),0,4:44,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,2,2,0.2,+2,4.0
42,2016-01-16,25-209,MEM,,NYK,W (+8),0,7:16,0,1,.000,0,0,,1,2,.500,1,3,4,0,0,1,1,2,1,0.4,-3,4.0
43,2016-01-18,25-211,MEM,,NOP,W (+2),0,4:27,2,2,1.000,0,0,,1,1,1.000,0,0,0,0,0,1,0,0,5,5.1,+5,4.0
44,2016-01-21,25-214,MEM,@,DEN,W (+1),0,14:08,3,4,.750,1,1,1.000,0,0,,0,2,2,0,0,0,0,2,7,5.2,0,4.0
45,2016-01-23,25-216,MEM,@,MIN,L (-5),0,10:54,2,3,.667,0,0,,0,0,,1,4,5,0,0,0,0,3,4,3.4,+3,4.0
46,2016-01-28,25-221,MEM,,MIL,W (+20),0,5:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-5,4.0
47,2016-02-01,25-225,MEM,@,NOP,W (+15),0,8:30,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,2,2,2,-0.1,+3,4.0
48,2016-02-08,25-232,MEM,,POR,L (-6),0,12:49,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,2,2,2.5,+2,4.0
49,2016-02-10,25-234,MEM,@,BRK,W (+19),1,20:48,5,6,.833,1,1,1.000,2,2,1.000,0,4,4,1,1,0,0,5,13,11.7,+11,4.0
50,2016-02-19,25-243,MEM,,MIN,W (+5),1,30:08,4,9,.444,0,1,.000,1,2,.500,4,7,11,2,3,3,1,2,9,13.5,+11,4.0
51,2016-02-21,25-245,MEM,@,TOR,L (-13),1,20:09,2,5,.400,0,1,.000,0,1,.000,2,4,6,0,1,0,0,5,4,2.5,+8,4.0
52,2016-02-24,25-248,MEM,,LAL,W (+9),1,25:17,5,8,.625,1,1,1.000,1,2,.500,1,8,9,0,1,0,0,2,12,11.3,+15,4.0
53,2016-02-26,25-250,MEM,@,LAL,W (+17),0,22:39,4,8,.500,0,0,,2,2,1.000,1,2,3,0,1,1,3,3,10,4.8,-6,4.0
54,2016-02-27,25-251,MEM,@,PHO,L (-5),0,15:55,3,7,.429,0,1,.000,0,0,,1,1,2,1,1,1,0,3,6,4.5,+3,4.0
55,2016-02-29,25-253,MEM,@,DEN,W (+7),0,12:07,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.8,-1,4.0
56,2016-03-02,25-255,MEM,,SAC,W (+6),0,21:16,5,7,.714,1,1,1.000,4,5,.800,1,1,2,0,3,0,1,3,15,13.5,0,4.0
57,2016-03-04,25-257,MEM,,UTA,W (+6),0,19:45,3,5,.600,0,2,.000,0,0,,0,3,3,1,0,0,0,0,6,5.3,+7,4.0
58,2016-03-06,25-259,MEM,,PHO,L (-9),0,23:53,5,7,.714,0,1,.000,7,10,.700,3,2,5,2,0,0,1,6,17,13.6,+3,4.0
59,2016-03-07,25-260,MEM,@,CLE,W (+3),1,36:32,6,13,.462,0,2,.000,4,4,1.000,4,6,10,6,4,2,1,1,16,22.1,+15,4.0
60,2016-03-09,25-262,MEM,@,BOS,L (-20),1,36:55,6,12,.500,0,1,.000,5,6,.833,4,9,13,2,0,2,4,4,17,13.3,-6,4.0
61,2016-03-11,25-264,MEM,,NOP,W (+7),1,38:03,9,15,.600,0,0,,3,4,.750,4,6,10,1,1,1,1,5,21,17.7,+19,4.0
62,2016-03-12,25-265,MEM,@,ATL,L (-12),1,24:22,2,13,.154,0,1,.000,0,0,,4,4,8,0,0,0,3,3,4,-4.5,-23,4.0
63,2016-03-14,25-267,MEM,@,HOU,L (-49),1,28:08,4,17,.235,1,5,.200,0,0,,3,1,4,2,0,0,4,4,9,-3.1,-38,4.0
64,2016-03-16,25-269,MEM,,MIN,L (-6),1,31:06,7,17,.412,1,2,.500,3,4,.750,8,2,10,3,0,0,2,2,18,14.0,-6,4.0
65,2016-03-17,25-270,MEM,@,MIL,L (-10),1,36:50,5,14,.357,0,0,,1,1,1.000,5,1,6,2,1,1,0,2,11,9.3,-9,4.0
66,2016-03-19,25-272,MEM,,LAC,W (+11),0,27:05,4,10,.400,0,1,.000,3,3,1.000,2,5,7,4,4,1,3,4,11,11.4,-1,4.0
67,2016-03-21,25-274,MEM,@,PHO,W (+6),0,22:02,3,12,.250,0,1,.000,0,0,,3,4,7,1,1,0,0,1,6,3.4,+2,4.0
68,2016-03-22,25-275,MEM,@,LAL,L (-7),0,19:35,3,5,.600,0,1,.000,0,0,,2,0,2,2,1,0,0,5,6,5.5,-2,4.0
69,2016-03-25,25-278,MEM,@,SAS,L (-6),1,25:12,10,18,.556,0,1,.000,0,0,,0,2,2,3,0,2,1,2,20,13.7,-2,4.0
70,2016-03-28,25-281,MEM,,SAS,L (-14),1,27:08,5,9,.556,1,2,.500,1,2,.500,0,5,5,3,1,0,0,5,12,9.9,-19,4.0
71,2016-03-30,25-283,MEM,,DEN,L (-4),0,25:50,6,16,.375,0,0,,1,2,.500,9,3,12,3,0,1,2,2,13,11.0,+7,4.0
