G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-226,LAC,@,SAC,W (+7),1,38:15,14,20,.700,0,0,,5,7,.714,2,6,8,4,0,0,2,3,33,26.6,+16,4.0
2,2015-10-29,26-227,LAC,,DAL,W (+16),1,26:47,11,17,.647,0,0,,4,6,.667,2,8,10,2,1,1,3,1,26,21.2,+12,4.0
3,2015-10-31,26-229,LAC,,SAC,W (+5),1,36:14,13,22,.591,0,0,,11,15,.733,1,8,9,6,2,0,3,4,37,29.9,+23,4.0
4,2015-11-02,26-231,LAC,,PHO,W (+6),1,33:57,8,15,.533,0,0,,6,7,.857,1,9,10,2,0,1,0,2,22,19.0,-9,4.0
5,2015-11-04,26-233,LAC,@,GSW,L (-4),1,37:49,10,21,.476,0,2,.000,3,3,1.000,2,8,10,6,0,1,2,4,23,17.4,+8,4.0
6,2015-11-07,26-236,LAC,,HOU,L (-4),1,38:06,14,22,.636,0,1,.000,7,8,.875,3,8,11,5,0,0,1,4,35,30.2,0,4.0
7,2015-11-09,26-238,LAC,,MEM,W (+2),1,37:48,9,19,.474,0,0,,6,6,1.000,2,10,12,2,1,1,2,5,24,17.8,-3,4.0
8,2015-11-11,26-240,LAC,@,DAL,L (-10),1,34:02,8,19,.421,0,0,,5,7,.714,5,4,9,3,1,0,2,3,21,14.7,-10,4.0
9,2015-11-12,26-241,LAC,@,PHO,L (-14),1,16:12,5,10,.500,0,0,,1,2,.500,1,2,3,4,1,0,0,0,11,10.7,-7,4.0
10,2015-11-14,26-243,LAC,,DET,W (+5),1,41:56,14,25,.560,0,0,,6,10,.600,4,4,8,9,2,1,2,4,34,29.9,-2,4.0
11,2015-11-19,26-248,LAC,,GSW,L (-7),1,37:29,11,20,.550,1,1,1.000,4,6,.667,2,4,6,5,1,1,3,2,27,20.6,-12,4.0
12,2015-11-20,26-249,LAC,@,POR,L (-11),1,33:45,10,20,.500,0,1,.000,1,2,.500,1,6,7,7,0,0,3,5,21,13.0,-13,4.0
13,2015-11-22,26-251,LAC,,TOR,L (-11),1,28:56,4,10,.400,1,3,.333,0,0,,2,4,6,4,2,0,6,4,9,3.4,-3,4.0
14,2015-11-24,26-253,LAC,@,DEN,W (+17),1,33:08,7,20,.350,1,1,1.000,3,4,.750,4,6,10,4,1,1,1,2,18,13.7,+12,4.0
15,2015-11-25,26-254,LAC,,UTA,L (-11),1,38:41,18,23,.783,0,0,,4,5,.800,1,11,12,3,0,2,3,2,40,34.4,-3,4.0
16,2015-11-27,26-256,LAC,,NOP,W (+21),1,28:36,7,15,.467,0,0,,6,7,.857,1,5,6,6,1,0,2,3,20,16.1,+26,4.0
17,2015-11-29,26-258,LAC,,MIN,W (+8),1,37:02,9,16,.563,1,1,1.000,7,9,.778,0,8,8,8,0,2,3,3,26,22.8,+8,4.0
18,2015-11-30,26-259,LAC,,POR,W (+15),1,32:00,8,19,.421,0,0,,7,10,.700,1,7,8,6,1,1,2,4,23,16.8,+19,4.0
19,2015-12-02,26-261,LAC,,IND,L (-12),1,36:23,6,18,.333,0,0,,7,14,.500,1,3,4,6,0,0,4,4,19,6.2,-16,4.0
20,2015-12-05,26-264,LAC,,ORL,W (+2),1,39:01,11,22,.500,0,0,,6,8,.750,2,11,13,7,0,0,4,0,28,21.8,+2,4.0
21,2015-12-07,26-266,LAC,@,MIN,W (+4),1,36:54,7,17,.412,0,1,.000,2,2,1.000,3,8,11,5,1,0,3,4,16,11.3,+8,4.0
22,2015-12-09,26-268,LAC,@,MIL,W (+14),1,39:34,8,18,.444,0,0,,5,8,.625,2,12,14,4,2,1,3,2,21,17.1,+23,4.0
23,2015-12-10,26-269,LAC,@,CHI,L (-3),1,24:45,7,14,.500,0,1,.000,4,4,1.000,1,10,11,2,0,2,2,3,18,14.3,-2,4.0
24,2015-12-12,26-271,LAC,@,BRK,W (+5),1,34:35,10,19,.526,0,1,.000,1,2,.500,1,8,9,4,1,0,3,0,21,15.2,-5,4.0
25,2015-12-14,26-273,LAC,@,DET,W (+2),1,42:47,15,30,.500,0,0,,4,6,.667,0,5,5,7,0,0,2,2,34,21.8,+11,4.0
26,2015-12-16,26-275,LAC,,MIL,W (+13),1,33:52,5,13,.385,0,0,,5,7,.714,1,7,8,5,0,1,0,0,15,14.1,+17,4.0
27,2015-12-18,26-277,LAC,@,SAS,L (-8),1,39:58,10,19,.526,2,2,1.000,3,4,.750,0,5,5,5,1,0,1,3,25,19.1,+8,4.0
28,2015-12-19,26-278,LAC,@,HOU,L (-10),1,36:21,9,13,.692,0,0,,4,5,.800,0,8,8,6,1,0,2,5,22,19.7,-15,4.0
29,2015-12-21,26-280,LAC,,OKC,L (-1),1,36:20,7,21,.333,0,1,.000,1,2,.500,0,7,7,5,0,0,1,3,15,6.1,-5,4.0
30,2015-12-25,26-284,LAC,@,LAL,W (+10),1,36:22,6,16,.375,0,1,.000,1,2,.500,3,9,12,7,1,1,6,4,13,7.6,+21,4.0
31,2016-04-03,27-018,LAC,,WAS,W (+5),1,24:32,2,7,.286,0,0,,2,2,1.000,0,5,5,4,0,0,1,2,6,4.4,+22,4.0
32,2016-04-05,27-020,LAC,,LAL,W (+22),1,16:48,1,5,.200,0,1,.000,2,2,1.000,0,3,3,3,1,0,4,0,4,0.9,+28,4.0
33,2016-04-06,27-021,LAC,@,LAL,W (+10),1,24:48,5,10,.500,0,0,,3,4,.750,0,8,8,3,1,0,1,0,13,12.1,+12,4.0
34,2016-04-10,27-025,LAC,,DAL,W (+7),1,33:18,7,18,.389,0,0,,3,5,.600,2,9,11,7,2,0,4,5,17,11.4,-1,4.0
35,2016-04-12,27-027,LAC,,MEM,W (+26),1,23:16,5,10,.500,0,0,,2,3,.667,0,7,7,4,3,0,2,3,12,11.3,+12,4.0
