G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-20,21-023,CHO,,PHI,W (+25),0,2:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+7,2.0
2,2015-12-02,21-035,CHO,,GSW,L (-17),0,6:31,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,2,1.2,+2,2.0
3,2015-12-07,21-040,CHO,,DET,W (+20),0,3:44,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0,-2,2.0
4,2015-12-09,21-042,CHO,,MIA,W (+18),0,6:30,0,0,,0,0,,2,4,.500,0,1,1,0,1,0,0,0,2,2.5,-5,2.0
5,2015-12-11,21-044,CHO,@,MEM,W (+24),0,3:31,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-1,2.0
6,2016-01-02,21-066,CHO,,OKC,L (-19),0,3:49,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,0,2.0
7,2016-01-13,21-077,CHO,,ATL,W (+23),0,5:12,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.8,-12,2.0
8,2016-01-16,21-080,CHO,,MIL,L (-13),0,3:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+8,2.0
9,2016-01-20,21-084,CHO,@,OKC,L (-14),0,3:29,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,+5,2.0
10,2016-01-23,21-087,CHO,,NYK,W (+13),0,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2.0
11,2016-01-25,21-089,CHO,@,SAC,W (+1),0,5:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+7,2.0
12,2016-01-27,21-091,CHO,@,UTA,L (-29),0,4:39,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-1.1,-4,2.0
13,2016-01-31,21-095,CHO,@,LAL,W (+19),0,3:03,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-0.8,-5,2.0
14,2016-02-24,21-119,CHO,@,CLE,L (-11),0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+9,2.0
15,2016-03-01,21-125,CHO,,PHO,W (+34),0,7:49,0,3,.000,0,3,.000,2,4,.500,0,0,0,0,0,0,0,2,2,-1.7,-8,2.0
16,2016-03-02,21-126,CHO,@,PHI,W (+20),0,1:45,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,3,3.0,0,2.0
17,2016-03-11,21-135,CHO,,DET,W (+15),0,2:42,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,0,2.0
18,2016-03-12,21-136,CHO,,HOU,W (+16),0,2:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,2.0
19,2016-04-08,21-163,CHO,,BRK,W (+14),0,2:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,-5,2.0
20,2016-04-11,21-166,CHO,@,BOS,W (+14),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2,2.0
21,2016-04-13,21-168,CHO,,ORL,W (+14),0,15:44,2,3,.667,1,1,1.000,1,2,.500,0,5,5,1,1,0,0,3,6,6.3,+3,2.0
