G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-105,ORL,,WAS,L (-1),1,31:05,7,14,.500,0,3,.000,1,2,.500,2,5,7,3,0,1,2,4,15,9.7,-1,4.0
2,2015-10-30,23-107,ORL,,OKC,L (-3),1,46:17,9,19,.474,2,4,.500,10,12,.833,4,5,9,4,0,1,5,3,30,21.1,-2,4.0
3,2015-11-01,23-109,ORL,@,CHI,L (-5),1,21:48,5,14,.357,0,2,.000,1,2,.500,4,3,7,2,0,0,3,2,11,4.1,-2,4.0
4,2015-11-03,23-111,ORL,@,NOP,W (+9),1,29:23,4,11,.364,1,3,.333,0,0,,4,9,13,1,1,0,1,4,9,7.5,-3,4.0
5,2015-11-04,23-112,ORL,@,HOU,L (-5),1,20:58,6,10,.600,1,2,.500,3,4,.750,2,3,5,2,1,0,2,3,16,12.5,-1,4.0
6,2015-11-06,23-114,ORL,,TOR,W (+5),1,36:07,8,10,.800,2,2,1.000,2,4,.500,2,7,9,2,1,0,4,2,20,16.5,+6,4.0
7,2015-11-07,23-115,ORL,@,PHI,W (+8),1,25:33,3,7,.429,0,1,.000,3,4,.750,0,4,4,3,1,1,0,2,9,9.1,+6,4.0
8,2015-11-09,23-117,ORL,@,IND,L (-13),1,28:54,3,13,.231,1,3,.333,1,2,.500,2,8,10,0,0,0,1,0,8,2.5,-13,4.0
9,2015-11-11,23-119,ORL,,LAL,W (+2),1,36:58,5,13,.385,1,3,.333,0,0,,5,6,11,1,1,1,1,3,11,9.4,-6,4.0
10,2015-11-13,23-121,ORL,,UTA,W (+9),1,39:34,4,9,.444,3,6,.500,8,8,1.000,2,11,13,3,3,1,2,2,19,22.0,+10,4.0
