G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-183,CHO,@,MIA,L (-10),0,18:19,3,5,.600,0,1,.000,1,2,.500,0,3,3,0,0,0,0,2,7,4.4,-14,5.0
2,2015-10-30,27-185,CHO,@,ATL,L (-3),0,17:51,4,6,.667,0,0,,0,3,.000,1,3,4,4,2,0,2,5,8,6.6,-9,5.0
3,2015-11-01,27-187,CHO,,ATL,L (-2),0,18:24,1,8,.125,0,2,.000,0,0,,1,3,4,2,1,1,1,4,2,-1.1,-2,5.0
4,2015-11-03,27-189,CHO,,CHI,W (+25),0,19:35,5,6,.833,3,3,1.000,0,0,,0,3,3,2,0,0,1,1,13,11.7,+24,5.0
5,2015-11-05,27-191,CHO,@,DAL,W (+14),0,18:24,0,4,.000,0,2,.000,0,0,,0,4,4,3,0,1,2,3,0,-2.0,+8,5.0
6,2015-11-07,27-193,CHO,@,SAS,L (-20),0,13:55,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,2,1,4,0.9,-28,5.0
7,2015-11-10,27-196,CHO,@,MIN,W (+9),0,19:03,1,6,.167,0,2,.000,0,0,,0,2,2,2,1,0,1,3,2,-1.0,+22,5.0
8,2015-11-11,27-197,CHO,,NYK,W (+2),0,19:08,0,2,.000,0,2,.000,0,0,,1,3,4,5,0,0,0,1,0,3.3,+11,5.0
9,2015-11-13,27-199,CHO,@,CHI,L (-5),0,17:17,1,5,.200,0,1,.000,0,0,,1,3,4,1,0,0,0,2,2,0.4,-15,5.0
10,2015-11-15,27-201,CHO,,POR,W (+12),0,17:33,0,2,.000,0,1,.000,2,2,1.000,0,2,2,4,0,1,1,2,2,2.9,+2,5.0
11,2015-11-17,27-203,CHO,@,NYK,L (-8),0,17:24,4,10,.400,2,4,.500,4,4,1.000,3,2,5,1,0,1,1,2,14,10.9,+5,5.0
12,2015-11-18,27-204,CHO,,BRK,W (+5),0,17:37,5,7,.714,2,2,1.000,0,0,,0,4,4,2,0,0,0,1,12,11.3,+13,5.0
13,2015-11-20,27-206,CHO,,PHI,W (+25),0,14:52,1,6,.167,0,4,.000,2,2,1.000,0,5,5,2,0,0,2,3,4,-0.1,-2,5.0
14,2015-11-23,27-209,CHO,,SAC,W (+5),0,7:39,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,1,0,-0.1,-6,5.0
15,2015-11-27,27-213,CHO,,CLE,L (-5),0,5:24,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,2,4,3.3,+1,5.0
16,2015-11-29,27-215,CHO,,MIL,W (+5),0,16:24,1,4,.250,1,1,1.000,2,2,1.000,0,8,8,0,0,0,2,2,5,2.2,+4,5.0
17,2015-12-02,27-218,CHO,,GSW,L (-17),0,20:11,5,9,.556,0,2,.000,2,2,1.000,2,3,5,2,0,0,1,1,12,10.0,-8,5.0
18,2015-12-05,27-221,CHO,@,CHI,W (+6),0,22:35,4,6,.667,3,4,.750,3,4,.750,4,3,7,4,0,0,2,2,14,14.7,-1,5.0
19,2015-12-07,27-223,CHO,,DET,W (+20),0,15:53,4,8,.500,0,2,.000,0,0,,0,3,3,1,0,0,0,0,8,5.6,+2,5.0
20,2015-12-09,27-225,CHO,,MIA,W (+18),0,17:12,2,4,.500,1,1,1.000,0,0,,0,3,3,0,0,0,1,4,5,1.3,+14,5.0
21,2015-12-11,27-227,CHO,@,MEM,W (+24),0,16:40,0,2,.000,0,0,,8,8,1.000,0,2,2,1,0,0,3,2,8,4.1,+16,5.0
22,2015-12-12,27-228,CHO,,BOS,L (-5),0,20:36,4,6,.667,2,3,.667,0,0,,1,7,8,3,0,0,1,1,10,10.9,+19,5.0
23,2015-12-16,27-232,CHO,@,ORL,L (-15),0,18:08,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-1.5,-8,5.0
24,2015-12-17,27-233,CHO,,TOR,W (+10),0,23:13,2,2,1.000,1,1,1.000,0,0,,0,10,10,4,3,1,1,5,5,10.9,+12,5.0
25,2015-12-19,27-235,CHO,@,WAS,L (-8),0,18:17,4,8,.500,1,2,.500,0,0,,1,3,4,2,0,0,1,1,9,6.6,+6,5.0
26,2015-12-21,27-237,CHO,@,HOU,L (-7),0,21:25,1,5,.200,1,2,.500,0,0,,0,1,1,2,3,1,1,3,3,3.1,-2,5.0
27,2015-12-23,27-239,CHO,,BOS,L (-13),0,5:53,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-3.5,-4,5.0
28,2016-01-04,27-251,CHO,@,GSW,L (-10),0,20:03,1,6,.167,0,2,.000,4,4,1.000,0,4,4,4,0,0,2,2,6,3.4,-10,5.0
29,2016-01-06,27-253,CHO,@,PHO,L (-9),0,9:06,0,5,.000,0,1,.000,0,0,,1,3,4,1,0,0,0,1,0,-1.6,-11,5.0
30,2016-01-09,27-256,CHO,@,LAC,L (-14),0,14:54,2,5,.400,1,2,.500,2,2,1.000,1,3,4,1,0,0,1,0,7,5.6,+5,5.0
31,2016-01-10,27-257,CHO,@,DEN,L (-3),0,16:56,2,6,.333,2,2,1.000,2,2,1.000,1,3,4,3,2,1,2,1,8,8.6,+3,5.0
32,2016-01-13,27-260,CHO,,ATL,W (+23),0,15:19,1,3,.333,1,3,.333,0,0,,1,4,5,1,0,1,1,1,3,3.2,+14,5.0
33,2016-01-15,27-262,CHO,@,NOP,L (-2),0,11:17,2,5,.400,0,2,.000,0,0,,1,2,3,2,0,0,1,2,4,2.2,-6,5.0
34,2016-01-16,27-263,CHO,,MIL,L (-13),0,21:02,3,7,.429,0,2,.000,1,2,.500,3,6,9,3,0,0,0,2,7,8.1,-11,5.0
35,2016-01-18,27-265,CHO,,UTA,W (+5),0,15:56,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,0,0,0.7,-6,5.0
36,2016-01-20,27-267,CHO,@,OKC,L (-14),0,26:46,2,8,.250,0,2,.000,2,2,1.000,1,5,6,3,0,0,1,1,6,4.1,-3,5.0
37,2016-01-22,27-269,CHO,@,ORL,W (+4),1,32:23,7,14,.500,1,4,.250,1,1,1.000,3,7,10,3,0,1,0,3,16,14.8,+11,5.0
38,2016-01-23,27-270,CHO,,NYK,W (+13),1,34:28,1,7,.143,0,2,.000,0,0,,3,7,10,3,2,1,0,2,2,5.7,+11,5.0
39,2016-01-25,27-272,CHO,@,SAC,W (+1),1,30:06,7,10,.700,4,5,.800,0,0,,2,5,7,0,2,0,1,6,18,15.3,+2,5.0
40,2016-01-27,27-274,CHO,@,UTA,L (-29),1,26:25,3,7,.429,2,3,.667,1,2,.500,1,3,4,2,0,0,1,2,9,6.1,-6,5.0
41,2016-01-29,27-276,CHO,@,POR,L (-18),1,25:13,2,6,.333,1,3,.333,0,0,,0,5,5,4,1,0,0,3,5,5.7,-17,5.0
