G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-11,27-337,POR,,SAS,L (-12),0,17:39,6,10,.600,0,0,,0,0,,0,2,2,0,0,0,0,1,12,7.6,-7,2.0
2,2015-11-13,27-339,POR,@,MEM,L (-1),0,12:43,2,5,.400,1,2,.500,0,0,,0,1,1,0,0,0,2,0,5,0.6,-2,2.0
3,2015-11-15,27-341,POR,@,CHO,L (-12),0,6:34,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,1,0,-4.2,-15,2.0
4,2015-11-16,27-342,POR,@,SAS,L (-13),0,8:54,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,1,1,0,0,-0.4,-3,2.0
5,2015-11-18,27-344,POR,@,HOU,L (-5),0,14:47,3,7,.429,2,4,.500,1,2,.500,0,0,0,0,0,0,0,0,9,4.9,+2,2.0
6,2015-11-20,27-346,POR,,LAC,W (+11),0,25:30,1,9,.111,0,2,.000,1,2,.500,0,6,6,1,1,0,1,0,3,-0.8,-2,2.0
7,2015-11-22,27-348,POR,@,LAL,W (+14),0,18:15,1,5,.200,0,0,,1,2,.500,0,3,3,0,1,0,0,0,3,1.4,+1,2.0
8,2015-11-24,27-350,POR,,CHI,L (-5),0,16:57,2,5,.400,1,2,.500,0,2,.000,0,1,1,0,1,0,3,0,5,-0.2,-8,2.0
9,2015-11-28,27-354,POR,,LAL,W (+12),0,8:06,2,5,.400,1,2,.500,4,4,1.000,0,2,2,0,1,0,0,0,9,7.9,+2,2.0
10,2015-11-30,27-356,POR,@,LAC,L (-15),0,15:43,3,6,.500,0,1,.000,2,4,.500,0,3,3,1,0,0,0,5,8,3.8,+2,2.0
11,2015-12-01,27-357,POR,,DAL,L (-3),0,23:32,7,13,.538,2,5,.400,4,4,1.000,0,4,4,1,0,0,0,2,20,14.8,+11,2.0
12,2015-12-03,27-359,POR,,IND,W (+12),0,8:56,2,4,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,4,2.6,-1,2.0
13,2015-12-05,27-361,POR,@,MIN,W (+6),0,17:22,1,2,.500,1,1,1.000,5,6,.833,1,2,3,2,0,0,2,1,8,6.9,+1,2.0
14,2015-12-07,27-363,POR,@,MIL,L (-2),0,15:14,1,3,.333,0,0,,0,0,,0,0,0,2,1,1,2,1,2,1.0,-2,2.0
15,2015-12-11,28-002,POR,@,PHO,W (+10),0,24:12,3,10,.300,2,5,.400,0,0,,1,3,4,2,0,1,0,1,8,5.5,-2,2.0
16,2015-12-12,28-003,POR,,NYK,L (-2),0,7:20,2,3,.667,1,1,1.000,2,4,.500,0,1,1,1,0,0,0,1,7,5.5,-8,2.0
17,2015-12-14,28-005,POR,,NOP,W (+4),0,21:29,7,10,.700,4,5,.800,1,1,1.000,0,2,2,0,0,0,0,1,19,15.0,+5,2.0
18,2015-12-16,28-007,POR,@,OKC,L (-16),0,16:42,1,5,.200,0,1,.000,0,0,,0,3,3,1,0,0,1,0,2,-0.5,-10,2.0
19,2015-12-18,28-009,POR,@,ORL,L (-8),0,16:27,1,3,.333,0,1,.000,2,2,1.000,1,3,4,1,0,1,1,0,4,4.3,-5,2.0
20,2015-12-20,28-011,POR,@,MIA,L (-7),0,8:47,2,4,.500,0,1,.000,0,0,,0,2,2,0,0,0,3,0,4,-0.4,+1,2.0
21,2015-12-21,28-012,POR,@,ATL,L (-9),0,26:04,3,11,.273,1,6,.167,5,6,.833,1,2,3,4,0,0,2,2,12,6.4,-5,2.0
