G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,28-093,IND,@,TOR,L (-7),0,23:15,2,7,.286,0,0,,4,6,.667,1,7,8,0,1,0,0,4,8,5.3,-2,5.0
2,2015-10-29,28-094,IND,,MEM,L (-9),1,19:49,2,6,.333,0,0,,0,0,,3,3,6,0,0,0,0,4,4,2.0,-4,5.0
3,2015-11-03,28-099,IND,@,DET,W (+12),0,23:21,5,9,.556,0,0,,0,0,,4,2,6,1,1,0,1,3,10,8.6,+11,5.0
4,2015-11-04,28-100,IND,,BOS,W (+2),1,29:19,7,14,.500,0,0,,2,2,1.000,4,6,10,0,2,0,2,2,16,12.8,0,5.0
5,2015-11-06,28-102,IND,,MIA,W (+3),0,23:44,5,10,.500,0,0,,0,0,,3,7,10,0,0,1,2,2,10,7.1,+13,5.0
6,2015-11-08,28-104,IND,@,CLE,L (-4),1,32:12,3,15,.200,0,0,,1,1,1.000,7,4,11,3,2,0,1,2,7,6.1,+2,5.0
7,2015-11-09,28-105,IND,,ORL,W (+13),0,21:12,2,7,.286,0,0,,2,3,.667,2,5,7,4,1,0,4,1,6,3.8,+2,5.0
8,2015-11-11,28-107,IND,@,BOS,W (+11),0,22:39,5,10,.500,0,0,,2,4,.500,3,5,8,3,0,0,0,2,12,11.1,+19,5.0
9,2015-11-13,28-109,IND,,MIN,W (+4),0,16:11,2,5,.400,0,0,,1,1,1.000,4,3,7,1,0,0,3,0,5,3.7,-1,5.0
10,2015-11-16,28-112,IND,@,CHI,L (-1),0,26:58,1,7,.143,0,0,,3,4,.750,4,8,12,3,0,1,1,1,5,6.7,-1,5.0
11,2015-11-18,28-114,IND,@,PHI,W (+27),0,21:14,4,9,.444,0,0,,2,3,.667,5,2,7,1,1,1,4,3,10,6.2,-16,5.0
12,2015-11-21,28-117,IND,,MIL,W (+37),0,27:55,9,10,.900,0,0,,2,2,1.000,2,9,11,1,2,1,0,0,20,24.1,+23,5.0
13,2015-11-24,28-120,IND,@,WAS,W (+17),0,25:18,2,4,.500,0,0,,2,4,.500,0,5,5,1,3,0,0,4,6,6.8,-7,5.0
14,2015-11-29,28-125,IND,@,LAL,W (+4),0,20:00,3,8,.375,0,0,,0,0,,3,7,10,1,0,0,0,4,6,4.9,+9,5.0
15,2015-12-02,28-128,IND,@,LAC,W (+12),0,20:25,4,6,.667,0,0,,5,6,.833,2,6,8,2,0,0,1,4,13,12.0,+10,5.0
16,2015-12-03,28-129,IND,@,POR,L (-12),0,20:44,4,9,.444,0,0,,2,2,1.000,1,2,3,1,0,1,1,2,10,6.2,-11,5.0
17,2015-12-05,28-131,IND,@,UTA,L (-3),0,22:53,4,9,.444,0,1,.000,2,2,1.000,6,2,8,0,0,0,2,5,10,6.1,+1,5.0
18,2015-12-08,28-134,IND,,GSW,L (-8),0,17:27,4,7,.571,0,0,,2,4,.500,2,1,3,2,0,0,0,2,10,8.2,-2,5.0
19,2015-12-11,28-137,IND,,MIA,W (+13),0,12:02,1,2,.500,0,0,,2,2,1.000,1,1,2,0,2,1,1,2,4,4.9,-4,5.0
20,2015-12-12,28-138,IND,@,DET,L (-22),0,25:45,4,6,.667,0,0,,0,0,,1,6,7,3,0,0,3,2,8,6.2,-2,5.0
