G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-31,24-227,IND,,UTA,L (-21),0,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,3.0
2,2015-11-16,24-243,IND,@,CHI,L (-1),0,12:59,2,5,.400,0,2,.000,0,0,,1,0,1,0,0,0,1,0,4,1.0,-7,3.0
3,2015-11-18,24-245,IND,@,PHI,W (+27),0,10:34,2,5,.400,0,1,.000,0,0,,0,5,5,1,1,0,1,1,4,3.1,-1,3.0
4,2015-11-21,24-248,IND,,MIL,W (+37),0,5:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.7,+5,3.0
5,2015-11-24,24-251,IND,@,WAS,W (+17),0,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,3.0
6,2015-11-27,24-254,IND,,CHI,W (+12),0,11:47,0,1,.000,0,1,.000,0,0,,0,3,3,3,1,0,0,0,0,3.3,+8,3.0
7,2015-12-03,24-260,IND,@,POR,L (-12),0,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,3.0
8,2015-12-08,24-265,IND,,GSW,L (-8),0,21:08,3,8,.375,0,0,,0,0,,5,4,9,2,1,1,0,4,6,7.8,+9,3.0
9,2015-12-12,24-269,IND,@,DET,L (-22),0,5:30,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,+3,3.0
10,2015-12-14,24-271,IND,,TOR,W (+16),0,3:27,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9,3.0
11,2015-12-16,24-273,IND,,DAL,W (+26),0,3:10,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+5,3.0
12,2015-12-19,24-276,IND,@,MEM,L (-12),0,1:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,3.0
13,2015-12-21,24-278,IND,@,SAS,L (-14),0,1:57,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+2,3.0
