G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,34-299,CHI,@,BRK,W (+15),0,4:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-7,1.0
2,2015-11-13,34-315,CHI,,CHO,W (+5),0,9:05,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,4.0,+4,1.0
3,2015-11-16,34-318,CHI,,IND,W (+1),0,13:20,2,6,.333,0,1,.000,5,6,.833,0,1,1,1,2,0,1,2,9,6.4,-5,1.0
4,2015-11-18,34-320,CHI,@,PHO,W (+6),1,23:32,6,7,.857,2,2,1.000,0,0,,0,2,2,6,1,0,1,0,14,16.3,+5,1.0
5,2015-11-20,34-322,CHI,@,GSW,L (-12),1,34:24,6,11,.545,3,4,.750,2,2,1.000,1,1,2,1,2,0,2,6,17,11.0,0,1.0
6,2015-11-24,34-326,CHI,@,POR,W (+5),0,25:34,1,4,.250,0,1,.000,1,1,1.000,0,1,1,3,0,0,0,4,3,1.4,-2,1.0
7,2015-11-27,34-329,CHI,@,IND,L (-12),0,21:38,3,7,.429,3,4,.750,2,2,1.000,0,1,1,2,0,0,1,3,11,6.8,+4,1.0
8,2015-12-05,34-337,CHI,,CHO,L (-6),0,13:46,2,6,.333,0,2,.000,0,0,,0,3,3,2,1,0,1,2,4,2.1,+5,1.0
9,2015-12-07,34-339,CHI,,PHO,L (-2),0,13:48,0,5,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,2,0,-5.0,-4,1.0
10,2015-12-09,34-341,CHI,@,BOS,L (-5),0,11:02,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,2,0.2,0,1.0
11,2015-12-10,34-342,CHI,,LAC,W (+3),0,19:49,1,4,.250,1,4,.250,0,0,,1,1,2,3,1,0,1,1,3,3.3,+9,1.0
12,2015-12-12,34-344,CHI,,NOP,W (+4),0,14:32,1,1,1.000,1,1,1.000,0,0,,0,2,2,2,1,0,2,0,3,3.7,+7,1.0
13,2015-12-14,34-346,CHI,,PHI,W (+19),0,13:25,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,1,2,3,1.2,+23,1.0
14,2015-12-16,34-348,CHI,,MEM,W (+13),0,10:41,2,3,.667,1,1,1.000,0,0,,0,1,1,2,0,0,1,2,5,3.6,+5,1.0
15,2015-12-18,34-350,CHI,,DET,L (-3),0,13:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-1.9,+2,1.0
16,2015-12-19,34-351,CHI,@,NYK,L (-16),0,20:18,0,2,.000,0,1,.000,0,0,,0,4,4,1,0,0,1,3,0,-1.7,-9,1.0
17,2015-12-21,34-353,CHI,,BRK,L (-3),0,12:13,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,3,3,2.5,-3,1.0
18,2015-12-25,34-357,CHI,@,OKC,W (+9),0,17:16,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,2,2,1.6,-1,1.0
19,2015-12-26,34-358,CHI,@,DAL,L (-7),0,10:12,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,1,2,0,-2.9,-1,1.0
20,2015-12-28,34-360,CHI,,TOR,W (+7),0,9:28,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+14,1.0
21,2015-12-30,34-362,CHI,,IND,W (+2),1,12:34,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,1,2,1,3,-0.4,-9,1.0
22,2016-01-01,34-364,CHI,,NYK,W (+27),1,16:27,1,2,.500,0,1,.000,0,0,,0,5,5,2,0,0,1,0,2,2.9,0,1.0
23,2016-01-03,35-001,CHI,@,TOR,W (+2),1,20:48,3,4,.750,2,3,.667,0,0,,1,1,2,4,1,0,0,2,8,10.4,-3,1.0
24,2016-01-05,35-003,CHI,,MIL,W (+11),0,13:28,1,2,.500,0,1,.000,0,0,,0,1,1,4,0,0,1,1,2,2.7,-4,1.0
25,2016-01-07,35-005,CHI,,BOS,W (+9),0,13:33,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,1,2,3,0.5,+3,1.0
26,2016-01-12,35-010,CHI,@,MIL,L (-5),0,11:52,0,2,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,1,0,-0.2,-8,1.0
27,2016-01-14,35-012,CHI,@,PHI,W (+4),1,32:18,2,4,.500,1,3,.333,0,0,,0,4,4,1,1,0,1,1,5,4.5,+14,1.0
28,2016-01-15,35-013,CHI,,DAL,L (-6),0,7:30,1,3,.333,0,2,.000,5,5,1.000,1,1,2,0,1,0,0,1,7,6.9,-9,1.0
29,2016-01-31,35-029,CHI,@,LAC,L (-27),0,10:53,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-8,1.0
30,2016-02-01,35-030,CHI,@,UTA,L (-9),0,15:20,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,1,2,2,-0.2,+5,1.0
31,2016-02-03,35-032,CHI,@,SAC,W (+5),0,18:55,1,2,.500,1,1,1.000,0,0,,1,3,4,5,0,0,0,3,3,5.9,-5,1.0
