G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-008,UTA,@,DET,L (-5),1,29:25,6,15,.400,0,7,.000,0,0,,1,3,4,6,0,0,1,5,12,6.7,+7,2.0
2,2015-10-30,23-010,UTA,@,PHI,W (+28),1,22:37,6,14,.429,3,6,.500,2,2,1.000,0,0,0,1,0,0,1,3,17,8.1,+15,2.0
3,2015-10-31,23-011,UTA,@,IND,W (+21),1,28:43,8,13,.615,1,3,.333,0,0,,1,4,5,1,4,0,3,4,17,13.1,+12,2.0
4,2015-11-04,23-015,UTA,,POR,L (-16),1,23:09,4,10,.400,0,3,.000,2,2,1.000,1,1,2,4,1,0,0,4,10,7.8,-16,2.0
5,2015-11-05,23-016,UTA,@,DEN,W (+12),1,22:47,3,7,.429,2,5,.400,0,0,,0,1,1,4,0,1,1,4,8,5.5,-2,2.0
6,2015-11-07,23-018,UTA,,MEM,W (+10),1,30:54,2,5,.400,1,3,.333,2,2,1.000,0,2,2,2,1,3,3,3,7,5.2,+4,2.0
7,2015-11-10,23-021,UTA,@,CLE,L (-4),1,29:43,4,10,.400,2,7,.286,6,6,1.000,0,3,3,2,2,0,2,6,16,10.5,-10,2.0
8,2015-11-12,23-023,UTA,@,MIA,L (-1),1,38:26,4,14,.286,1,5,.200,1,2,.500,0,1,1,3,2,0,1,3,10,3.6,+2,2.0
9,2015-11-15,23-026,UTA,@,ATL,W (+1),1,36:46,8,17,.471,4,9,.444,0,0,,0,0,0,3,1,0,1,3,20,12.2,-4,2.0
10,2015-11-18,23-029,UTA,,TOR,W (+4),1,34:35,5,10,.500,2,4,.500,4,4,1.000,1,5,6,4,1,0,4,2,16,12.2,+12,2.0
11,2015-11-20,23-031,UTA,@,DAL,L (-9),1,36:03,5,14,.357,0,4,.000,3,4,.750,1,0,1,4,1,0,3,3,13,5.1,-18,2.0
12,2015-11-23,23-034,UTA,,OKC,L (-22),1,20:26,3,6,.500,0,2,.000,3,5,.600,0,2,2,1,3,0,2,2,9,6.7,-2,2.0
13,2015-11-25,23-036,UTA,@,LAC,W (+11),1,30:36,4,6,.667,0,0,,5,6,.833,0,4,4,5,0,0,2,4,13,11.1,+6,2.0
14,2015-11-28,23-039,UTA,,NOP,W (+14),1,33:30,5,15,.333,2,5,.400,4,4,1.000,1,1,2,4,2,0,1,3,16,11.1,+4,2.0
15,2015-11-30,23-041,UTA,,GSW,L (-3),1,34:20,4,12,.333,2,7,.286,2,2,1.000,0,0,0,3,1,0,1,2,12,6.5,+4,2.0
16,2015-12-03,23-044,UTA,,ORL,L (-9),1,24:50,1,8,.125,1,5,.200,0,0,,1,3,4,1,0,1,2,3,3,-2.4,-9,2.0
17,2015-12-05,23-046,UTA,,IND,W (+3),1,20:43,2,5,.400,0,1,.000,2,2,1.000,0,4,4,2,0,0,0,6,6,3.5,+13,2.0
