G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-264,WAS,@,ORL,W (+1),1,26:00,4,9,.444,1,3,.333,2,2,1.000,2,4,6,0,1,0,3,2,11,6.1,+9,4.0
2,2015-10-30,30-266,WAS,@,MIL,W (+5),1,14:11,1,4,.250,1,2,.500,2,2,1.000,2,1,3,0,0,0,1,0,5,3.3,-15,4.0
3,2015-10-31,30-267,WAS,,NYK,L (-7),1,14:34,0,1,.000,0,0,,2,2,1.000,0,3,3,3,0,0,0,2,2,3.5,-2,4.0
4,2015-11-04,30-271,WAS,,SAS,W (+3),1,22:40,3,7,.429,1,4,.250,0,0,,0,6,6,0,0,0,0,2,7,4.3,+6,4.0
5,2015-11-06,30-273,WAS,@,BOS,L (-20),1,20:52,3,5,.600,3,4,.750,0,0,,2,4,6,0,0,1,0,3,9,8.8,+3,4.0
6,2015-11-07,30-274,WAS,@,ATL,L (-15),1,25:05,3,10,.300,1,5,.200,2,2,1.000,0,6,6,0,0,0,1,3,9,2.8,-15,4.0
7,2015-11-10,30-277,WAS,,OKC,L (-24),1,17:33,3,6,.500,1,2,.500,0,0,,1,4,5,3,0,2,0,1,7,9.0,-13,4.0
8,2015-11-14,30-281,WAS,,ORL,W (+9),1,29:44,9,14,.643,5,8,.625,0,0,,1,4,5,0,0,2,1,2,23,18.3,+7,4.0
9,2015-11-17,30-284,WAS,,MIL,W (+29),1,20:44,2,4,.500,1,2,.500,4,4,1.000,1,3,4,1,0,1,1,1,9,8.6,-5,4.0
10,2015-11-21,30-288,WAS,@,DET,W (+2),1,16:48,0,7,.000,0,4,.000,0,0,,2,3,5,0,0,0,1,0,0,-3.6,-10,4.0
11,2015-11-24,30-291,WAS,,IND,L (-17),1,8:51,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,0,0,-1.0,-5,4.0
12,2015-11-25,30-292,WAS,@,CHO,L (-14),1,17:01,2,6,.333,1,5,.200,0,0,,2,5,7,2,0,1,1,1,5,5.2,+3,4.0
13,2015-11-27,30-294,WAS,@,BOS,L (-33),1,12:51,0,5,.000,0,1,.000,0,0,,1,3,4,0,1,1,1,2,0,-2.0,-16,4.0
14,2015-11-28,30-295,WAS,,TOR,L (-2),0,14:05,2,3,.667,0,0,,0,0,,1,4,5,1,0,1,1,0,4,5.0,+2,4.0
15,2015-12-01,30-298,WAS,@,CLE,W (+12),0,9:05,0,3,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-2.3,0,4.0
16,2015-12-02,30-299,WAS,,LAL,L (-4),0,11:07,3,7,.429,1,2,.500,2,2,1.000,2,2,4,1,0,0,0,2,9,7.2,+10,4.0
17,2015-12-07,30-304,WAS,@,MIA,W (+11),0,17:28,1,5,.200,0,1,.000,0,0,,1,1,2,1,0,0,0,3,2,-0.6,0,4.0
18,2015-12-14,30-311,WAS,@,MEM,L (-17),0,18:14,2,7,.286,0,2,.000,1,2,.500,3,2,5,2,0,1,0,2,5,4.5,+2,4.0
19,2015-12-16,30-313,WAS,@,SAS,L (-19),1,28:48,4,8,.500,0,2,.000,0,0,,3,6,9,1,0,0,2,2,8,5.8,-11,4.0
20,2015-12-19,30-316,WAS,,CHO,W (+8),0,16:20,2,3,.667,0,0,,1,1,1.000,0,4,4,0,0,0,0,1,5,4.5,-4,4.0
21,2015-12-21,30-318,WAS,,SAC,W (+14),0,16:54,4,7,.571,3,3,1.000,4,4,1.000,0,1,1,0,0,1,0,2,15,11.9,-6,4.0
22,2015-12-23,30-320,WAS,,MEM,W (+9),0,17:01,2,4,.500,2,3,.667,2,2,1.000,0,3,3,0,0,1,2,0,8,5.6,-2,4.0
23,2015-12-26,30-323,WAS,@,BRK,W (+15),0,19:47,4,9,.444,1,4,.250,1,2,.500,0,8,8,1,1,0,0,1,10,8.6,-4,4.0
24,2015-12-28,30-325,WAS,,LAC,L (-17),0,9:49,1,4,.250,0,2,.000,2,2,1.000,0,1,1,0,0,0,2,3,4,-1.3,-7,4.0
25,2015-12-30,30-327,WAS,@,TOR,L (-3),0,11:55,3,6,.500,0,1,.000,0,0,,1,2,3,0,0,0,2,2,6,1.5,-6,4.0
26,2016-01-01,30-329,WAS,,ORL,W (+12),0,12:39,4,6,.667,1,3,.333,2,2,1.000,0,3,3,0,0,1,0,2,11,9.2,+1,4.0
27,2016-01-03,30-331,WAS,,MIA,L (-22),0,11:34,2,6,.333,0,1,.000,2,2,1.000,0,2,2,0,0,1,0,1,6,3.5,-5,4.0
28,2016-02-09,31-003,WAS,@,NYK,W (+3),0,3:50,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+3,4.0
29,2016-02-19,31-013,PHO,,HOU,L (-16),0,27:12,5,13,.385,2,5,.400,6,6,1.000,4,8,12,2,1,2,0,5,18,17.9,+4,4.0
30,2016-02-21,31-015,PHO,,SAS,L (-7),1,24:16,3,7,.429,1,3,.333,0,0,,1,2,3,4,1,0,1,1,7,7.0,-8,4.0
