G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-040,OKC,,SAS,W (+6),1,33:58,4,9,.444,0,1,.000,2,2,1.000,2,3,5,1,0,2,4,1,10,5.3,+10,4.0
2,2015-10-30,26-042,OKC,@,ORL,W (+3),1,32:41,4,12,.333,0,1,.000,0,0,,6,6,12,0,1,2,1,3,8,7.4,-18,4.0
3,2015-11-01,26-044,OKC,,DEN,W (+24),1,30:50,8,13,.615,0,0,,2,3,.667,1,6,7,4,0,5,1,3,18,18.3,+27,4.0
4,2015-11-02,26-045,OKC,@,HOU,L (-5),1,33:52,6,14,.429,0,1,.000,0,0,,6,8,14,2,1,4,1,3,12,14.2,-10,4.0
5,2015-11-04,26-047,OKC,,TOR,L (-5),1,32:52,4,7,.571,0,0,,2,2,1.000,1,5,6,0,0,3,1,5,10,8.0,-5,4.0
6,2015-11-05,26-048,OKC,@,CHI,L (-6),1,40:04,8,14,.571,1,1,1.000,0,2,.000,1,5,6,1,0,2,1,2,17,12.1,0,4.0
7,2015-11-08,26-051,OKC,,PHO,W (+21),1,36:31,5,12,.417,0,2,.000,0,0,,4,5,9,1,1,0,1,4,10,7.0,+36,4.0
8,2015-11-10,26-053,OKC,@,WAS,W (+24),1,30:26,9,15,.600,3,3,1.000,2,3,.667,3,3,6,3,0,0,2,3,23,17.6,+20,4.0
9,2015-11-13,26-056,OKC,,PHI,W (+17),1,28:51,4,12,.333,1,1,1.000,2,2,1.000,0,7,7,2,1,7,0,3,11,12.4,+6,4.0
10,2015-11-15,26-058,OKC,,BOS,L (-15),1,34:46,8,16,.500,0,1,.000,0,0,,4,6,10,0,0,3,0,1,16,14.3,+1,4.0
11,2015-11-16,26-059,OKC,@,MEM,L (-8),1,34:49,8,16,.500,2,3,.667,0,2,.000,1,8,9,0,0,3,2,3,18,11.2,+2,4.0
12,2015-11-18,26-061,OKC,,NOP,W (+7),1,33:18,2,11,.182,0,1,.000,2,4,.500,2,3,5,1,1,1,1,3,6,0.8,-1,4.0
13,2015-11-20,26-063,OKC,,NYK,L (-3),1,29:35,4,13,.308,0,2,.000,0,0,,1,2,3,1,0,0,1,1,8,1.1,-10,4.0
14,2015-11-22,26-065,OKC,,DAL,W (+3),1,31:45,8,15,.533,0,1,.000,0,0,,3,6,9,1,0,1,3,4,16,9.4,-6,4.0
15,2015-11-23,26-066,OKC,@,UTA,W (+22),1,25:12,5,10,.500,1,4,.250,0,0,,0,4,4,0,0,4,4,5,11,4.0,+6,4.0
16,2015-11-25,26-068,OKC,,BRK,W (+11),1,32:57,4,9,.444,0,2,.000,4,4,1.000,1,7,8,1,1,2,1,1,12,11.8,+16,4.0
17,2015-11-27,26-070,OKC,,DET,W (+16),1,31:47,7,8,.875,0,0,,0,0,,1,3,4,0,0,4,1,2,14,13.8,+6,4.0
18,2015-11-30,26-073,OKC,@,ATL,L (-6),1,35:02,8,15,.533,0,0,,1,1,1.000,1,4,5,1,1,4,0,2,17,15.3,+1,4.0
