G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,31-272,GSW,,NOP,W (+16),0,23:23,1,3,.333,0,1,.000,0,0,,1,4,5,3,1,0,1,2,2,3.5,+1,3.0
2,2015-10-30,31-275,GSW,@,HOU,W (+20),0,29:47,5,9,.556,2,5,.400,0,0,,3,3,6,4,2,0,0,0,12,15.5,+23,3.0
3,2015-10-31,31-276,GSW,@,NOP,W (+14),0,29:30,3,6,.500,1,2,.500,1,2,.500,1,6,7,3,1,0,0,3,8,9.0,+9,3.0
4,2015-11-02,31-278,GSW,,MEM,W (+50),0,21:30,3,8,.375,0,3,.000,0,0,,1,2,3,4,2,1,2,0,6,6.4,+24,3.0
5,2015-11-04,31-280,GSW,,LAC,W (+4),0,31:41,2,7,.286,0,4,.000,2,4,.500,1,4,5,5,1,0,1,3,6,5.3,+9,3.0
6,2015-11-06,31-282,GSW,,DEN,W (+15),0,23:07,1,3,.333,0,1,.000,0,0,,0,2,2,7,2,1,0,2,2,7.7,+13,3.0
7,2015-11-07,31-283,GSW,@,SAC,W (+9),0,33:40,6,8,.750,2,3,.667,0,0,,2,4,6,4,4,0,1,0,14,19.2,+23,3.0
8,2015-11-09,31-285,GSW,,DET,W (+14),0,29:24,5,11,.455,1,1,1.000,2,3,.667,1,4,5,2,1,0,2,2,13,8.4,+7,3.0
9,2015-11-11,31-287,GSW,@,MEM,W (+16),0,26:45,6,9,.667,4,5,.800,4,6,.667,1,0,1,0,0,0,1,3,20,13.8,+9,3.0
10,2015-11-12,31-288,GSW,@,MIN,W (+13),0,29:37,1,6,.167,1,3,.333,0,0,,0,4,4,6,1,0,0,3,3,4.4,-5,3.0
11,2015-11-14,31-290,GSW,,BRK,W (+8),0,37:53,6,12,.500,3,6,.500,0,0,,1,5,6,6,2,0,3,2,15,13.6,+11,3.0
12,2015-11-17,31-293,GSW,,TOR,W (+5),0,32:00,3,3,1.000,1,1,1.000,0,1,.000,3,0,3,7,0,0,1,4,7,10.1,+4,3.0
13,2015-11-19,31-295,GSW,@,LAC,W (+7),0,30:52,3,4,.750,2,2,1.000,0,0,,1,3,4,7,0,0,3,0,8,9.9,+12,3.0
14,2015-11-20,31-296,GSW,,CHI,W (+12),0,28:36,5,9,.556,1,3,.333,1,2,.500,0,5,5,1,1,0,1,1,12,9.1,+24,3.0
15,2015-11-22,31-298,GSW,@,DEN,W (+13),0,26:32,5,6,.833,2,3,.667,0,0,,0,3,3,4,4,1,1,4,12,15.6,+19,3.0
16,2015-11-24,31-300,GSW,,LAL,W (+34),0,21:59,3,4,.750,0,1,.000,0,0,,1,8,9,4,1,0,0,0,6,11.3,+25,3.0
17,2015-11-27,31-303,GSW,@,PHO,W (+19),0,23:18,4,6,.667,1,2,.500,0,0,,2,3,5,2,0,0,2,0,9,8.1,+10,3.0
