G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,20-161,MIL,,NYK,L (-25),0,14:44,1,2,.500,1,2,.500,0,0,,1,3,4,1,1,0,1,3,3,3.1,-6,3.0
2,2015-10-30,20-163,MIL,,WAS,L (-5),0,3:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-7,3.0
3,2015-11-01,20-165,MIL,@,TOR,L (-19),0,3:33,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,1,0,2,0.6,0,3.0
4,2015-11-07,20-171,MIL,,BRK,W (+8),0,1:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,3.0
5,2015-11-10,20-174,MIL,,BOS,L (-16),0,12:12,1,3,.333,0,2,.000,1,2,.500,0,3,3,1,0,0,1,1,3,1.1,-14,3.0
6,2015-12-15,20-209,MIL,@,LAL,L (-18),0,1:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,3.0
7,2015-12-23,20-217,MIL,,PHI,W (+13),0,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3,3.0
8,2016-01-10,20-235,MIL,@,NYK,L (-12),0,2:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,3.0
9,2016-03-12,20-297,MIL,,NOP,W (+11),0,2:44,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-4,3.0
10,2016-03-13,20-298,MIL,@,BRK,W (+9),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,3.0
11,2016-03-15,20-300,MIL,,TOR,L (-18),0,3:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-0.7,0,3.0
12,2016-03-17,20-302,MIL,,MEM,W (+10),0,21:33,3,5,.600,0,2,.000,4,4,1.000,0,5,5,2,0,3,0,0,10,12.7,+11,3.0
13,2016-03-20,20-305,MIL,,UTA,L (-9),0,7:46,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,1,0,2,-0.1,+3,3.0
14,2016-03-21,20-306,MIL,@,DET,L (-1),0,13:21,1,3,.333,0,0,,0,0,,0,3,3,1,0,0,0,1,2,1.5,-9,3.0
15,2016-03-23,20-308,MIL,@,CLE,L (-9),0,8:43,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,1,2,1.5,-3,3.0
16,2016-03-26,20-311,MIL,,CHO,L (-24),0,5:52,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-2,3.0
17,2016-04-03,20-319,MIL,,CHI,L (-4),1,9:19,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,0,0,0.3,-7,3.0
18,2016-04-05,20-321,MIL,,CLE,L (-29),0,5:41,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.7,-1,3.0
19,2016-04-08,20-324,MIL,@,BOS,L (-15),0,14:54,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,3,0,-2.3,+2,3.0
20,2016-04-13,20-329,MIL,,IND,L (-5),0,20:16,4,5,.800,2,2,1.000,0,0,,0,4,4,1,1,0,2,1,10,8.6,-2,3.0
