G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,25-194,DET,@,ATL,W (+12),1,32:07,4,10,.400,2,4,.500,5,5,1.000,1,7,8,5,2,0,2,0,15,15.9,+26,1.0
2,2015-10-28,25-195,DET,,UTA,W (+5),1,31:15,7,14,.500,1,3,.333,4,7,.571,0,2,2,4,0,0,4,1,19,9.8,-5,1.0
3,2015-10-30,25-197,DET,,CHI,W (+4),1,37:05,9,24,.375,1,4,.250,3,4,.750,1,6,7,7,2,0,5,3,22,11.6,+7,1.0
4,2015-11-03,25-201,DET,,IND,L (-12),1,34:17,8,20,.400,2,4,.500,2,2,1.000,0,0,0,6,1,1,6,3,20,7.9,+8,1.0
5,2015-11-06,25-204,DET,@,PHO,W (+8),1,30:19,8,18,.444,1,4,.250,6,8,.750,0,6,6,7,0,1,4,3,23,15.0,+7,1.0
6,2015-11-08,25-206,DET,@,POR,W (+17),1,34:17,15,26,.577,3,3,1.000,7,8,.875,2,3,5,5,2,0,2,1,40,32.8,+22,1.0
7,2015-11-09,25-207,DET,@,GSW,L (-14),1,29:40,7,19,.368,1,6,.167,5,6,.833,0,2,2,5,2,0,6,0,20,9.2,-5,1.0
8,2015-11-11,25-209,DET,@,SAC,L (-9),1,32:41,5,15,.333,1,6,.167,5,6,.833,1,3,4,3,0,0,2,2,16,8.0,-15,1.0
9,2015-11-14,25-212,DET,@,LAC,L (-5),1,34:21,7,15,.467,2,6,.333,4,5,.800,1,5,6,5,1,0,4,1,20,14.2,-5,1.0
10,2015-11-15,25-213,DET,@,LAL,L (-12),1,24:17,4,11,.364,1,4,.250,0,0,,0,4,4,3,0,0,5,1,9,0.8,-13,1.0
11,2015-11-17,25-215,DET,,CLE,W (+5),1,34:27,7,18,.389,1,2,.500,8,8,1.000,1,5,6,12,1,0,5,3,23,18.6,+15,1.0
12,2015-11-20,25-218,DET,@,MIN,W (+10),1,27:31,8,15,.533,2,5,.400,0,0,,1,4,5,5,1,0,0,3,18,15.9,+15,1.0
