G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-297,CHO,@,MIA,L (-10),1,21:46,8,14,.571,0,0,,1,3,.333,2,3,5,1,1,0,1,1,17,12.2,-8,5.0
2,2015-10-30,30-299,CHO,@,ATL,L (-3),1,29:52,5,15,.333,0,0,,0,0,,4,7,11,0,1,2,0,1,10,8.4,+7,5.0
3,2015-11-01,30-301,CHO,,ATL,L (-2),1,29:24,5,12,.417,0,0,,0,0,,0,10,10,2,0,2,0,1,10,9.0,+2,5.0
4,2015-11-03,30-303,CHO,,CHI,W (+25),1,21:17,7,12,.583,0,0,,0,0,,2,1,3,2,2,1,0,3,14,13.0,+3,5.0
5,2015-11-05,30-305,CHO,@,DAL,W (+14),1,26:48,15,18,.833,0,0,,1,1,1.000,3,6,9,1,0,1,2,3,31,26.5,+10,5.0
6,2015-11-07,30-307,CHO,@,SAS,L (-20),1,30:14,6,11,.545,0,0,,1,2,.500,1,6,7,1,0,0,0,4,13,8.9,+4,5.0
7,2015-11-10,30-310,CHO,@,MIN,W (+9),1,25:54,3,9,.333,0,0,,3,4,.750,0,4,4,2,0,1,2,2,9,4.0,-14,5.0
8,2015-11-11,30-311,CHO,,NYK,W (+2),1,22:33,2,10,.200,0,0,,0,0,,2,3,5,2,0,0,0,1,4,1.1,-10,5.0
9,2015-11-13,30-313,CHO,@,CHI,L (-5),1,30:43,3,9,.333,0,0,,0,0,,0,5,5,5,1,0,0,4,6,5.3,+10,5.0
10,2015-11-15,30-315,CHO,,POR,W (+12),1,30:27,13,17,.765,0,0,,3,4,.750,2,3,5,3,1,1,2,4,29,24.4,+10,5.0
11,2015-11-17,30-317,CHO,@,NYK,L (-8),1,26:00,5,12,.417,0,0,,0,2,.000,0,5,5,2,3,1,0,1,10,9.0,-15,5.0
12,2015-11-18,30-318,CHO,,BRK,W (+5),1,29:56,7,16,.438,0,0,,4,7,.571,1,7,8,2,0,2,1,4,18,11.4,-7,5.0
13,2015-11-20,30-320,CHO,,PHI,W (+25),1,30:40,11,19,.579,0,0,,4,5,.800,1,9,10,2,1,5,1,5,26,23.0,+18,5.0
14,2015-11-23,30-323,CHO,,SAC,W (+5),1,22:57,4,10,.400,0,0,,2,4,.500,0,3,3,3,1,1,3,1,10,5.1,-8,5.0
15,2015-11-25,30-325,CHO,,WAS,W (+14),1,29:54,6,13,.462,0,0,,2,2,1.000,3,8,11,1,1,0,0,2,14,12.7,+11,5.0
16,2015-11-27,30-327,CHO,,CLE,L (-5),1,30:56,5,12,.417,0,0,,1,2,.500,1,5,6,1,1,1,0,1,11,8.4,0,5.0
17,2015-11-29,30-329,CHO,,MIL,W (+5),1,6:51,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,-0.2,-8,5.0
18,2015-12-26,30-356,CHO,,MEM,W (+6),0,17:33,1,8,.125,0,0,,0,2,.000,1,3,4,0,1,2,0,6,2,-2.4,-16,5.0
19,2015-12-28,30-358,CHO,,LAL,W (+10),0,14:36,1,4,.250,0,0,,1,2,.500,0,4,4,0,0,0,2,1,3,-1.0,0,5.0
20,2016-02-19,31-046,CHO,@,MIL,W (+3),0,23:20,3,7,.429,0,0,,0,0,,0,5,5,1,1,1,2,2,6,3.4,+6,5.0
21,2016-02-21,31-048,CHO,@,BRK,W (+8),0,24:05,9,13,.692,0,0,,0,0,,1,6,7,0,0,0,2,3,18,11.8,+6,5.0
22,2016-02-24,31-051,CHO,@,CLE,L (-11),0,21:18,5,9,.556,0,0,,2,3,.667,2,4,6,0,0,0,1,3,12,7.7,-25,5.0
23,2016-02-26,31-053,CHO,@,IND,W (+1),0,20:33,4,12,.333,0,0,,1,2,.500,1,2,3,1,0,2,1,1,9,3.8,-10,5.0
24,2016-02-28,31-055,CHO,@,ATL,L (-11),0,23:13,3,11,.273,0,0,,0,2,.000,2,5,7,2,0,0,0,1,6,2.6,-9,5.0
25,2016-03-01,31-057,CHO,,PHO,W (+34),0,19:03,8,15,.533,0,0,,3,3,1.000,2,5,7,0,0,1,0,1,19,14.9,+26,5.0
26,2016-03-02,31-058,CHO,@,PHI,W (+20),0,18:59,2,4,.500,0,0,,2,3,.667,0,6,6,1,1,1,1,3,6,5.6,+13,5.0
27,2016-03-04,31-060,CHO,,IND,W (+7),0,20:46,6,10,.600,0,0,,1,2,.500,0,4,4,1,2,2,0,4,13,11.7,+4,5.0
28,2016-03-07,31-063,CHO,,MIN,W (+5),0,25:53,9,14,.643,0,0,,2,3,.667,1,5,6,2,0,0,0,0,20,17.0,+28,5.0
29,2016-03-09,31-065,CHO,,NOP,W (+9),0,18:06,1,3,.333,0,0,,3,4,.750,0,3,3,1,0,1,0,5,5,3.2,+4,5.0
30,2016-03-11,31-067,CHO,,DET,W (+15),0,21:23,5,10,.500,0,0,,2,4,.500,0,4,4,1,1,0,0,5,12,7.1,-2,5.0
31,2016-03-12,31-068,CHO,,HOU,W (+16),0,30:03,5,11,.455,0,0,,0,0,,2,8,10,3,0,2,1,5,10,8.6,+18,5.0
32,2016-03-14,31-070,CHO,,DAL,L (-11),0,21:22,1,3,.333,0,0,,5,6,.833,0,4,4,0,1,1,1,0,7,6.8,-7,5.0
33,2016-03-16,31-072,CHO,,ORL,W (+8),0,18:41,3,12,.250,0,0,,1,2,.500,3,5,8,3,0,0,0,1,7,4.7,-6,5.0
34,2016-03-17,31-073,CHO,@,MIA,W (+3),0,26:51,10,16,.625,0,0,,1,3,.333,3,7,10,1,1,0,1,2,21,17.1,-4,5.0
35,2016-03-19,31-075,CHO,,DEN,L (-8),0,19:00,4,6,.667,0,0,,2,2,1.000,1,5,6,1,0,3,1,5,10,9.4,-2,5.0
36,2016-03-21,31-077,CHO,,SAS,W (+3),0,19:21,1,9,.111,0,0,,1,2,.500,3,3,6,2,0,1,1,1,3,0.4,+5,5.0
37,2016-03-22,31-078,CHO,@,BRK,W (+5),0,24:24,5,8,.625,0,0,,0,0,,0,4,4,4,0,0,0,3,10,9.2,-3,5.0
38,2016-03-25,31-081,CHO,@,DET,L (-7),0,19:34,4,12,.333,0,0,,0,0,,1,6,7,1,1,0,1,4,8,2.8,-22,5.0
39,2016-03-26,31-082,CHO,@,MIL,W (+24),0,21:46,4,8,.500,0,0,,7,10,.700,1,5,6,1,0,0,0,1,15,12.3,+8,5.0
40,2016-03-29,31-085,CHO,@,PHI,W (+15),0,21:02,3,9,.333,0,0,,1,1,1.000,1,8,9,0,1,2,1,1,7,6.0,+8,5.0
41,2016-04-01,31-088,CHO,,PHI,W (+9),0,21:06,4,8,.500,0,0,,5,5,1.000,0,7,7,0,1,2,0,3,13,12.3,+1,5.0
42,2016-04-05,31-092,CHO,@,TOR,L (-6),0,20:10,2,9,.222,0,0,,1,2,.500,5,6,11,4,0,0,0,3,5,6.0,-2,5.0
43,2016-04-06,31-093,CHO,@,NYK,W (+14),0,28:52,11,21,.524,0,0,,2,2,1.000,0,8,8,1,2,0,1,2,24,17.0,+6,5.0
44,2016-04-08,31-095,CHO,,BRK,W (+14),0,17:18,3,8,.375,0,0,,0,0,,2,7,9,5,2,0,1,2,6,8.8,+5,5.0
45,2016-04-10,31-097,CHO,@,WAS,L (-15),0,21:25,4,9,.444,0,0,,2,2,1.000,1,6,7,0,0,0,1,4,10,5.2,-13,5.0
46,2016-04-11,31-098,CHO,@,BOS,W (+14),1,27:08,8,11,.727,0,0,,0,0,,2,9,11,2,2,1,3,5,16,14.7,+23,5.0
47,2016-04-13,31-100,CHO,,ORL,W (+14),0,23:23,11,15,.733,0,0,,4,6,.667,0,4,4,2,0,1,0,1,26,22.0,+1,5.0
