G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,25-184,UTA,@,PHI,W (+28),0,3:49,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,0,0,2,3.0,-1,3.0
2,2015-10-31,25-185,UTA,@,IND,W (+21),0,2:25,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,1.6,+4,3.0
3,2015-11-04,25-189,UTA,,POR,L (-16),0,0:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,3.0
4,2015-11-05,25-190,UTA,@,DEN,W (+12),0,5:10,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,-3,3.0
5,2015-11-10,25-195,UTA,@,CLE,L (-4),0,1:21,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,3.0
6,2015-11-13,25-198,UTA,@,ORL,L (-9),0,20:08,1,8,.125,1,4,.250,1,2,.500,1,4,5,1,0,0,2,3,4,-2.2,+18,3.0
7,2015-11-15,25-200,UTA,@,ATL,W (+1),0,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,3.0
8,2015-11-18,25-203,UTA,,TOR,W (+4),0,4:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+4,3.0
9,2015-11-20,25-205,UTA,@,DAL,L (-9),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,3.0
10,2015-11-23,25-208,UTA,,OKC,L (-22),0,5:49,2,3,.667,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,6,4.7,+3,3.0
11,2015-11-25,25-210,UTA,@,LAC,W (+11),0,6:55,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,2,1,2,0,-0.8,-6,3.0
12,2015-11-28,25-213,UTA,,NOP,W (+14),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,3.0
13,2015-12-03,25-218,UTA,,ORL,L (-9),0,7:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,3.0
14,2015-12-05,25-220,UTA,,IND,W (+3),0,6:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-8,3.0
15,2015-12-09,25-224,UTA,,NYK,W (+21),0,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,3.0
16,2015-12-14,25-229,UTA,@,SAS,L (-37),0,8:58,2,4,.500,0,1,.000,0,0,,1,1,2,1,1,0,1,0,4,3.7,+7,3.0
17,2015-12-16,25-231,UTA,,NOP,L (-10),0,9:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.8,-2,3.0
18,2015-12-21,25-236,UTA,,PHO,W (+21),0,1:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-2,3.0
