G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,34-121,BRK,,CHI,L (-15),1,32:21,4,15,.267,0,2,.000,2,3,.667,4,6,10,3,1,0,0,3,10,7.2,-29,2.0
2,2015-10-30,34-123,BRK,@,SAS,L (-27),1,25:14,1,7,.143,0,1,.000,0,0,,0,2,2,1,1,0,1,5,2,-3.2,-22,2.0
3,2015-10-31,34-124,BRK,@,MEM,L (-10),1,32:22,4,7,.571,1,2,.500,2,2,1.000,0,2,2,3,0,0,1,1,11,9.0,-6,2.0
4,2015-11-02,34-126,BRK,,MIL,L (-7),1,40:50,5,14,.357,2,7,.286,2,2,1.000,1,2,3,6,0,0,0,2,14,10.9,-4,2.0
5,2015-11-04,34-128,BRK,@,ATL,L (-14),1,29:54,1,10,.100,0,3,.000,3,4,.750,2,4,6,6,0,0,1,1,5,3.4,-3,2.0
6,2015-11-06,34-130,BRK,,LAL,L (-6),1,38:08,8,16,.500,1,5,.200,5,5,1.000,0,3,3,2,2,1,3,2,22,15.2,-6,2.0
7,2015-11-07,34-131,BRK,@,MIL,L (-8),1,35:20,3,10,.300,0,3,.000,2,2,1.000,2,7,9,6,1,0,2,2,8,8.1,-13,2.0
8,2015-11-11,34-135,BRK,@,HOU,W (+8),1,37:56,4,13,.308,1,2,.500,7,7,1.000,1,6,7,10,0,0,0,2,16,17.2,+10,2.0
9,2015-11-13,34-137,BRK,@,SAC,L (-2),1,35:27,6,16,.375,2,8,.250,0,1,.000,0,3,3,4,0,0,2,1,14,6.1,+7,2.0
10,2015-11-14,34-138,BRK,@,GSW,L (-8),1,41:26,3,12,.250,0,3,.000,0,0,,0,4,4,3,1,0,5,1,6,-2.3,-9,2.0
11,2015-11-17,34-141,BRK,,ATL,W (+2),1,39:00,5,14,.357,2,5,.400,1,2,.500,0,7,7,9,1,0,0,1,13,13.8,+7,2.0
12,2015-11-18,34-142,BRK,@,CHO,L (-5),1,36:31,6,13,.462,3,7,.429,1,2,.500,0,4,4,3,1,0,2,1,16,10.8,+4,2.0
13,2015-11-20,34-144,BRK,@,BOS,L (-25),1,18:19,1,5,.200,1,2,.500,0,0,,0,2,2,1,0,0,0,0,3,1.2,-19,2.0
14,2015-11-22,34-146,BRK,,BOS,W (+10),1,36:23,5,10,.500,3,6,.500,4,6,.667,0,4,4,4,1,0,3,3,17,12.0,+22,2.0
15,2015-11-25,34-149,BRK,@,OKC,L (-11),1,31:36,2,11,.182,0,5,.000,1,1,1.000,1,5,6,4,1,0,6,2,5,-2.7,-6,2.0
16,2015-11-28,34-152,BRK,@,CLE,L (-2),1,39:28,5,11,.455,2,5,.400,5,5,1.000,0,3,3,1,2,0,6,3,17,7.7,+2,2.0
17,2015-11-29,34-153,BRK,,DET,W (+4),1,38:45,4,10,.400,1,4,.250,4,4,1.000,0,5,5,1,0,0,3,1,13,6.4,+10,2.0
18,2015-12-01,34-155,BRK,,PHO,W (+3),1,35:16,4,8,.500,1,4,.250,0,0,,0,2,2,2,3,0,4,1,9,5.6,-2,2.0
19,2015-12-04,34-158,BRK,@,NYK,L (-17),1,31:43,3,9,.333,1,2,.500,2,2,1.000,1,3,4,4,1,0,1,3,9,7.1,-12,2.0
20,2015-12-06,34-160,BRK,,GSW,L (-16),1,36:25,4,12,.333,1,3,.333,0,0,,2,3,5,3,0,0,2,2,9,3.8,-15,2.0
21,2015-12-08,34-162,BRK,,HOU,W (+5),1,43:23,9,15,.600,2,5,.400,2,3,.667,3,2,5,8,3,0,2,3,22,22.8,+6,2.0
22,2015-12-10,34-164,BRK,,PHI,W (+9),1,33:16,3,9,.333,1,4,.250,0,0,,0,0,0,2,0,0,1,1,7,1.9,-4,2.0
23,2015-12-12,34-166,BRK,,LAC,L (-5),1,35:38,6,14,.429,2,6,.333,1,2,.500,1,3,4,3,0,0,2,1,15,8.5,+3,2.0
24,2015-12-14,34-168,BRK,,ORL,L (-23),1,26:24,2,8,.250,2,4,.500,0,0,,1,2,3,5,0,0,2,3,6,2.8,-16,2.0
25,2015-12-16,34-170,BRK,,MIA,L (-6),1,32:44,2,9,.222,1,1,1.000,0,0,,0,2,2,4,0,0,2,2,5,0.1,-9,2.0
26,2015-12-18,34-172,BRK,@,IND,L (-7),1,32:48,4,11,.364,3,4,.750,0,0,,0,0,0,3,3,0,1,2,11,8.2,-1,2.0
27,2015-12-20,34-174,BRK,,MIN,L (-15),1,30:57,2,10,.200,0,1,.000,2,2,1.000,2,4,6,6,0,0,2,3,6,3.4,-14,2.0
28,2015-12-21,34-175,BRK,@,CHI,W (+3),1,37:24,5,15,.333,2,6,.333,0,0,,0,3,3,5,2,0,0,3,12,8.7,+2,2.0
29,2015-12-23,34-177,BRK,,DAL,L (-1),1,36:59,6,16,.375,1,6,.167,0,0,,1,4,5,6,1,0,2,3,13,8.1,-4,2.0
30,2015-12-26,34-180,BRK,,WAS,L (-15),1,36:47,3,10,.300,1,4,.250,2,4,.500,0,3,3,1,0,0,2,1,9,1.6,-11,2.0
31,2015-12-28,34-182,BRK,@,MIA,W (+6),1,35:19,1,6,.167,1,4,.250,1,2,.500,2,4,6,4,0,0,2,3,4,2.0,+4,2.0
32,2015-12-30,34-184,BRK,@,ORL,L (-7),1,34:18,3,8,.375,1,5,.200,0,0,,1,2,3,0,1,0,1,1,7,3.5,-11,2.0
33,2016-01-02,34-187,BRK,@,BOS,W (+3),1,38:32,9,19,.474,2,7,.286,0,0,,0,1,1,2,0,0,3,2,20,8.2,-1,2.0
34,2016-01-04,34-189,BRK,,BOS,L (-9),1,34:51,8,15,.533,2,4,.500,3,4,.750,4,2,6,4,0,0,2,3,21,16.3,-4,2.0
35,2016-01-06,34-191,BRK,,TOR,L (-17),1,31:54,2,7,.286,1,2,.500,0,0,,0,2,2,1,0,0,3,3,5,-2.0,-18,2.0
36,2016-01-08,34-193,BRK,,ORL,L (-6),1,38:44,5,12,.417,3,7,.429,0,0,,0,3,3,3,1,0,2,3,13,7.4,-6,2.0
37,2016-01-09,34-194,BRK,@,DET,L (-14),1,33:43,6,10,.600,2,2,1.000,0,0,,0,4,4,4,0,0,0,0,14,13.4,+6,2.0
38,2016-01-11,34-196,BRK,,SAS,L (-27),1,28:01,6,7,.857,2,2,1.000,2,2,1.000,0,3,3,0,0,0,0,2,16,13.6,-17,2.0
39,2016-01-13,34-198,BRK,,NYK,W (+6),1,38:47,6,12,.500,2,4,.500,0,0,,0,7,7,6,1,0,2,1,14,12.9,+12,2.0
40,2016-01-15,34-200,BRK,,POR,L (-12),1,33:25,5,13,.385,3,6,.500,2,2,1.000,2,1,3,4,1,0,1,0,15,12.4,+9,2.0
41,2016-01-16,34-201,BRK,@,ATL,L (-28),1,26:54,5,9,.556,3,4,.750,1,1,1.000,0,4,4,0,0,0,1,1,14,9.5,-1,2.0
42,2016-01-18,34-203,BRK,@,TOR,L (-12),1,37:20,9,12,.750,3,4,.750,1,1,1.000,1,4,5,7,0,0,2,0,22,22.0,+1,2.0
43,2016-01-20,34-205,BRK,,CLE,L (-13),1,30:51,1,7,.143,1,4,.250,0,0,,0,1,1,1,0,0,2,1,3,-2.9,-4,2.0
44,2016-01-22,34-207,BRK,,UTA,L (-22),1,24:45,3,6,.500,2,3,.667,0,0,,0,5,5,4,1,0,1,2,8,8.5,-16,2.0
45,2016-01-24,34-209,BRK,,OKC,W (+10),1,35:16,5,14,.357,1,3,.333,2,2,1.000,0,0,0,6,2,0,2,4,13,7.8,+6,2.0
46,2016-01-26,34-211,BRK,,MIA,L (-4),1,36:40,5,8,.625,2,4,.500,3,3,1.000,0,4,4,8,0,0,5,0,15,13.2,+2,2.0
47,2016-01-29,34-214,BRK,@,DAL,L (-12),1,37:39,3,8,.375,0,4,.000,7,7,1.000,0,3,3,4,0,0,0,2,13,11.5,+6,2.0
48,2016-01-30,34-215,BRK,@,NOP,L (-2),1,34:42,4,10,.400,2,6,.333,0,0,,0,7,7,5,0,0,1,0,10,9.2,+6,2.0
49,2016-02-01,34-217,BRK,,DET,L (-5),1,25:02,1,8,.125,0,4,.000,1,2,.500,0,3,3,5,0,0,3,1,3,-1.6,-6,2.0
50,2016-02-03,34-219,BRK,,IND,L (-14),1,35:54,7,12,.583,4,5,.800,2,2,1.000,0,4,4,9,2,0,3,4,20,19.3,-3,2.0
51,2016-02-05,34-221,BRK,,SAC,W (+9),1,36:55,11,16,.688,5,7,.714,0,0,,1,5,6,11,2,1,6,0,27,26.8,+13,2.0
52,2016-02-06,34-222,BRK,@,PHI,L (-5),1,28:47,2,8,.250,1,4,.250,4,4,1.000,0,0,0,3,0,0,1,1,9,4.9,-6,2.0
53,2016-02-08,34-224,BRK,,DEN,W (+1),1,29:34,5,10,.500,2,5,.400,0,0,,0,3,3,8,2,0,2,0,12,13.5,+3,2.0
54,2016-02-10,34-226,BRK,,MEM,L (-19),1,22:40,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,4,1,0,-5.2,-1,2.0
55,2016-02-19,34-235,BRK,,NYK,W (+11),1,38:23,4,9,.444,1,4,.250,3,4,.750,1,5,6,6,0,0,3,3,12,9.1,+19,2.0
56,2016-02-21,34-237,BRK,,CHO,L (-8),1,32:38,4,6,.667,1,2,.500,8,9,.889,0,3,3,3,2,0,2,1,17,16.6,-2,2.0
57,2016-02-23,34-239,BRK,@,POR,L (-8),1,33:40,7,13,.538,1,2,.500,4,4,1.000,0,8,8,4,0,0,4,2,19,13.1,-8,2.0
