G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,19-151,DET,@,ATL,W (+12),0,24:29,3,10,.300,1,3,.333,0,0,,3,1,4,3,0,0,1,1,7,4.3,-13,3.0
2,2015-10-28,19-152,DET,,UTA,W (+5),0,19:35,3,10,.300,1,3,.333,4,4,1.000,2,3,5,0,0,0,0,3,11,6.3,0,3.0
3,2015-10-30,19-154,DET,,CHI,W (+4),0,11:59,3,8,.375,0,1,.000,1,1,1.000,2,2,4,1,1,0,1,1,7,4.9,-4,3.0
4,2015-11-03,19-158,DET,,IND,L (-12),0,11:33,0,5,.000,0,1,.000,0,2,.000,1,2,3,2,0,0,1,4,0,-4.2,-8,3.0
5,2015-11-06,19-161,DET,@,PHO,W (+8),0,22:28,2,5,.400,0,2,.000,1,3,.333,0,5,5,2,1,0,3,5,5,0.4,+7,3.0
6,2015-11-08,19-163,DET,@,POR,W (+17),0,20:10,1,4,.250,0,2,.000,1,2,.500,0,0,0,0,0,0,1,0,3,-0.8,-9,3.0
7,2015-11-09,19-164,DET,@,GSW,L (-14),0,32:05,9,14,.643,2,4,.500,0,1,.000,2,5,7,0,0,0,0,2,20,15.5,-9,3.0
8,2015-11-11,19-166,DET,@,SAC,L (-9),0,27:18,3,11,.273,0,3,.000,2,2,1.000,2,3,5,2,2,0,1,2,8,5.4,-3,3.0
9,2015-11-14,19-169,DET,@,LAC,L (-5),0,20:52,4,8,.500,1,4,.250,0,0,,1,3,4,1,1,0,2,4,9,4.7,-11,3.0
10,2015-11-15,19-170,DET,@,LAL,L (-12),0,16:28,2,6,.333,0,2,.000,0,0,,0,3,3,1,2,0,1,5,4,1.2,-16,3.0
11,2015-11-17,19-172,DET,,CLE,W (+5),0,16:20,2,6,.333,0,1,.000,0,0,,0,6,6,1,1,0,2,1,4,1.7,-8,3.0
12,2015-11-20,19-175,DET,@,MIN,W (+10),0,24:22,6,10,.600,3,5,.600,0,0,,1,1,2,1,0,0,1,0,15,11.1,+3,3.0
13,2015-11-21,19-176,DET,,WAS,L (-2),0,16:03,2,6,.333,0,3,.000,0,0,,0,0,0,1,0,0,2,0,4,-0.7,-16,3.0
14,2015-11-23,19-178,DET,@,MIL,L (-21),0,25:46,5,14,.357,0,4,.000,6,7,.857,1,1,2,2,1,0,2,3,16,8.0,-8,3.0
15,2015-11-25,19-180,DET,,MIA,W (+23),0,20:14,3,12,.250,0,2,.000,1,1,1.000,2,3,5,2,1,1,2,5,7,1.2,-1,3.0
16,2015-11-27,19-182,DET,@,OKC,L (-16),0,16:20,2,5,.400,1,1,1.000,0,0,,1,1,2,0,1,0,3,2,5,0.5,-1,3.0
17,2015-11-29,19-184,DET,@,BRK,L (-4),0,26:38,4,10,.400,2,3,.667,0,0,,0,5,5,1,1,0,1,3,10,5.6,-1,3.0
18,2015-11-30,19-185,DET,,HOU,W (+11),0,29:42,6,11,.545,4,5,.800,3,4,.750,2,8,10,1,1,2,1,5,19,17.2,+14,3.0
19,2015-12-02,19-187,DET,,PHO,W (+5),0,21:12,2,7,.286,1,3,.333,2,2,1.000,0,2,2,1,0,0,1,1,7,2.8,-25,3.0
20,2015-12-04,19-189,DET,,MIL,W (+7),0,23:20,4,10,.400,2,4,.500,0,0,,0,1,1,1,1,0,0,2,10,5.8,-2,3.0
21,2015-12-06,19-191,DET,,LAL,W (+20),0,27:13,2,10,.200,0,3,.000,2,2,1.000,0,6,6,2,1,0,1,1,6,2.6,+8,3.0
22,2015-12-07,19-192,DET,@,CHO,L (-20),0,20:18,2,6,.333,0,1,.000,0,0,,0,3,3,1,0,0,0,1,4,1.8,-8,3.0
23,2015-12-09,19-194,DET,,MEM,L (-1),0,17:25,2,4,.500,0,1,.000,0,0,,0,3,3,0,0,0,1,2,4,1.1,+7,3.0
24,2015-12-11,19-196,DET,@,PHI,W (+12),0,15:27,2,6,.333,0,1,.000,0,0,,0,1,1,0,0,1,2,1,4,-0.8,-18,3.0
25,2015-12-12,19-197,DET,,IND,W (+22),0,25:28,4,10,.400,1,5,.200,2,2,1.000,0,4,4,2,3,0,4,4,11,5.6,+5,3.0
26,2015-12-14,19-199,DET,,LAC,L (-2),0,19:09,0,5,.000,0,0,,0,0,,0,4,4,1,0,0,1,0,0,-2.6,+3,3.0
27,2015-12-16,19-201,DET,,BOS,W (+3),0,21:11,3,5,.600,0,0,,2,3,.667,1,6,7,0,0,0,1,1,8,6.4,+8,3.0
28,2015-12-18,19-203,DET,@,CHI,W (+3),0,30:24,6,11,.545,1,2,.500,3,4,.750,1,6,7,1,1,0,2,6,16,10.1,+6,3.0
29,2015-12-22,19-207,DET,@,MIA,W (+1),0,22:56,5,10,.500,4,7,.571,0,0,,0,4,4,3,0,0,2,0,14,10.3,0,3.0
30,2015-12-23,19-208,DET,@,ATL,L (-7),0,25:41,4,10,.400,1,2,.500,0,0,,0,2,2,0,1,0,1,2,9,3.4,+2,3.0
31,2015-12-26,19-211,DET,,BOS,L (-6),0,25:33,5,11,.455,2,3,.667,0,0,,2,1,3,1,1,0,1,4,12,7.1,+1,3.0
32,2015-12-29,19-214,DET,@,NYK,L (-12),0,18:51,2,6,.333,0,2,.000,0,0,,0,2,2,3,0,0,0,2,4,2.5,-9,3.0
33,2015-12-31,19-216,DET,,MIN,W (+25),0,21:32,2,9,.222,1,3,.333,0,0,,1,3,4,4,0,0,0,1,5,3.5,+6,3.0
34,2016-01-02,19-218,DET,@,IND,L (-12),0,18:32,2,6,.333,0,1,.000,2,3,.667,1,1,2,2,0,0,1,3,6,2.4,+7,3.0
35,2016-01-04,19-220,DET,,ORL,W (+26),0,24:52,2,8,.250,2,5,.400,0,0,,1,6,7,3,2,0,1,3,6,5.6,+23,3.0
36,2016-01-06,19-222,DET,@,BOS,W (+5),0,23:06,4,8,.500,1,3,.333,2,2,1.000,2,8,10,2,1,0,5,3,11,7.0,+8,3.0
37,2016-01-09,19-225,DET,,BRK,W (+14),1,39:04,4,13,.308,0,5,.000,0,0,,0,4,4,1,2,1,1,0,8,4.1,+9,3.0
38,2016-01-12,19-228,DET,,SAS,L (-10),0,23:54,0,7,.000,0,1,.000,2,2,1.000,0,3,3,1,0,0,1,4,2,-3.9,-1,3.0
39,2016-01-14,19-230,DET,@,MEM,L (-2),0,25:05,7,14,.500,5,9,.556,0,0,,0,3,3,0,2,0,2,0,19,12.9,-4,3.0
40,2016-01-16,19-232,DET,,GSW,W (+18),0,20:15,3,7,.429,1,2,.500,1,1,1.000,0,2,2,3,1,1,0,3,8,7.5,+7,3.0
41,2016-01-18,19-234,DET,,CHI,L (-10),0,22:28,2,7,.286,0,2,.000,4,4,1.000,3,1,4,1,1,0,4,2,8,3.2,-21,3.0
42,2016-01-20,19-236,DET,@,HOU,W (+9),0,23:53,1,4,.250,0,2,.000,5,6,.833,2,7,9,2,1,1,3,3,7,6.6,+14,3.0
43,2016-01-21,19-237,DET,@,NOP,L (-16),0,19:32,3,6,.500,0,2,.000,0,0,,1,1,2,2,0,0,1,3,6,3.2,+1,3.0
44,2016-01-23,19-239,DET,@,DEN,L (-3),0,20:11,5,10,.500,2,5,.400,0,0,,1,3,4,1,0,0,1,2,12,7.5,+12,3.0
45,2016-01-25,19-241,DET,@,UTA,W (+3),0,22:56,3,4,.750,2,3,.667,0,2,.000,0,2,2,2,1,0,2,4,8,5.0,-1,3.0
46,2016-01-27,19-243,DET,,PHI,W (+13),0,31:34,8,16,.500,1,4,.250,1,2,.500,2,1,3,3,1,0,1,3,18,12.2,+16,3.0
47,2016-01-29,19-245,DET,,CLE,L (-8),0,30:11,6,10,.600,1,1,1.000,2,3,.667,1,3,4,5,1,0,2,4,15,12.5,+7,3.0
48,2016-01-30,19-246,DET,@,TOR,L (-4),0,28:04,4,13,.308,0,2,.000,4,4,1.000,0,4,4,1,1,0,1,5,12,4.4,-11,3.0
49,2016-02-01,19-248,DET,@,BRK,W (+5),0,20:56,5,11,.455,3,6,.500,0,0,,0,1,1,1,1,0,3,2,13,5.5,-12,3.0
50,2016-02-03,19-250,DET,@,BOS,L (-7),0,30:24,4,13,.308,3,10,.300,0,0,,1,8,9,2,0,0,3,3,11,3.8,-1,3.0
51,2016-02-04,19-251,DET,,NYK,W (+6),1,44:01,7,12,.583,1,2,.500,7,8,.875,0,9,9,5,2,1,2,3,22,21.7,+11,3.0
52,2016-02-06,19-253,DET,@,IND,L (-8),1,37:45,6,13,.462,0,3,.000,2,2,1.000,2,8,10,3,1,0,2,6,14,9.8,-8,3.0
53,2016-02-08,19-255,DET,,TOR,L (-14),1,33:44,2,9,.222,1,4,.250,0,0,,1,4,5,3,0,0,1,3,5,1.3,-12,3.0
