G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,20-251,DEN,@,HOU,W (+20),0,3:55,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+1,4.0
2,2015-10-30,20-253,DEN,,MIN,L (-17),0,18:09,5,8,.625,0,0,,0,0,,3,6,9,1,0,0,2,3,10,7.8,+10,4.0
3,2015-11-01,20-255,DEN,@,OKC,L (-24),0,24:26,4,9,.444,0,0,,0,0,,3,1,4,0,0,0,1,2,8,3.9,-2,4.0
4,2015-11-05,20-259,DEN,,UTA,L (-12),0,17:44,1,4,.250,0,0,,3,4,.750,1,2,3,0,0,1,1,1,5,2.8,-6,4.0
5,2015-11-06,20-260,DEN,@,GSW,L (-15),0,17:00,2,4,.500,0,0,,0,2,.000,2,2,4,1,1,1,1,1,4,4.2,-5,4.0
6,2015-11-09,20-263,DEN,,POR,W (+4),0,15:37,3,3,1.000,0,0,,4,4,1.000,0,2,2,1,2,0,1,2,10,10.6,-1,4.0
7,2015-11-11,20-265,DEN,,MIL,W (+1),0,14:26,4,7,.571,0,0,,0,1,.000,3,2,5,4,2,0,2,0,8,9.8,+9,4.0
8,2015-11-13,20-267,DEN,,HOU,W (+9),0,5:48,1,3,.333,0,1,.000,1,2,.500,2,3,5,0,0,0,1,2,3,1.4,+5,4.0
9,2015-11-14,20-268,DEN,@,PHO,L (-24),0,18:17,2,3,.667,0,0,,0,0,,2,4,6,0,3,0,0,3,4,7.1,+2,4.0
10,2015-11-17,20-271,DEN,@,NOP,W (+17),0,0:40,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,0,4.0
11,2015-11-18,20-272,DEN,@,SAS,L (-11),0,31:54,8,13,.615,1,1,1.000,6,6,1.000,6,6,12,0,2,3,0,2,23,26.4,-2,4.0
12,2015-11-20,20-274,DEN,,PHO,L (-7),1,17:51,2,6,.333,0,1,.000,2,2,1.000,2,2,4,1,1,0,0,3,6,5.1,-9,4.0
13,2015-11-22,20-276,DEN,,GSW,L (-13),1,27:21,3,7,.429,0,0,,5,7,.714,4,7,11,2,2,1,1,0,11,14.5,-12,4.0
14,2015-11-24,20-278,DEN,,LAC,L (-17),1,24:27,7,13,.538,0,1,.000,2,3,.667,1,5,6,2,0,0,1,5,16,9.9,-4,4.0
15,2015-11-27,20-281,DEN,,SAS,L (-11),1,12:24,3,4,.750,0,0,,0,0,,1,1,2,0,0,0,3,4,6,0.8,+5,4.0
16,2015-11-28,20-282,DEN,@,DAL,L (-11),1,18:34,2,3,.667,1,1,1.000,3,4,.750,2,4,6,0,1,0,3,3,8,5.7,-7,4.0
17,2015-11-30,20-284,DEN,@,MIL,L (-18),1,25:22,4,7,.571,0,1,.000,0,2,.000,1,5,6,2,0,2,1,1,8,7.5,-14,4.0
18,2015-12-02,20-286,DEN,@,CHI,L (-9),1,10:08,3,6,.500,1,1,1.000,0,0,,0,3,3,0,0,1,0,1,7,5.2,-1,4.0
19,2015-12-03,20-287,DEN,@,TOR,W (+1),0,13:54,4,7,.571,0,0,,0,0,,1,5,6,0,0,0,0,0,8,6.9,+3,4.0
20,2015-12-08,20-292,DEN,,ORL,L (-11),0,17:04,2,6,.333,0,0,,0,0,,1,3,4,1,0,0,0,1,4,2.5,+2,4.0
21,2015-12-11,20-295,DEN,,MIN,W (+3),0,24:31,5,10,.500,1,2,.500,8,8,1.000,3,3,6,4,1,0,2,5,19,16.8,+9,4.0
22,2015-12-14,20-298,DEN,,HOU,W (+6),0,22:05,3,3,1.000,0,0,,3,3,1.000,0,7,7,1,1,0,1,1,9,10.5,+24,4.0
23,2015-12-15,20-299,DEN,@,MIN,W (+12),0,20:33,3,4,.750,0,0,,0,0,,2,1,3,2,2,2,2,3,6,7.7,+12,4.0
