G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,35-023,CLE,@,CHI,L (-2),0,3:49,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,1,0,1,0,-1.1,-7,3.0
2,2015-10-28,35-024,CLE,@,MEM,W (+30),0,5:15,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,0.6,+2,3.0
3,2015-10-30,35-026,CLE,,MIA,W (+10),0,1:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4,3.0
4,2015-11-02,35-029,CLE,@,PHI,W (+7),0,15:03,4,6,.667,4,5,.800,0,0,,0,1,1,0,0,0,0,0,12,9.7,-5,3.0
5,2015-11-04,35-031,CLE,,NYK,W (+10),0,11:03,1,3,.333,0,2,.000,3,3,1.000,0,0,0,0,0,0,0,1,5,2.9,-3,3.0
6,2015-11-06,35-033,CLE,,PHI,W (+6),0,12:35,1,6,.167,1,4,.250,0,0,,2,2,4,2,0,0,1,1,3,1.2,-4,3.0
7,2015-11-08,35-035,CLE,,IND,W (+4),0,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,+1,3.0
8,2015-11-10,35-037,CLE,,UTA,W (+4),0,3:27,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,3.0
9,2015-11-13,35-040,CLE,@,NYK,W (+6),0,10:15,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,3,0,-1.7,+4,3.0
10,2015-11-14,35-041,CLE,@,MIL,L (-3),0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,3.0
11,2015-11-17,35-044,CLE,@,DET,L (-5),0,13:44,1,2,.500,1,2,.500,1,3,.333,0,3,3,1,2,0,0,4,4,4.2,-3,3.0
12,2015-11-19,35-046,CLE,,MIL,W (+15),0,11:08,3,5,.600,2,4,.500,1,2,.500,0,0,0,1,0,0,0,0,9,7.0,-1,3.0
13,2015-11-21,35-048,CLE,,ATL,W (+12),0,5:00,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,1,0,1,6,5.3,+1,3.0
14,2015-11-23,35-050,CLE,,ORL,W (+14),0,14:03,1,5,.200,1,3,.333,0,0,,0,0,0,1,0,0,0,3,3,-0.6,-11,3.0
15,2015-11-25,35-052,CLE,@,TOR,L (-4),0,15:18,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,0,1,6,5.6,+6,3.0
16,2015-11-27,35-054,CLE,@,CHO,W (+5),0,7:49,0,4,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.2,+2,3.0
17,2015-11-28,35-055,CLE,,BRK,W (+2),0,6:01,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,2,0,0,3,4.4,0,3.0
18,2015-12-01,35-058,CLE,,WAS,L (-12),0,13:50,0,3,.000,0,3,.000,0,0,,0,0,0,0,1,0,1,1,0,-2.5,0,3.0
19,2015-12-04,35-061,CLE,@,NOP,L (-6),0,14:43,1,5,.200,1,5,.200,4,4,1.000,0,2,2,1,1,0,1,2,7,4.4,-3,3.0
20,2015-12-05,35-062,CLE,@,MIA,L (-15),0,14:27,2,5,.400,2,4,.500,0,0,,2,0,2,1,1,0,0,2,6,5.6,+6,3.0
21,2015-12-11,35-068,CLE,@,ORL,W (+35),0,18:22,5,10,.500,4,8,.500,1,2,.500,0,1,1,0,1,0,1,4,15,8.3,+3,3.0
22,2015-12-20,35-077,CLE,,PHI,W (+22),0,15:49,1,5,.200,0,2,.000,0,0,,0,5,5,1,0,1,0,1,2,1.4,-9,3.0
23,2015-12-23,35-080,CLE,,NYK,W (+7),0,4:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,3.0
24,2015-12-25,35-082,CLE,@,GSW,L (-6),0,1:34,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0,3.0
25,2015-12-26,35-083,CLE,@,POR,L (-29),0,18:06,3,8,.375,1,4,.250,0,1,.000,0,2,2,0,0,0,0,2,7,2.0,+2,3.0
