G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-292,HOU,,DEN,L (-20),1,28:32,6,13,.462,0,2,.000,3,5,.600,4,2,6,0,1,1,2,4,15,9.0,-18,4.0
2,2015-10-30,23-294,HOU,,GSW,L (-20),1,18:09,2,7,.286,0,1,.000,0,0,,1,3,4,1,0,1,0,0,4,2.9,-6,4.0
3,2015-11-11,23-306,HOU,,BRK,L (-8),0,15:50,0,3,.000,0,1,.000,0,2,.000,1,3,4,2,0,0,0,2,0,-0.7,-9,4.0
4,2015-11-13,23-308,HOU,@,DEN,L (-9),0,20:51,9,12,.750,3,4,.750,2,2,1.000,4,3,7,0,0,4,2,1,23,22.3,+3,4.0
5,2015-11-14,23-309,HOU,,DAL,L (-12),1,41:39,10,15,.667,1,3,.333,2,4,.500,0,6,6,1,1,3,2,4,23,17.7,-10,4.0
6,2015-11-16,23-311,HOU,,BOS,L (-16),1,27:57,7,14,.500,0,1,.000,1,4,.250,3,5,8,4,1,0,1,2,15,12.4,+6,4.0
7,2015-11-18,23-313,HOU,,POR,W (+5),1,30:12,2,5,.400,1,2,.500,3,4,.750,0,2,2,2,0,1,1,3,8,5.4,-7,4.0
8,2015-11-20,23-315,HOU,@,MEM,L (-12),1,28:45,4,12,.333,1,2,.500,1,4,.250,1,3,4,1,1,0,1,2,10,3.5,+5,4.0
9,2015-11-21,23-316,HOU,,NYK,L (-5),1,36:51,5,14,.357,1,1,1.000,7,9,.778,6,3,9,0,1,0,1,4,18,12.9,-9,4.0
10,2015-11-25,23-320,HOU,,MEM,L (-9),1,19:25,1,5,.200,1,2,.500,0,0,,0,4,4,1,0,1,3,0,3,-0.5,-10,4.0
11,2015-11-27,23-322,HOU,,PHI,W (+2),0,24:05,2,5,.400,1,2,.500,0,0,,1,7,8,1,0,1,1,3,5,4.3,-14,4.0
12,2015-11-29,23-324,HOU,@,NYK,W (+5),0,24:59,2,8,.250,1,3,.333,3,4,.750,3,1,4,1,0,1,0,2,8,5.8,-14,4.0
13,2015-11-30,23-325,HOU,@,DET,L (-11),0,15:06,1,5,.200,0,2,.000,1,2,.500,1,2,3,0,0,0,0,0,3,0.8,-18,4.0
14,2015-12-02,23-327,HOU,,NOP,W (+7),0,24:42,6,12,.500,1,2,.500,2,4,.500,1,3,4,1,1,2,0,0,15,12.9,-4,4.0
15,2015-12-04,23-329,HOU,@,DAL,W (+4),1,32:18,7,12,.583,0,0,,3,3,1.000,3,6,9,1,0,0,5,4,17,9.4,+25,4.0
16,2015-12-05,23-330,HOU,,SAC,W (+7),0,25:40,6,9,.667,1,3,.333,3,3,1.000,3,2,5,1,0,1,2,2,16,13.4,+10,4.0
17,2015-12-08,23-333,HOU,@,BRK,L (-5),0,16:11,2,5,.400,1,2,.500,0,0,,1,2,3,2,1,0,0,2,5,5.2,-8,4.0
18,2015-12-09,23-334,HOU,@,WAS,W (+6),0,20:02,1,4,.250,0,0,,2,2,1.000,0,3,3,0,0,1,1,1,4,1.8,-3,4.0
19,2015-12-12,23-337,HOU,,LAL,W (+29),0,23:26,4,13,.308,1,2,.500,0,0,,3,6,9,1,0,3,1,1,9,6.8,+15,4.0
20,2015-12-14,23-339,HOU,@,DEN,L (-6),1,12:35,0,3,.000,0,0,,0,0,,1,1,2,1,1,0,0,1,0,0.2,-9,4.0
21,2015-12-15,23-340,HOU,@,SAC,L (-10),0,12:40,0,0,,0,0,,1,2,.500,1,3,4,0,0,0,1,3,1,0.0,-12,4.0
22,2015-12-17,23-342,HOU,@,LAL,W (+20),0,20:35,5,7,.714,1,2,.500,5,6,.833,0,4,4,2,0,1,1,0,16,15.0,-5,4.0
23,2015-12-19,23-344,HOU,,LAC,W (+10),0,21:13,3,8,.375,2,4,.500,0,0,,0,6,6,0,0,0,1,1,8,4.0,-5,4.0
24,2015-12-21,23-346,HOU,,CHO,W (+7),0,24:05,7,11,.636,0,1,.000,3,5,.600,2,4,6,0,0,2,0,2,17,14.5,0,4.0
25,2015-12-23,23-348,HOU,@,ORL,L (-3),0,11:45,3,6,.500,1,2,.500,1,1,1.000,2,1,3,0,0,0,0,0,8,6.7,+7,4.0
26,2015-12-25,23-350,HOU,,SAS,W (+4),0,22:06,6,11,.545,0,1,.000,2,2,1.000,0,6,6,0,1,0,0,0,14,11.5,+4,4.0
27,2015-12-26,23-351,HOU,@,NOP,L (-2),0,21:40,4,12,.333,1,1,1.000,4,6,.667,2,3,5,1,2,0,1,2,13,8.6,+15,4.0
28,2015-12-31,23-356,HOU,,GSW,L (-4),0,14:34,1,6,.167,0,2,.000,0,0,,1,1,2,0,1,1,0,3,2,-0.3,-24,4.0
29,2016-01-02,23-358,HOU,@,SAS,L (-18),0,26:32,3,7,.429,0,2,.000,2,2,1.000,0,2,2,3,0,0,3,4,8,2.4,-36,4.0
30,2016-01-04,23-360,HOU,@,UTA,W (+2),0,15:16,0,1,.000,0,0,,2,2,1.000,0,1,1,0,1,0,1,0,2,1.6,-4,4.0
31,2016-01-07,23-363,HOU,,UTA,W (+9),1,32:07,6,10,.600,0,1,.000,2,2,1.000,1,7,8,2,0,0,0,0,14,13.6,+9,4.0
32,2016-01-10,24-001,HOU,,IND,W (+4),0,18:36,2,6,.333,0,1,.000,0,0,,1,2,3,1,1,1,1,1,4,2.9,-7,4.0
33,2016-01-12,24-003,HOU,@,MEM,W (+16),0,29:52,6,10,.600,3,5,.600,5,6,.833,3,1,4,3,3,1,2,2,20,20.4,+13,4.0
34,2016-01-13,24-004,HOU,,MIN,W (+3),0,34:05,7,11,.636,1,4,.250,1,2,.500,1,8,9,1,1,0,2,3,16,12.3,+13,4.0
35,2016-01-15,24-006,HOU,,CLE,L (-14),0,22:26,1,6,.167,0,3,.000,1,2,.500,2,2,4,2,0,1,2,3,3,-0.3,-5,4.0
36,2016-01-17,24-008,HOU,@,LAL,W (+17),0,21:41,1,7,.143,0,1,.000,0,0,,0,2,2,1,1,0,2,5,2,-4.2,-12,4.0
37,2016-01-18,24-009,HOU,@,LAC,L (-8),0,19:39,4,10,.400,0,2,.000,2,7,.286,3,5,8,1,0,2,3,2,10,4.5,-20,4.0
38,2016-01-20,24-011,HOU,,DET,L (-9),0,25:24,8,9,.889,2,2,1.000,0,1,.000,0,2,2,0,0,2,2,3,18,13.3,+3,4.0
