G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-10,19-184,MIN,,CHO,L (-9),0,12:31,0,4,.000,0,0,,1,2,.500,0,1,1,1,1,0,0,1,1,-0.6,-23,1.0
2,2015-11-12,19-186,MIN,,GSW,L (-13),0,1:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,1.0
3,2015-12-23,19-227,MIN,,SAS,L (-25),0,19:49,3,7,.429,0,1,.000,0,0,,0,1,1,2,2,0,1,0,6,5.0,-11,1.0
4,2015-12-26,19-230,MIN,,IND,L (-14),0,11:24,0,1,.000,0,0,,0,0,,0,3,3,1,0,1,0,1,0,1.2,-13,1.0
5,2015-12-28,19-232,MIN,@,SAS,L (-6),0,11:26,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,3,2,2,-1.4,-8,1.0
6,2015-12-30,19-234,MIN,,UTA,W (+14),0,12:15,2,4,.500,1,1,1.000,0,0,,0,1,1,2,1,0,1,1,5,4.3,0,1.0
7,2015-12-31,19-235,MIN,@,DET,L (-25),0,13:09,2,5,.400,1,1,1.000,0,0,,0,5,5,4,0,0,1,1,5,5.2,0,1.0
8,2016-01-02,19-237,MIN,,MIL,L (-10),0,14:30,2,6,.333,0,0,,2,3,.667,3,1,4,2,0,0,1,0,6,5.0,-19,1.0
9,2016-01-04,19-239,MIN,@,PHI,L (-10),0,1:47,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-5,1.0
10,2016-02-08,19-274,MIN,,NOP,L (-14),0,12:00,1,5,.200,0,1,.000,1,1,1.000,0,3,3,5,0,0,0,0,3,4.3,+11,1.0
11,2016-02-19,19-285,MIN,@,MEM,L (-5),0,13:41,1,3,.333,1,1,1.000,2,2,1.000,0,0,0,2,0,0,1,1,5,3.3,-3,1.0
12,2016-02-22,19-288,MIN,,BOS,W (+2),0,15:59,4,7,.571,1,2,.500,0,0,,1,1,2,1,1,0,1,2,9,6.6,-9,1.0
13,2016-02-24,19-290,MIN,@,TOR,L (-9),0,11:48,1,3,.333,0,0,,2,2,1.000,0,0,0,3,1,0,0,1,4,5.0,-2,1.0
14,2016-02-27,19-293,MIN,@,NOP,W (+2),0,12:30,2,4,.500,2,3,.667,1,2,.500,1,2,3,3,0,0,1,0,7,7.0,-5,1.0
15,2016-02-28,19-294,MIN,@,DAL,L (-27),0,23:07,2,9,.222,2,4,.500,1,1,1.000,0,3,3,6,2,0,0,0,7,8.6,+1,1.0
16,2016-03-02,19-297,MIN,,WAS,L (-6),0,10:06,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,1,0,3,-0.4,-16,1.0
17,2016-03-04,19-299,MIN,@,MIL,L (-15),0,24:05,1,3,.333,0,1,.000,0,0,,1,4,5,5,2,0,2,0,2,5.7,+7,1.0
18,2016-03-05,19-300,MIN,,BRK,W (+14),0,15:47,3,5,.600,2,3,.667,1,1,1.000,0,1,1,2,0,0,1,3,9,6.2,-6,1.0
19,2016-03-07,19-302,MIN,@,CHO,L (-5),0,13:39,1,3,.333,0,0,,0,0,,0,1,1,4,1,0,1,0,2,3.4,-18,1.0
20,2016-03-08,19-303,MIN,,SAS,L (-25),0,26:47,4,7,.571,2,4,.500,0,0,,0,0,0,6,0,0,0,1,10,10.5,+1,1.0
21,2016-03-11,19-306,MIN,@,OKC,W (+3),0,12:05,2,7,.286,1,4,.250,0,0,,0,0,0,1,0,0,0,0,5,1.6,-13,1.0
22,2016-03-14,19-309,MIN,@,PHO,L (-3),0,11:34,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,0,2,2,0,-2.9,-15,1.0
23,2016-03-16,19-311,MIN,@,MEM,W (+6),0,19:11,3,4,.750,0,1,.000,4,6,.667,0,0,0,5,1,2,2,0,10,11.5,+10,1.0
24,2016-03-18,19-313,MIN,@,HOU,L (-5),0,15:38,1,4,.250,0,1,.000,0,0,,0,2,2,4,0,0,0,1,2,2.6,+7,1.0
25,2016-03-21,19-316,MIN,,GSW,L (-5),0,15:09,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-6,1.0
