G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,24-069,TOR,,IND,W (+7),0,27:43,1,4,.250,0,1,.000,1,2,.500,0,2,2,1,0,0,3,1,3,-1.9,-3,1.0
2,2015-10-30,24-071,TOR,@,BOS,W (+10),0,18:10,3,5,.600,1,2,.500,0,0,,0,1,1,2,1,0,1,4,7,4.8,+1,1.0
3,2015-11-01,24-073,TOR,,MIL,W (+19),0,18:36,2,5,.400,0,0,,0,0,,0,2,2,6,3,0,0,0,4,9.1,+9,1.0
4,2015-11-03,24-075,TOR,@,DAL,W (+11),0,19:58,1,3,.333,0,0,,4,4,1.000,0,0,0,2,0,0,2,1,6,3.3,-3,1.0
5,2015-11-04,24-076,TOR,@,OKC,W (+5),0,25:30,4,7,.571,0,0,,1,2,.500,1,3,4,3,3,0,1,0,9,11.0,+22,1.0
6,2015-11-06,24-078,TOR,@,ORL,L (-5),0,28:50,7,9,.778,0,1,.000,5,6,.833,0,1,1,0,0,0,1,2,19,13.6,-2,1.0
7,2015-11-08,24-080,TOR,@,MIA,L (-20),0,23:27,2,3,.667,0,0,,0,0,,0,4,4,1,0,2,1,2,4,4.2,-15,1.0
8,2015-11-10,24-082,TOR,,NYK,L (-2),0,26:48,4,9,.444,1,2,.500,3,3,1.000,2,4,6,8,1,0,1,1,12,15.1,+5,1.0
9,2015-11-11,24-083,TOR,@,PHI,W (+16),0,30:51,6,9,.667,0,1,.000,3,3,1.000,0,2,2,5,0,0,0,1,15,14.8,+10,1.0
10,2015-11-13,24-085,TOR,,NOP,W (+19),0,29:14,3,7,.429,1,2,.500,2,2,1.000,1,2,3,2,1,1,2,2,9,6.9,+11,1.0
11,2015-11-15,24-087,TOR,@,SAC,L (-6),0,25:31,8,10,.800,1,1,1.000,0,0,,0,4,4,4,0,0,1,3,17,15.0,-2,1.0
12,2015-11-17,24-089,TOR,@,GSW,L (-5),0,28:21,4,7,.571,0,0,,5,8,.625,1,4,5,6,1,0,0,4,13,14.0,-4,1.0
13,2015-11-18,24-090,TOR,@,UTA,L (-4),0,21:49,2,5,.400,0,1,.000,4,4,1.000,2,1,3,0,1,0,1,1,8,6.6,0,1.0
14,2015-11-20,24-092,TOR,@,LAL,W (+11),0,22:38,3,8,.375,0,2,.000,5,6,.833,0,1,1,6,0,0,1,0,11,9.7,+21,1.0
15,2015-11-22,24-094,TOR,@,LAC,W (+11),0,23:59,2,9,.222,0,1,.000,2,2,1.000,1,3,4,1,0,0,0,1,6,2.4,+4,1.0
16,2015-11-25,24-097,TOR,,CLE,W (+4),0,17:21,2,7,.286,0,2,.000,0,1,.000,1,2,3,1,0,0,2,1,4,-0.9,-1,1.0
17,2015-11-28,24-100,TOR,@,WAS,W (+2),0,34:20,5,7,.714,2,2,1.000,0,0,,0,0,0,6,1,1,3,1,12,11.6,+8,1.0
18,2015-11-29,24-101,TOR,,PHO,L (-5),0,32:30,4,11,.364,1,1,1.000,0,0,,1,4,5,1,1,2,2,2,9,5.1,-5,1.0
19,2015-12-02,24-104,TOR,@,ATL,W (+10),0,33:30,5,10,.500,0,2,.000,0,2,.000,0,1,1,4,2,0,0,2,10,8.5,+13,1.0
20,2015-12-03,24-105,TOR,,DEN,L (-1),0,28:14,6,9,.667,1,1,1.000,2,3,.667,1,3,4,2,2,0,1,1,15,14.3,+8,1.0
21,2015-12-05,24-107,TOR,,GSW,L (-3),0,29:44,4,10,.400,0,3,.000,1,2,.500,0,0,0,1,0,1,1,4,9,2.0,+2,1.0
22,2015-12-07,24-109,TOR,,LAL,W (+9),0,31:00,3,7,.429,0,2,.000,8,10,.800,1,1,2,2,1,0,0,0,14,12.9,+16,1.0
23,2015-12-09,24-111,TOR,,SAS,W (+3),0,29:33,2,6,.333,0,1,.000,2,2,1.000,0,0,0,4,3,0,3,4,6,3.8,-7,1.0
24,2015-12-11,24-113,TOR,,MIL,W (+7),0,32:19,4,6,.667,1,1,1.000,4,8,.500,0,3,3,3,3,1,2,2,13,12.7,+15,1.0
25,2015-12-13,24-115,TOR,,PHI,W (+20),0,29:58,2,11,.182,0,2,.000,4,6,.667,1,3,4,4,0,1,0,0,8,5.4,+21,1.0
26,2015-12-14,24-116,TOR,@,IND,L (-16),0,28:03,0,6,.000,0,1,.000,3,4,.750,2,1,3,0,0,0,3,3,3,-4.1,-10,1.0
27,2015-12-17,24-119,TOR,@,CHO,L (-10),0,33:41,3,6,.500,1,2,.500,0,0,,2,2,4,1,2,1,3,4,7,4.8,-2,1.0
28,2015-12-18,24-120,TOR,@,MIA,W (+14),0,19:30,0,3,.000,0,2,.000,0,0,,0,3,3,2,2,0,1,2,0,0.4,+1,1.0
29,2015-12-20,24-122,TOR,,SAC,L (-10),0,29:35,2,7,.286,0,1,.000,0,0,,0,1,1,3,0,1,0,0,4,3.0,-12,1.0
