G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,22-207,CHO,@,MIA,L (-10),0,6:07,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4,5.0
2,2015-10-30,22-209,CHO,@,ATL,L (-3),0,13:31,2,5,.400,1,2,.500,0,0,,0,3,3,1,0,0,0,1,5,3.5,+8,5.0
3,2015-11-01,22-211,CHO,,ATL,L (-2),0,5:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2,5.0
4,2015-11-03,22-213,CHO,,CHI,W (+25),0,20:31,2,6,.333,2,2,1.000,0,0,,1,2,3,3,1,0,0,0,6,7.0,-2,5.0
5,2015-11-05,22-215,CHO,@,DAL,W (+14),0,4:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,5.0
6,2015-11-07,22-217,CHO,@,SAS,L (-20),0,9:20,2,3,.667,1,1,1.000,3,4,.750,0,0,0,2,0,0,0,1,8,7.3,+9,5.0
7,2015-11-10,22-220,CHO,@,MIN,W (+9),0,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-5,5.0
8,2015-11-11,22-221,CHO,,NYK,W (+2),0,9:31,1,2,.500,0,1,.000,0,0,,0,2,2,1,3,0,0,0,2,5.3,+14,5.0
9,2015-11-13,22-223,CHO,@,CHI,L (-5),0,19:47,2,9,.222,1,3,.333,0,0,,1,2,3,1,0,1,0,3,5,1.0,-4,5.0
10,2015-11-17,22-227,CHO,@,NYK,L (-8),0,23:52,1,5,.200,0,1,.000,0,0,,1,4,5,1,0,2,0,2,2,2.1,+3,5.0
11,2015-11-18,22-228,CHO,,BRK,W (+5),0,22:36,4,6,.667,1,2,.500,2,2,1.000,1,2,3,1,1,1,3,0,11,9.1,+5,5.0
12,2015-11-20,22-230,CHO,,PHI,W (+25),0,19:29,4,4,1.000,1,1,1.000,0,0,,0,3,3,3,0,2,0,3,9,11.0,+7,5.0
13,2015-11-23,22-233,CHO,,SAC,W (+5),0,20:53,4,8,.500,1,4,.250,0,0,,2,3,5,0,0,0,0,0,9,7.3,+23,5.0
14,2015-11-25,22-235,CHO,,WAS,W (+14),0,17:27,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,1,1,2,-0.8,-6,5.0
15,2015-11-27,22-237,CHO,,CLE,L (-5),0,18:38,1,4,.250,0,1,.000,1,2,.500,1,1,2,1,0,0,1,3,3,-0.3,-9,5.0
16,2015-11-29,22-239,CHO,,MIL,W (+5),0,17:11,2,8,.250,0,2,.000,0,0,,0,4,4,2,1,1,0,1,4,3.1,+19,5.0
17,2015-12-02,22-242,CHO,,GSW,L (-17),0,26:40,5,8,.625,3,3,1.000,3,5,.600,1,0,1,1,0,1,0,4,16,12.1,-7,5.0
18,2015-12-05,22-245,CHO,@,CHI,W (+6),0,10:51,1,6,.167,0,3,.000,0,0,,0,3,3,0,0,0,0,1,2,-1.3,-8,5.0
19,2015-12-07,22-247,CHO,,DET,W (+20),0,30:51,3,5,.600,1,2,.500,0,0,,0,4,4,1,0,1,2,4,7,3.7,+12,5.0
20,2015-12-09,22-249,CHO,,MIA,W (+18),0,28:48,2,6,.333,0,2,.000,1,2,.500,0,7,7,6,1,0,1,3,5,6.3,+6,5.0
21,2015-12-11,22-251,CHO,@,MEM,W (+24),0,27:09,4,6,.667,1,2,.500,6,6,1.000,1,5,6,3,0,0,0,3,15,15.5,+15,5.0
22,2015-12-12,22-252,CHO,,BOS,L (-5),0,22:39,1,1,1.000,1,1,1.000,0,0,,0,6,6,2,0,1,1,0,3,5.6,+14,5.0
23,2015-12-16,22-256,CHO,@,ORL,L (-15),0,26:07,4,8,.500,1,4,.250,0,0,,1,4,5,0,2,0,2,2,9,6.1,-9,5.0
24,2015-12-17,22-257,CHO,,TOR,W (+10),0,27:18,1,6,.167,0,4,.000,4,6,.667,0,6,6,1,0,3,1,1,6,4.6,0,5.0
