G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,24-202,LAL,,MIN,L (-1),0,20:38,1,5,.200,0,2,.000,1,1,1.000,1,5,6,3,0,1,1,4,3,2.3,+2,4.0
2,2015-10-30,24-204,LAL,@,SAC,L (-18),0,27:43,4,7,.571,1,3,.333,1,2,.500,0,6,6,1,1,3,2,0,10,9.9,+6,4.0
3,2015-11-01,24-206,LAL,,DAL,L (-10),0,14:23,0,4,.000,0,2,.000,0,0,,0,4,4,1,1,1,0,0,0,0.8,-12,4.0
4,2015-11-03,24-208,LAL,,DEN,L (-11),0,9:22,1,3,.333,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,1,3,1.5,-7,4.0
5,2015-11-10,24-215,LAL,@,MIA,L (-13),0,2:27,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,+2,4.0
6,2015-11-24,24-229,LAL,@,GSW,L (-34),0,6:03,1,1,1.000,0,0,,1,2,.500,0,2,2,1,1,0,1,0,3,3.6,+5,4.0
7,2015-12-06,24-241,LAL,@,DET,L (-20),0,12:00,1,2,.500,0,1,.000,3,4,.750,0,4,4,0,1,0,0,0,5,5.8,+5,4.0
8,2015-12-11,24-246,LAL,@,SAS,L (-22),0,9:00,2,2,1.000,0,0,,0,0,,0,4,4,1,0,0,2,0,4,3.3,-6,4.0
9,2015-12-23,24-258,LAL,,OKC,L (-35),0,12:00,5,7,.714,1,2,.500,1,2,.500,0,3,3,0,0,1,0,0,12,10.3,-4,4.0
10,2015-12-27,24-262,LAL,@,MEM,L (-16),0,6:51,2,5,.400,1,3,.333,2,2,1.000,3,0,3,0,0,0,1,0,7,5.4,+9,4.0
11,2016-01-05,24-271,LAL,,GSW,L (-21),0,7:36,3,5,.600,1,1,1.000,3,3,1.000,2,1,3,0,0,0,0,0,10,9.4,+7,4.0
12,2016-01-14,24-280,LAL,@,GSW,L (-18),0,6:56,1,2,.500,0,0,,3,5,.600,1,1,2,2,0,0,1,0,5,4.6,-4,4.0
13,2016-01-16,24-282,LAL,@,UTA,L (-27),0,20:15,2,9,.222,0,3,.000,3,4,.750,0,5,5,2,1,1,0,2,7,4.9,-2,4.0
14,2016-01-17,24-283,LAL,,HOU,L (-17),0,20:27,1,8,.125,0,2,.000,1,2,.500,1,8,9,1,0,0,0,1,3,0.8,-10,4.0
15,2016-01-20,24-286,LAL,,SAC,L (-19),0,17:20,1,5,.200,0,3,.000,0,0,,0,3,3,1,0,0,0,2,2,-0.3,-5,4.0
16,2016-01-22,24-288,LAL,,SAS,L (-13),0,12:18,2,5,.400,0,0,,3,3,1.000,2,3,5,0,0,0,1,1,7,5.2,-11,4.0
17,2016-01-23,24-289,LAL,@,POR,L (-18),0,23:34,2,7,.286,1,3,.333,1,2,.500,0,3,3,1,0,0,1,4,6,0.5,+3,4.0
18,2016-01-28,24-294,LAL,,CHI,L (-23),0,5:02,2,2,1.000,0,0,,2,4,.500,1,2,3,0,0,0,0,0,6,5.9,-2,4.0
19,2016-01-31,24-297,LAL,,CHO,L (-19),0,17:13,3,9,.333,0,3,.000,0,2,.000,0,6,6,0,3,1,2,3,6,2.4,-15,4.0
20,2016-02-22,24-319,LAL,@,MIL,L (-7),0,7:34,1,2,.500,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,4,3.9,+13,4.0
21,2016-02-26,24-323,LAL,,MEM,L (-17),0,5:51,1,2,.500,0,0,,0,0,,1,0,1,2,0,0,0,1,2,2.7,+8,4.0
22,2016-03-04,24-330,LAL,,ATL,L (-29),0,3:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-6,4.0
23,2016-03-08,24-334,LAL,,ORL,W (+9),0,9:10,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,2,2,1.2,+5,4.0
24,2016-03-13,24-339,LAL,,NYK,L (-3),0,5:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+9,4.0
25,2016-03-15,24-341,LAL,,SAC,L (-8),0,20:57,0,4,.000,0,1,.000,0,0,,0,3,3,0,1,0,0,2,0,-1.7,+10,4.0
26,2016-03-18,24-344,LAL,,PHO,L (-5),0,20:48,2,5,.400,0,1,.000,4,6,.667,0,9,9,0,0,0,1,1,8,5.8,+1,4.0
27,2016-03-27,24-353,LAL,,WAS,L (-13),0,16:39,0,4,.000,0,2,.000,0,0,,1,4,5,0,0,0,2,4,0,-4.5,-5,4.0
28,2016-03-28,24-354,LAL,@,UTA,L (-48),0,16:45,3,8,.375,0,0,,0,0,,1,5,6,1,0,1,0,2,6,4.4,-11,4.0
29,2016-03-30,24-356,LAL,,MIA,W (+2),0,21:29,2,6,.333,0,0,,0,0,,0,5,5,2,0,0,0,2,4,2.7,+8,4.0
30,2016-04-03,24-360,LAL,,BOS,L (-7),0,14:37,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2,0.9,-4,4.0
31,2016-04-05,24-362,LAL,@,LAC,L (-22),0,24:55,5,9,.556,0,2,.000,2,2,1.000,1,3,4,0,1,0,2,3,12,7.1,+8,4.0
32,2016-04-06,24-363,LAL,,LAC,L (-10),0,8:06,2,3,.667,0,0,,0,1,.000,0,1,1,0,0,0,0,0,4,2.6,+12,4.0
33,2016-04-08,24-365,LAL,@,NOP,L (-8),0,21:43,1,5,.200,0,0,,0,0,,2,1,3,0,0,1,0,0,2,1.3,0,4.0
34,2016-04-10,25-001,LAL,@,HOU,L (-20),0,2:26,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+1,4.0
35,2016-04-11,25-002,LAL,@,OKC,L (-33),0,17:59,1,5,.200,0,0,,1,2,.500,1,2,3,0,3,0,1,0,3,2.8,-10,4.0
36,2016-04-13,25-004,LAL,,UTA,W (+5),0,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
