G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-330,PHO,,DAL,L (-16),1,34:25,6,13,.462,1,4,.250,2,2,1.000,1,5,6,3,0,1,6,4,15,5.7,-23,1.0
2,2015-10-30,23-332,PHO,,POR,W (+18),1,33:04,7,14,.500,2,5,.400,2,2,1.000,1,3,4,4,3,0,2,3,18,15.2,+14,1.0
3,2015-10-31,23-333,PHO,@,POR,W (+11),1,34:29,10,19,.526,4,9,.444,3,4,.750,1,4,5,5,2,1,2,2,27,22.6,+16,1.0
4,2015-11-02,23-335,PHO,@,LAC,L (-6),1,40:39,4,20,.200,1,8,.125,3,3,1.000,1,6,7,8,2,0,1,0,12,8.7,+3,1.0
5,2015-11-04,23-337,PHO,,SAC,W (+21),1,32:37,7,16,.438,3,6,.500,0,0,,1,1,2,7,1,1,3,1,17,12.8,+5,1.0
6,2015-11-06,23-339,PHO,,DET,L (-8),1,38:43,8,19,.421,3,9,.333,3,4,.750,0,2,2,3,1,2,2,1,22,14.2,0,1.0
7,2015-11-08,23-341,PHO,@,OKC,L (-21),1,32:17,6,14,.429,2,6,.333,0,0,,0,4,4,1,0,1,8,2,14,0.4,-23,1.0
8,2015-11-12,23-345,PHO,,LAC,W (+14),1,34:14,14,22,.636,6,10,.600,3,4,.750,0,2,2,4,0,0,1,3,37,28.0,+21,1.0
9,2015-11-14,23-347,PHO,,DEN,W (+24),1,22:20,4,12,.333,1,3,.333,1,1,1.000,0,1,1,0,1,0,3,2,10,0.7,+8,1.0
10,2015-11-16,23-349,PHO,,LAL,W (+19),1,40:47,11,23,.478,3,8,.375,5,7,.714,3,7,10,15,4,0,2,3,30,33.0,+21,1.0
11,2015-11-18,23-351,PHO,,CHI,L (-6),1,38:18,8,20,.400,1,2,.500,6,6,1.000,1,2,3,4,1,0,5,2,23,11.5,-3,1.0
12,2015-11-20,23-353,PHO,@,DEN,W (+7),1,36:19,11,20,.550,6,10,.600,10,12,.833,4,7,11,6,2,1,5,1,38,34.0,+10,1.0
13,2015-11-22,23-355,PHO,@,NOP,L (-6),1,37:26,5,18,.278,2,6,.333,7,8,.875,0,3,3,7,2,0,4,5,19,9.8,-11,1.0
14,2015-11-23,23-356,PHO,@,SAS,L (-14),1,38:00,7,15,.467,2,4,.500,2,2,1.000,0,3,3,8,1,0,8,2,18,9.0,-12,1.0
15,2015-11-25,23-358,PHO,,NOP,L (-6),1,42:23,10,21,.476,4,9,.444,5,8,.625,1,3,4,10,4,0,1,1,29,28.3,-1,1.0
