G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-246,SAC,,LAC,L (-7),1,22:32,5,6,.833,0,0,,0,0,,3,4,7,1,1,2,1,2,10,12.4,-10,5.0
2,2015-10-30,26-248,SAC,,LAL,W (+18),0,21:15,4,11,.364,0,0,,0,0,,5,5,10,2,0,1,2,4,8,5.4,-3,5.0
3,2015-10-31,26-249,SAC,@,LAC,L (-5),0,29:12,2,5,.400,0,0,,0,0,,4,3,7,0,0,1,0,6,4,3.3,-8,5.0
4,2015-11-03,26-252,SAC,,MEM,L (-14),1,26:21,5,6,.833,0,0,,1,2,.500,1,5,6,0,1,0,1,5,11,8.6,-9,5.0
5,2015-11-04,26-253,SAC,@,PHO,L (-21),0,28:21,8,11,.727,0,0,,0,0,,4,3,7,0,1,2,1,5,16,14.6,-15,5.0
6,2015-11-06,26-255,SAC,,HOU,L (-6),1,25:15,3,7,.429,0,0,,0,0,,4,3,7,0,1,1,1,3,6,5.5,-32,5.0
7,2015-11-07,26-256,SAC,,GSW,L (-9),1,26:42,6,9,.667,0,0,,0,0,,5,5,10,0,1,1,0,5,12,12.8,-6,5.0
8,2015-11-09,26-258,SAC,,SAS,L (-18),0,25:53,1,2,.500,0,0,,0,2,.000,1,5,6,1,1,3,1,1,2,4.8,-2,5.0
9,2015-11-11,26-260,SAC,,DET,W (+9),0,22:53,2,5,.400,0,0,,0,0,,0,3,3,0,1,0,1,2,4,1.4,-6,5.0
10,2015-11-13,26-262,SAC,,BRK,W (+2),0,18:35,2,7,.286,0,0,,1,1,1.000,4,3,7,0,1,1,1,4,5,3.7,-1,5.0
11,2015-11-15,26-264,SAC,,TOR,W (+6),0,13:27,1,2,.500,0,0,,1,2,.500,1,0,1,0,0,0,0,3,3,1.1,-13,5.0
12,2015-11-18,26-267,SAC,@,ATL,L (-6),0,20:43,6,9,.667,0,0,,1,1,1.000,2,4,6,0,1,0,0,1,13,12.3,-4,5.0
13,2015-11-19,26-268,SAC,@,MIA,L (-7),1,24:43,3,8,.375,0,0,,0,2,.000,2,5,7,0,0,0,1,3,6,1.5,-4,5.0
14,2015-11-21,26-270,SAC,@,ORL,W (+6),0,20:46,4,7,.571,0,0,,4,4,1.000,2,3,5,0,1,0,0,1,12,11.6,+1,5.0
15,2015-11-23,26-272,SAC,@,CHO,L (-5),0,23:42,4,9,.444,0,0,,2,4,.500,2,5,7,1,1,3,1,5,10,8.2,0,5.0
