G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,23-153,CHO,@,ATL,L (-3),0,14:38,4,8,.500,3,5,.600,0,0,,0,2,2,1,0,2,1,0,11,8.7,-9,2.0
2,2015-11-01,23-155,CHO,,ATL,L (-2),0,18:16,4,11,.364,1,4,.250,0,0,,0,4,4,2,0,2,0,1,9,6.5,-5,2.0
3,2015-11-03,23-157,CHO,,CHI,W (+25),0,25:34,9,10,.900,2,3,.667,0,1,.000,0,4,4,3,2,0,1,0,20,20.5,+22,2.0
4,2015-11-05,23-159,CHO,@,DAL,W (+14),0,24:05,7,11,.636,2,4,.500,0,0,,2,2,4,0,0,0,0,2,16,12.3,+3,2.0
5,2015-11-07,23-161,CHO,@,SAS,L (-20),0,23:11,2,8,.250,0,3,.000,0,2,.000,2,2,4,0,0,0,2,2,4,-2.4,-29,2.0
6,2015-11-10,23-164,CHO,@,MIN,W (+9),0,22:55,8,10,.800,2,3,.667,0,0,,0,4,4,0,1,0,1,1,18,15.0,+13,2.0
7,2015-11-11,23-165,CHO,,NYK,W (+2),0,23:42,6,10,.600,2,4,.500,0,0,,0,4,4,0,2,0,1,0,14,11.6,+13,2.0
8,2015-11-13,23-167,CHO,@,CHI,L (-5),0,32:00,5,14,.357,2,7,.286,3,4,.750,2,7,9,2,0,0,1,2,15,9.9,-12,2.0
9,2015-11-15,23-169,CHO,,POR,W (+12),0,27:56,6,10,.600,1,5,.200,0,0,,0,5,5,3,0,2,1,2,13,11.6,+21,2.0
10,2015-11-17,23-171,CHO,@,NYK,L (-8),0,22:52,5,7,.714,0,2,.000,2,2,1.000,1,5,6,3,0,0,0,2,12,12.6,+11,2.0
11,2015-11-18,23-172,CHO,,BRK,W (+5),0,21:26,2,7,.286,0,2,.000,2,2,1.000,0,3,3,1,0,1,0,0,6,4.2,+6,2.0
12,2015-11-20,23-174,CHO,,PHI,W (+25),0,30:09,4,10,.400,2,4,.500,3,3,1.000,0,3,3,2,1,0,1,3,13,8.7,+14,2.0
13,2015-11-23,23-177,CHO,,SAC,W (+5),0,25:54,5,9,.556,0,2,.000,1,2,.500,0,5,5,2,1,0,1,5,11,7.2,-11,2.0
14,2015-11-25,23-179,CHO,,WAS,W (+14),0,31:48,6,12,.500,2,5,.400,4,4,1.000,0,7,7,3,1,1,3,2,18,14.1,+18,2.0
15,2015-11-27,23-181,CHO,,CLE,L (-5),0,23:46,5,12,.417,0,2,.000,1,3,.333,1,7,8,0,0,1,1,2,11,5.5,-8,2.0
16,2015-11-29,23-183,CHO,,MIL,W (+5),0,27:16,5,10,.500,3,6,.500,1,2,.500,1,8,9,2,0,0,0,0,14,13.1,+21,2.0
17,2015-12-02,23-186,CHO,,GSW,L (-17),0,21:16,5,13,.385,2,5,.400,1,2,.500,2,2,4,0,0,0,2,0,13,5.5,-8,2.0
18,2015-12-05,23-189,CHO,@,CHI,W (+6),0,22:24,4,10,.400,0,2,.000,2,2,1.000,1,0,1,1,0,0,0,1,10,5.6,0,2.0
19,2015-12-07,23-191,CHO,,DET,W (+20),0,21:20,3,11,.273,0,2,.000,0,2,.000,3,4,7,3,0,1,1,3,6,2.6,+13,2.0
20,2015-12-09,23-193,CHO,,MIA,W (+18),0,18:40,5,12,.417,0,4,.000,0,1,.000,1,3,4,1,0,1,0,1,10,5.8,+10,2.0
21,2015-12-11,23-195,CHO,@,MEM,W (+24),0,16:55,4,8,.500,1,3,.333,1,1,1.000,1,3,4,0,0,0,0,3,10,6.4,+6,2.0
22,2015-12-12,23-196,CHO,,BOS,L (-5),0,15:24,3,11,.273,2,5,.400,1,1,1.000,0,3,3,2,1,0,1,0,9,4.8,+16,2.0
23,2015-12-16,23-200,CHO,@,ORL,L (-15),0,24:01,7,10,.700,1,2,.500,1,1,1.000,1,4,5,4,4,0,2,1,16,18.1,-3,2.0
24,2015-12-17,23-201,CHO,,TOR,W (+10),0,14:58,2,6,.333,1,3,.333,2,2,1.000,0,2,2,0,0,0,1,2,7,2.4,+2,2.0
25,2015-12-19,23-203,CHO,@,WAS,L (-8),0,11:42,4,8,.500,1,4,.250,0,0,,1,3,4,0,0,0,0,3,9,5.4,+3,2.0
26,2015-12-21,23-205,CHO,@,HOU,L (-7),0,19:27,3,9,.333,1,5,.200,3,3,1.000,1,1,2,3,0,0,0,0,10,8.0,-4,2.0
27,2015-12-23,23-207,CHO,,BOS,L (-13),0,18:57,2,4,.500,1,1,1.000,7,8,.875,1,4,5,0,0,1,3,2,12,8.4,+4,2.0
28,2015-12-26,23-210,CHO,,MEM,W (+6),0,15:16,0,3,.000,0,3,.000,0,0,,1,3,4,0,0,1,2,1,0,-2.2,-6,2.0
29,2015-12-28,23-212,CHO,,LAL,W (+10),0,11:53,1,3,.333,0,1,.000,0,1,.000,0,2,2,1,2,0,0,2,2,2.4,+3,2.0
30,2015-12-30,23-214,CHO,,LAC,L (-5),0,22:31,7,13,.538,1,1,1.000,4,4,1.000,2,3,5,2,0,0,0,6,19,14.0,-5,2.0
31,2016-01-01,23-216,CHO,@,TOR,L (-10),0,27:47,2,10,.200,1,4,.250,0,0,,2,4,6,1,0,1,0,1,5,2.4,-1,2.0
32,2016-01-02,23-217,CHO,,OKC,L (-19),0,25:12,3,12,.250,1,3,.333,2,2,1.000,1,2,3,4,1,1,1,4,9,5.0,-12,2.0
33,2016-01-04,23-219,CHO,@,GSW,L (-10),0,29:34,9,14,.643,0,3,.000,4,4,1.000,0,3,3,1,3,0,1,1,22,19.0,+2,2.0
34,2016-01-06,23-221,CHO,@,PHO,L (-9),0,7:29,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,0,0,2,1.6,-10,2.0
35,2016-01-09,23-224,CHO,@,LAC,L (-14),0,34:10,8,14,.571,2,4,.500,0,0,,3,10,13,0,1,1,1,1,18,16.8,+5,2.0
