G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-12-23,32-095,PHI,@,MIL,L (-13),0,12:59,2,6,.333,0,0,,6,8,.750,2,3,5,1,1,1,1,1,10,9.1,+5,4.0
2,2015-12-26,32-098,PHI,@,PHO,W (+7),0,22:52,7,10,.700,0,0,,2,2,1.000,2,6,8,0,1,0,2,3,16,12.8,+18,4.0
3,2015-12-28,32-100,PHI,@,UTA,L (-4),1,8:23,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-9,4.0
4,2016-01-02,32-105,PHI,@,LAC,L (-31),0,16:01,4,7,.571,0,0,,3,6,.500,1,3,4,1,2,0,1,2,11,9.0,-5,4.0
5,2016-01-04,32-107,PHI,,MIN,W (+10),0,22:22,8,11,.727,0,0,,0,0,,3,1,4,1,0,1,0,0,16,15.3,+19,4.0
6,2016-01-07,32-110,PHI,,ATL,L (-28),0,6:23,3,5,.600,0,0,,0,1,.000,1,2,3,0,0,0,1,1,6,3.2,-8,4.0
7,2016-01-09,32-112,PHI,,TOR,L (-13),0,12:39,5,6,.833,1,1,1.000,0,0,,1,2,3,0,0,0,0,2,11,9.3,-6,4.0
8,2016-01-10,32-113,PHI,,CLE,L (-10),0,9:00,1,3,.333,0,0,,1,2,.500,0,0,0,0,0,0,1,5,3,-2.1,-5,4.0
9,2016-01-14,32-117,PHI,,CHI,L (-4),1,19:09,4,8,.500,0,1,.000,0,0,,0,3,3,1,0,1,2,4,8,2.7,+12,4.0
10,2016-01-16,32-119,PHI,,POR,W (+25),0,7:08,0,0,,0,0,,3,4,.750,0,0,0,0,1,0,0,1,3,3.2,-6,4.0
11,2016-01-18,32-121,PHI,@,NYK,L (-6),0,4:12,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,0.6,-3,4.0
