G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-359,HOU,,DEN,L (-20),1,36:42,3,10,.300,2,3,.667,4,6,.667,0,4,4,6,0,0,3,0,12,7.8,-16,1.0
2,2015-10-30,27-361,HOU,,GSW,L (-20),1,35:31,2,8,.250,1,3,.333,6,9,.667,0,4,4,5,0,1,2,2,11,7.6,-11,1.0
3,2015-11-01,27-363,HOU,@,MIA,L (-20),1,37:27,1,3,.333,0,0,,2,2,1.000,0,4,4,4,1,0,3,3,4,3.1,-23,1.0
4,2015-11-02,27-364,HOU,,OKC,W (+5),1,36:49,6,10,.600,0,2,.000,2,7,.286,2,3,5,11,4,0,4,3,14,16.2,-1,1.0
5,2015-11-04,28-001,HOU,,ORL,W (+5),1,41:20,5,14,.357,2,7,.286,4,4,1.000,1,3,4,8,1,0,5,1,16,11.0,+15,1.0
6,2015-11-06,28-003,HOU,@,SAC,W (+6),1,40:55,5,12,.417,3,6,.500,0,0,,2,3,5,2,2,0,3,4,13,7.7,+15,1.0
7,2015-11-07,28-004,HOU,@,LAC,W (+4),1,40:51,2,11,.182,0,3,.000,2,2,1.000,0,3,3,4,1,0,0,4,6,2.2,-5,1.0
8,2015-11-11,28-008,HOU,,BRK,L (-8),1,37:35,3,11,.273,0,2,.000,2,2,1.000,3,1,4,5,2,0,1,1,8,8.0,-10,1.0
9,2015-11-13,28-010,HOU,@,DEN,L (-9),1,34:05,0,7,.000,0,2,.000,0,0,,0,0,0,7,1,1,1,2,0,-0.1,-7,1.0
10,2015-11-14,28-011,HOU,,DAL,L (-12),1,30:22,3,8,.375,1,4,.250,0,0,,1,2,3,5,1,0,2,1,7,6.0,-13,1.0
11,2015-11-16,28-013,HOU,,BOS,L (-16),1,26:31,3,5,.600,0,1,.000,1,2,.500,1,1,2,5,1,0,4,0,7,5.8,-12,1.0
12,2015-11-18,28-015,HOU,,POR,W (+5),0,20:23,1,8,.125,0,2,.000,0,0,,0,0,0,1,1,0,2,1,2,-3.9,-6,1.0
13,2015-11-20,28-017,HOU,@,MEM,L (-12),0,16:01,2,6,.333,0,1,.000,4,6,.667,0,1,1,4,2,1,1,2,8,7.8,-16,1.0
14,2015-11-21,28-018,HOU,,NYK,L (-5),0,16:49,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,4,0,0,-2.7,0,1.0
15,2015-11-25,28-022,HOU,,MEM,L (-9),0,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,1.0
16,2015-11-27,28-024,HOU,,PHI,W (+2),0,15:55,2,3,.667,0,0,,0,0,,0,0,0,3,1,0,3,0,4,2.8,+8,1.0
17,2015-11-30,28-027,HOU,@,DET,L (-11),0,18:42,4,8,.500,3,3,1.000,0,0,,2,1,3,3,1,0,1,0,11,10.8,-7,1.0
18,2015-12-02,28-029,HOU,,NOP,W (+7),0,29:25,4,6,.667,1,1,1.000,3,5,.600,0,0,0,6,0,0,3,2,12,9.0,+23,1.0
19,2015-12-04,28-031,HOU,@,DAL,W (+4),0,19:50,3,8,.375,1,3,.333,1,2,.500,1,0,1,1,1,0,2,2,8,2.8,-8,1.0
20,2015-12-05,28-032,HOU,,SAC,W (+7),0,12:24,0,1,.000,0,1,.000,2,2,1.000,0,0,0,4,0,0,1,1,2,2.7,+12,1.0
21,2015-12-08,28-035,HOU,@,BRK,L (-5),0,19:17,0,3,.000,0,0,,0,0,,0,0,0,5,1,1,0,0,0,3.1,+5,1.0
22,2015-12-09,28-036,HOU,@,WAS,W (+6),0,20:51,1,4,.250,0,1,.000,0,0,,0,1,1,2,1,0,0,2,2,1.5,-3,1.0
23,2015-12-12,28-039,HOU,,LAL,W (+29),0,25:49,1,2,.500,1,2,.500,2,2,1.000,0,2,2,8,2,0,3,0,5,9.2,+32,1.0
24,2015-12-14,28-041,HOU,@,DEN,L (-6),0,13:02,1,5,.200,0,3,.000,0,0,,0,0,0,2,0,0,0,0,2,0.3,-22,1.0
25,2015-12-15,28-042,HOU,@,SAC,L (-10),0,7:03,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,1,1,0,0.0,-4,1.0
26,2015-12-17,28-044,HOU,@,LAL,W (+20),0,18:42,0,3,.000,0,1,.000,0,0,,0,1,1,3,1,0,2,1,0,-1.1,-10,1.0
27,2015-12-23,28-050,HOU,@,ORL,L (-3),0,26:36,4,6,.667,1,3,.333,2,2,1.000,0,2,2,3,0,0,1,4,11,8.5,+10,1.0
28,2015-12-25,28-052,HOU,,SAS,W (+4),0,18:42,3,5,.600,1,1,1.000,0,0,,1,2,3,5,0,0,1,2,7,7.7,+3,1.0
29,2015-12-26,28-053,HOU,@,NOP,L (-2),0,30:07,3,9,.333,1,3,.333,2,2,1.000,0,2,2,5,2,0,1,2,9,8.2,+2,1.0
30,2015-12-29,28-056,HOU,,ATL,L (-6),0,25:59,6,9,.667,2,3,.667,0,0,,0,1,1,4,1,0,0,1,14,13.8,+16,1.0
31,2015-12-31,28-058,HOU,,GSW,L (-4),0,17:44,2,4,.500,0,1,.000,1,2,.500,0,0,0,4,2,0,1,0,5,6.4,-17,1.0
32,2016-01-02,28-060,HOU,@,SAS,L (-18),0,17:59,3,6,.500,0,2,.000,0,0,,0,3,3,6,1,0,2,2,6,6.3,-5,1.0
33,2016-01-13,28-071,HOU,,MIN,W (+3),0,21:47,2,6,.333,1,1,1.000,1,2,.500,0,1,1,3,2,0,2,0,6,4.6,+5,1.0
34,2016-01-15,28-073,HOU,,CLE,L (-14),0,6:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-10,1.0
35,2016-01-17,28-075,HOU,@,LAL,W (+17),0,31:15,4,7,.571,1,3,.333,3,3,1.000,0,2,2,5,0,0,1,1,12,11.4,+2,1.0
36,2016-01-18,28-076,HOU,@,LAC,L (-8),0,21:59,0,2,.000,0,0,,1,2,.500,1,0,1,5,3,0,1,3,1,4.2,-7,1.0
37,2016-01-20,28-078,HOU,,DET,L (-9),1,35:13,8,13,.615,1,2,.500,1,1,1.000,1,4,5,3,0,0,4,4,18,10.5,-2,1.0
38,2016-01-22,28-080,HOU,,MIL,W (+4),0,27:41,5,10,.500,1,4,.250,0,0,,2,2,4,2,0,0,2,3,11,6.2,+2,1.0
39,2016-01-24,28-082,HOU,,DAL,W (+11),0,23:33,4,6,.667,1,2,.500,1,1,1.000,0,2,2,2,0,1,1,2,10,8.3,+2,1.0
40,2016-01-25,28-083,HOU,@,NOP,W (+1),0,16:16,0,3,.000,0,1,.000,3,4,.750,0,0,0,2,0,0,2,1,3,-0.5,-27,1.0
41,2016-01-27,28-085,HOU,@,SAS,L (-31),0,25:38,0,1,.000,0,0,,2,4,.500,1,1,2,2,2,1,0,0,2,5.6,-13,1.0
42,2016-01-29,28-087,HOU,@,OKC,L (-8),0,17:59,2,4,.500,1,2,.500,0,0,,1,1,2,4,0,0,0,4,5,5.2,-7,1.0
43,2016-01-30,28-088,HOU,,WAS,L (-1),0,18:46,2,4,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,2,7,5.2,+5,1.0
44,2016-02-02,28-091,HOU,,MIA,W (+13),0,21:46,2,3,.667,0,1,.000,1,2,.500,0,2,2,4,0,0,2,0,5,4.7,+12,1.0
45,2016-02-04,28-093,HOU,@,PHO,W (+6),0,22:21,4,9,.444,4,6,.667,0,0,,0,2,2,4,0,0,2,2,12,7.9,-3,1.0
46,2016-02-06,28-095,HOU,,POR,L (-17),0,16:50,1,4,.250,0,2,.000,0,0,,0,0,0,0,1,0,2,1,2,-1.8,-5,1.0
47,2016-02-09,28-098,HOU,@,GSW,L (-13),0,15:56,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-2.1,-22,1.0
48,2016-02-10,28-099,HOU,@,POR,L (-13),0,8:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3,1.0
49,2016-02-19,28-108,HOU,@,PHO,W (+16),0,19:56,0,4,.000,0,0,,1,2,.500,0,4,4,2,1,0,2,1,1,-1.0,-23,1.0
50,2016-02-23,28-112,HOU,@,UTA,L (-3),0,15:39,2,5,.400,0,1,.000,0,0,,0,0,0,2,1,0,1,0,4,2.7,+1,1.0
51,2016-02-25,28-114,HOU,@,POR,W (+14),0,5:32,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,1.4,-1,1.0
52,2016-02-27,28-116,HOU,,SAS,L (-10),0,5:11,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,1,1,2,-0.1,-5,1.0
53,2016-02-29,28-118,HOU,@,MIL,L (-7),0,5:49,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,0,0,0.0,-12,1.0
54,2016-03-07,28-125,IND,,SAS,W (+8),0,5:05,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1.0,+1,1.0
55,2016-03-21,28-139,IND,,PHI,W (+16),0,15:10,2,3,.667,2,2,1.000,0,0,,0,2,2,2,0,0,1,2,6,4.9,+3,1.0
56,2016-03-24,28-142,IND,,NOP,W (+8),0,15:22,2,6,.333,0,1,.000,0,0,,0,1,1,2,3,0,1,0,4,4.3,0,1.0
57,2016-03-26,28-144,IND,@,BRK,L (-10),0,14:38,2,5,.400,1,1,1.000,0,0,,0,4,4,2,1,0,0,1,5,5.5,0,1.0
58,2016-03-27,28-145,IND,,HOU,W (+3),0,13:47,3,4,.750,0,1,.000,0,0,,0,1,1,5,1,0,2,1,6,6.8,+1,1.0
59,2016-03-29,28-147,IND,,CHI,L (-2),0,16:30,4,7,.571,0,1,.000,0,0,,0,1,1,3,1,0,0,0,8,8.1,-12,1.0
60,2016-03-31,28-149,IND,,ORL,L (-20),0,20:12,1,5,.200,0,2,.000,0,0,,0,4,4,3,1,1,1,2,2,2.1,-7,1.0
61,2016-04-02,28-151,IND,@,PHI,W (+13),0,21:59,2,6,.333,0,1,.000,1,2,.500,0,2,2,5,1,0,1,2,5,4.5,+5,1.0
62,2016-04-03,28-152,IND,@,NYK,W (+5),0,18:21,1,7,.143,0,1,.000,0,0,,1,3,4,5,1,0,0,3,2,2.4,+11,1.0
63,2016-04-08,28-157,IND,@,TOR,L (-13),0,18:03,1,2,.500,0,0,,0,0,,1,1,2,5,0,0,1,2,2,3.7,-9,1.0
64,2016-04-10,28-159,IND,,BRK,W (+24),0,26:19,3,6,.500,0,0,,1,2,.500,3,3,6,9,1,0,1,3,7,11.7,+12,1.0
65,2016-04-12,28-161,IND,,NYK,W (+12),0,23:44,4,8,.500,1,2,.500,0,0,,1,1,2,8,0,0,2,0,9,9.6,+6,1.0
66,2016-04-13,28-162,IND,@,MIL,W (+5),1,26:02,3,7,.429,1,2,.500,1,2,.500,0,1,1,6,0,0,3,0,8,5.4,+3,1.0
