G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,22-134,PHO,,DAL,L (-16),0,13:33,1,3,.333,0,0,,2,4,.500,3,5,8,0,0,0,2,2,4,2.3,-10,5.0
2,2015-10-30,22-136,PHO,,POR,W (+18),0,18:45,4,6,.667,0,0,,2,4,.500,1,3,4,1,1,2,1,1,10,9.9,0,5.0
3,2015-10-31,22-137,PHO,@,POR,W (+11),0,13:01,1,8,.125,0,0,,0,0,,2,2,4,0,1,0,2,2,2,-3.0,+5,5.0
4,2015-11-02,22-139,PHO,@,LAC,L (-6),0,6:55,0,3,.000,0,0,,2,2,1.000,0,4,4,0,0,0,1,1,2,-0.3,+8,5.0
5,2015-11-04,22-141,PHO,,SAC,W (+21),0,22:10,7,12,.583,0,0,,2,3,.667,4,3,7,1,1,0,4,2,16,10.6,+12,5.0
6,2015-11-06,22-143,PHO,,DET,L (-8),0,8:51,1,2,.500,0,0,,2,2,1.000,2,5,7,0,0,0,2,2,4,3.1,-5,5.0
7,2015-11-08,22-145,PHO,@,OKC,L (-21),0,20:00,2,3,.667,0,0,,4,4,1.000,1,4,5,0,2,0,2,2,8,7.8,+4,5.0
8,2015-11-12,22-149,PHO,,LAC,W (+14),0,18:51,1,4,.250,0,0,,0,2,.000,1,3,4,0,0,0,1,2,2,-1.4,-5,5.0
9,2015-11-14,22-151,PHO,,DEN,W (+24),0,16:15,0,3,.000,0,0,,4,4,1.000,0,4,4,0,0,0,2,3,4,-0.1,-4,5.0
10,2015-11-16,22-153,PHO,,LAL,W (+19),0,25:24,4,7,.571,0,0,,2,3,.667,2,4,6,0,0,3,0,2,10,10.2,+18,5.0
11,2015-11-18,22-155,PHO,,CHI,L (-6),0,17:04,3,3,1.000,0,0,,0,1,.000,2,3,5,1,1,1,0,2,6,8.6,-1,5.0
12,2015-11-20,22-157,PHO,@,DEN,W (+7),0,14:22,4,4,1.000,0,0,,1,2,.500,1,3,4,0,0,2,0,1,9,10.0,-5,5.0
13,2015-11-22,22-159,PHO,@,NOP,L (-6),0,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8,5.0
14,2015-11-23,22-160,PHO,@,SAS,L (-14),0,6:22,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-2,5.0
15,2015-11-25,22-162,PHO,,NOP,L (-6),1,15:41,1,2,.500,0,0,,0,1,.000,3,5,8,0,2,2,3,3,2,3.4,-1,5.0
16,2015-11-27,22-164,PHO,,GSW,L (-19),0,9:26,0,2,.000,0,0,,2,2,1.000,2,2,4,0,1,0,0,0,2,3.6,-8,5.0
17,2015-11-29,22-166,PHO,@,TOR,W (+5),1,27:54,4,8,.500,0,0,,0,0,,3,4,7,1,0,0,0,0,8,8.0,0,5.0
18,2015-12-01,22-168,PHO,@,BRK,L (-3),1,34:57,4,7,.571,0,0,,5,6,.833,0,14,14,2,2,3,4,3,13,13.8,-6,5.0
19,2015-12-02,22-169,PHO,@,DET,L (-5),1,14:42,3,7,.429,0,0,,0,0,,4,3,7,0,0,1,2,4,6,3.1,-8,5.0
20,2015-12-04,22-171,PHO,@,WAS,L (-3),1,15:08,3,5,.600,0,1,.000,0,0,,3,1,4,1,0,2,2,1,6,5.8,+6,5.0
21,2015-12-06,22-173,PHO,@,MEM,L (-2),1,32:06,5,6,.833,0,0,,2,2,1.000,3,4,7,1,1,2,1,4,12,13.6,+14,5.0
22,2015-12-07,22-174,PHO,@,CHI,W (+2),1,22:28,6,14,.429,0,0,,3,4,.750,2,4,6,2,1,1,2,6,15,8.5,-9,5.0
23,2015-12-09,22-176,PHO,,ORL,W (+3),1,36:19,7,10,.700,0,0,,6,11,.545,6,8,14,1,0,3,3,3,20,19.0,-1,5.0
24,2015-12-11,22-178,PHO,,POR,L (-10),1,27:32,4,10,.400,0,0,,5,8,.625,4,4,8,1,0,1,0,0,13,11.8,-12,5.0
25,2015-12-13,22-180,PHO,,MIN,W (+7),1,24:36,5,10,.500,0,1,.000,8,8,1.000,2,5,7,3,0,1,0,4,18,17.1,-3,5.0
26,2015-12-14,22-181,PHO,@,DAL,L (-10),1,21:25,1,7,.143,0,0,,0,0,,1,3,4,0,1,1,3,3,2,-3.4,0,5.0
27,2015-12-16,22-183,PHO,@,GSW,L (-25),0,22:14,3,6,.500,0,0,,0,0,,1,4,5,1,1,1,1,1,6,5.9,+4,5.0
28,2015-12-18,22-185,PHO,,NOP,W (+16),0,28:33,8,11,.727,1,1,1.000,2,4,.500,4,9,13,2,2,1,1,5,19,20.3,+19,5.0
29,2015-12-20,22-187,PHO,,MIL,L (-6),0,19:41,1,5,.200,0,0,,0,0,,1,6,7,1,0,1,1,1,2,1.4,+4,5.0
30,2015-12-21,22-188,PHO,@,UTA,L (-21),0,16:45,2,6,.333,0,0,,1,2,.500,1,2,3,0,0,0,2,3,5,-0.7,-1,5.0
31,2015-12-23,22-190,PHO,,DEN,L (-8),1,9:13,0,0,,0,0,,0,0,,0,2,2,1,1,0,1,2,0,0.5,-6,5.0
32,2015-12-26,22-193,PHO,,PHI,L (-7),1,18:48,2,5,.400,0,0,,2,2,1.000,4,2,6,2,0,1,0,2,6,8.0,-1,5.0
33,2015-12-28,22-195,PHO,,CLE,L (-4),1,24:05,1,5,.200,0,0,,3,4,.750,2,5,7,1,0,0,2,4,5,1.5,-3,5.0
34,2015-12-30,22-197,PHO,@,SAS,L (-33),1,11:40,0,5,.000,0,0,,0,0,,2,0,2,0,0,0,0,4,0,-3.7,-11,5.0
35,2015-12-31,22-198,PHO,@,OKC,L (-4),0,16:39,0,0,,0,0,,0,0,,0,3,3,1,0,2,1,5,0,0.0,-5,5.0
36,2016-01-02,22-200,PHO,@,SAC,L (-23),0,6:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,3,0,-3.6,-16,5.0
37,2016-01-03,22-201,PHO,@,LAL,L (-20),0,26:59,3,6,.500,0,0,,0,0,,0,9,9,2,1,3,2,3,6,7.0,-6,5.0
38,2016-01-06,22-204,PHO,,CHO,W (+9),0,14:09,0,0,,0,0,,0,0,,0,2,2,0,1,0,1,3,0,-0.6,-1,5.0
39,2016-01-08,22-206,PHO,,MIA,L (-8),0,12:46,2,5,.400,0,0,,1,2,.500,0,1,1,0,0,1,0,2,5,2.1,-3,5.0
40,2016-01-19,22-217,PHO,,IND,L (-3),0,21:23,2,6,.333,0,1,.000,2,2,1.000,4,8,12,1,0,0,1,5,6,5.5,+5,5.0
41,2016-01-21,22-219,PHO,,SAS,L (-28),1,35:02,6,14,.429,0,0,,1,2,.500,1,7,8,4,1,2,2,5,13,9.2,-19,5.0
42,2016-01-23,22-221,PHO,,ATL,W (+3),1,35:20,6,10,.600,0,0,,4,4,1.000,1,11,12,5,0,0,3,3,16,14.7,-6,5.0
43,2016-01-26,22-224,PHO,@,PHI,L (-10),1,33:59,6,12,.500,0,0,,4,4,1.000,4,8,12,0,1,2,1,4,16,15.0,-5,5.0
44,2016-01-27,22-225,PHO,@,CLE,L (-22),1,27:00,2,9,.222,0,0,,0,0,,1,3,4,4,0,0,2,2,4,0.1,-24,5.0
45,2016-01-29,22-227,PHO,@,NYK,L (-18),1,16:43,3,5,.600,0,0,,0,1,.000,3,4,7,0,0,1,4,3,6,2.1,-13,5.0
46,2016-01-31,22-229,PHO,@,DAL,L (-13),0,14:55,2,2,1.000,0,0,,2,2,1.000,0,8,8,0,0,3,0,1,6,9.5,+4,5.0
47,2016-02-02,22-231,PHO,,TOR,L (-7),0,16:21,1,5,.200,0,0,,0,0,,2,2,4,0,0,0,2,3,2,-2.3,-21,5.0
48,2016-02-04,22-233,PHO,,HOU,L (-6),0,26:59,5,11,.455,0,0,,2,3,.667,9,9,18,2,1,0,2,5,12,13.3,-2,5.0
49,2016-02-06,22-235,PHO,,UTA,L (-9),0,15:19,2,6,.333,0,0,,1,2,.500,2,1,3,2,0,1,0,2,5,4.2,-13,5.0
50,2016-02-08,22-237,PHO,,OKC,L (-16),0,22:32,5,7,.714,0,0,,3,4,.750,2,6,8,2,2,1,0,4,13,15.4,-9,5.0
51,2016-02-10,22-239,PHO,,GSW,L (-8),0,14:18,3,7,.429,0,0,,0,0,,3,4,7,0,1,1,3,3,6,3.1,-8,5.0
52,2016-02-21,22-250,PHO,,SAS,L (-7),1,24:27,9,15,.600,0,0,,5,5,1.000,5,8,13,0,0,0,3,3,23,17.8,-3,5.0
53,2016-02-22,22-251,PHO,@,LAC,L (-40),1,30:39,5,16,.313,0,0,,4,6,.667,4,4,8,1,2,0,1,6,14,7.3,-23,5.0
54,2016-02-25,22-254,PHO,,BRK,L (-10),0,17:03,5,10,.500,0,0,,3,7,.429,3,3,6,0,0,0,2,5,13,5.4,-20,5.0
55,2016-02-27,22-256,PHO,,MEM,W (+5),1,34:24,7,11,.636,0,0,,8,12,.667,3,13,16,1,1,2,2,3,22,21.4,+5,5.0
56,2016-03-01,22-259,PHO,@,CHO,L (-34),1,33:54,5,15,.333,0,0,,8,10,.800,3,9,12,1,0,0,4,2,18,9.4,-21,5.0
57,2016-03-03,22-261,PHO,@,MIA,L (-16),1,39:48,4,14,.286,0,0,,4,5,.800,3,10,13,1,0,1,3,5,12,4.9,-9,5.0
58,2016-03-04,22-262,PHO,@,ORL,W (+18),1,35:56,10,22,.455,0,1,.000,11,14,.786,5,10,15,0,1,2,4,3,31,22.1,+28,5.0
