G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-243,POR,,NOP,W (+18),1,34:02,5,12,.417,2,7,.286,0,0,,2,6,8,3,1,1,2,2,12,9.8,+29,5.0
2,2015-10-30,23-245,POR,@,PHO,L (-18),1,17:33,0,5,.000,0,2,.000,0,0,,0,3,3,2,0,0,2,5,0,-5.2,-13,5.0
3,2015-10-31,23-246,POR,,PHO,L (-11),1,30:58,3,8,.375,0,4,.000,3,4,.750,0,1,1,0,1,1,0,1,9,5.8,-17,5.0
4,2015-11-02,23-248,POR,@,MIN,W (+5),1,23:52,1,7,.143,0,4,.000,2,2,1.000,1,6,7,1,0,1,1,3,4,1.2,-3,5.0
5,2015-11-04,23-250,POR,@,UTA,W (+16),1,11:26,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,2,0,1,2,2.0,-1,5.0
6,2015-11-05,23-251,POR,,MEM,W (+19),1,27:28,5,7,.714,1,3,.333,3,3,1.000,1,4,5,2,0,0,0,5,14,12.4,+19,5.0
7,2015-11-08,23-254,POR,,DET,L (-17),1,33:15,7,13,.538,3,5,.600,0,0,,0,2,2,1,0,0,1,4,17,9.4,-26,5.0
8,2015-11-09,23-255,POR,@,DEN,L (-4),1,34:28,5,10,.500,1,4,.250,0,0,,1,8,9,4,0,0,2,6,11,7.5,+11,5.0
9,2015-11-11,23-257,POR,,SAS,L (-12),1,23:56,3,4,.750,1,1,1.000,0,0,,0,5,5,2,0,0,0,1,7,7.9,+4,5.0
10,2015-11-28,23-274,POR,,LAL,W (+12),0,21:46,3,7,.429,1,5,.200,0,0,,1,5,6,2,0,1,0,1,7,7.2,-2,5.0
11,2015-11-30,23-276,POR,@,LAC,L (-15),0,18:14,1,6,.167,0,2,.000,2,2,1.000,1,5,6,0,0,0,0,3,4,1.2,-2,5.0
12,2015-12-01,23-277,POR,,DAL,L (-3),0,31:53,8,17,.471,4,11,.364,3,3,1.000,1,6,7,1,1,0,0,6,23,16.1,-3,5.0
13,2015-12-03,23-279,POR,,IND,W (+12),0,24:40,5,10,.500,2,4,.500,0,0,,0,2,2,1,1,0,1,3,12,7.1,+12,5.0
14,2015-12-05,23-281,POR,@,MIN,W (+6),0,23:37,6,10,.600,2,6,.333,0,0,,0,0,0,2,0,0,2,5,14,6.8,+1,5.0
15,2015-12-07,23-283,POR,@,MIL,L (-2),0,23:17,3,10,.300,0,6,.000,0,0,,1,4,5,2,0,1,3,3,6,0.0,-2,5.0
16,2015-12-08,23-284,POR,@,CLE,L (-5),0,16:26,3,6,.500,1,3,.333,0,0,,2,1,3,1,0,0,2,2,7,3.6,-1,5.0
17,2015-12-11,23-287,POR,@,PHO,W (+10),0,17:01,1,8,.125,0,3,.000,0,0,,1,2,3,2,0,0,2,2,2,-3.3,-5,5.0
18,2015-12-12,23-288,POR,,NYK,L (-2),0,19:20,3,6,.500,0,1,.000,0,0,,2,5,7,3,0,0,0,3,6,6.8,-8,5.0
19,2015-12-14,23-290,POR,,NOP,W (+4),0,17:11,1,5,.200,0,3,.000,0,1,.000,1,3,4,4,0,0,2,1,2,0.5,0,5.0
20,2015-12-16,23-292,POR,@,OKC,L (-16),0,25:48,2,8,.250,0,3,.000,0,0,,0,6,6,2,0,0,1,4,4,-0.2,-2,5.0
21,2015-12-18,23-294,POR,@,ORL,L (-8),0,21:40,2,6,.333,0,2,.000,0,0,,1,6,7,0,0,0,2,2,4,0.3,-1,5.0
22,2015-12-20,23-296,POR,@,MIA,L (-7),0,25:25,3,5,.600,2,3,.667,0,0,,1,8,9,1,0,0,0,3,8,8.3,+7,5.0
23,2015-12-21,23-297,POR,@,ATL,L (-9),0,22:38,2,7,.286,0,1,.000,1,1,1.000,1,2,3,1,0,1,0,3,5,2.4,-4,5.0
24,2015-12-23,23-299,POR,@,NOP,L (-26),0,27:04,5,9,.556,3,6,.500,2,5,.400,0,5,5,0,0,1,1,3,15,9.5,-7,5.0
25,2015-12-26,23-302,POR,,CLE,W (+29),0,22:54,5,9,.556,2,4,.500,1,2,.500,1,4,5,4,0,0,0,2,13,12.2,+7,5.0
26,2015-12-27,23-303,POR,@,SAC,W (+4),0,30:22,5,11,.455,4,7,.571,2,2,1.000,2,9,11,2,0,0,3,4,16,11.2,+17,5.0
27,2015-12-30,23-306,POR,,DEN,W (+7),0,21:59,3,9,.333,2,6,.333,3,4,.750,2,3,5,2,0,1,3,3,11,5.7,0,5.0
28,2015-12-31,23-307,POR,@,UTA,L (-13),0,33:10,6,8,.750,5,6,.833,0,0,,1,2,3,2,0,0,2,1,17,14.1,+2,5.0
29,2016-01-03,23-310,POR,@,DEN,W (+6),0,22:14,2,5,.400,0,1,.000,3,3,1.000,0,4,4,3,0,0,1,4,7,5.0,+6,5.0
30,2016-01-04,23-311,POR,,MEM,L (-13),0,16:21,2,3,.667,1,1,1.000,0,0,,0,5,5,0,0,0,2,1,5,2.8,-3,5.0
31,2016-01-06,23-313,POR,,LAC,L (-11),0,21:32,4,6,.667,2,3,.667,0,0,,1,4,5,0,0,0,3,2,10,5.5,-1,5.0
32,2016-01-08,23-315,POR,,GSW,L (-20),0,17:10,2,4,.500,1,1,1.000,0,0,,1,3,4,1,1,1,0,4,5,5.4,+4,5.0
33,2016-01-10,23-317,POR,,OKC,W (+5),0,13:10,1,6,.167,1,5,.200,0,0,,3,1,4,0,0,0,1,3,3,-0.6,-5,5.0
34,2016-01-13,23-320,POR,,UTA,W (+14),0,25:32,5,8,.625,2,3,.667,0,0,,0,4,4,0,0,1,1,6,12,6.9,+9,5.0
35,2016-01-15,23-322,POR,@,BRK,W (+12),0,22:14,3,7,.429,2,6,.333,0,0,,1,6,7,1,0,0,1,5,8,4.5,+9,5.0
36,2016-01-16,23-323,POR,@,PHI,L (-25),0,26:57,6,11,.545,2,6,.333,0,0,,1,6,7,0,0,0,2,5,14,7.2,-7,5.0
37,2016-01-18,23-325,POR,@,WAS,W (+10),0,24:06,7,10,.700,4,7,.571,0,0,,0,4,4,2,0,0,2,2,18,13.6,-5,5.0
