G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-105,POR,,NOP,W (+18),1,35:54,8,21,.381,1,7,.143,4,4,1.000,0,5,5,11,2,0,4,2,21,15.9,+17,1.0
2,2015-10-30,25-107,POR,@,PHO,L (-18),1,36:50,7,20,.350,3,8,.375,7,7,1.000,0,3,3,6,0,0,7,4,24,9.3,-17,1.0
3,2015-10-31,25-108,POR,,PHO,L (-11),1,36:16,8,17,.471,3,8,.375,4,6,.667,0,4,4,8,2,0,5,5,23,15.3,-8,1.0
4,2015-11-02,25-110,POR,@,MIN,W (+5),1,37:57,14,25,.560,4,9,.444,2,3,.667,1,1,2,7,2,1,2,4,34,26.7,+1,1.0
5,2015-11-04,25-112,POR,@,UTA,W (+16),1,40:07,14,27,.519,5,11,.455,2,2,1.000,0,4,4,3,1,0,6,3,35,18.8,+10,1.0
6,2015-11-05,25-113,POR,,MEM,W (+19),1,32:35,9,18,.500,7,11,.636,2,2,1.000,1,0,1,5,0,1,0,0,27,22.9,+24,1.0
7,2015-11-08,25-116,POR,,DET,L (-17),1,35:22,8,15,.533,4,9,.444,6,7,.857,0,4,4,11,1,0,5,3,26,22.0,-15,1.0
8,2015-11-09,25-117,POR,@,DEN,L (-4),1,38:24,9,22,.409,3,7,.429,9,9,1.000,3,0,3,7,1,0,1,4,30,23.6,+3,1.0
9,2015-11-11,25-119,POR,,SAS,L (-12),1,36:56,7,19,.368,5,8,.625,3,7,.429,1,5,6,9,1,0,3,3,22,15.2,-4,1.0
10,2015-11-13,25-121,POR,@,MEM,L (-1),1,38:08,5,15,.333,0,5,.000,1,2,.500,0,3,3,7,2,0,2,2,11,7.1,+5,1.0
11,2015-11-15,25-123,POR,@,CHO,L (-12),1,36:34,9,25,.360,1,9,.111,4,5,.800,2,6,8,5,1,0,5,0,23,11.4,-12,1.0
12,2015-11-16,25-124,POR,@,SAS,L (-13),1,41:58,10,21,.476,1,4,.250,6,6,1.000,1,6,7,6,1,1,3,4,27,20.1,-10,1.0
