G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-066,CHO,@,MIA,L (-10),0,27:01,5,10,.500,2,3,.667,5,6,.833,0,1,1,2,0,0,2,3,17,10.1,-2,1.0
2,2015-10-30,27-068,CHO,@,ATL,L (-3),0,27:07,2,8,.250,2,4,.500,6,6,1.000,2,2,4,4,1,0,3,2,12,9.2,+3,1.0
3,2015-11-01,27-070,CHO,,ATL,L (-2),0,21:28,2,9,.222,1,6,.167,2,2,1.000,1,1,2,5,1,2,1,2,7,6.6,-2,1.0
4,2015-11-03,27-072,CHO,,CHI,W (+25),0,18:47,4,8,.500,2,2,1.000,5,5,1.000,1,4,5,4,0,1,1,1,15,15.0,+21,1.0
5,2015-11-05,27-074,CHO,@,DAL,W (+14),0,17:07,3,8,.375,0,3,.000,1,1,1.000,0,1,1,2,2,1,4,2,7,2.2,+7,1.0
6,2015-11-07,27-076,CHO,@,SAS,L (-20),0,21:59,4,10,.400,1,4,.250,3,6,.500,0,3,3,2,0,0,2,2,12,4.9,-37,1.0
7,2015-11-10,27-079,CHO,@,MIN,W (+9),0,25:56,6,11,.545,1,5,.200,6,8,.750,0,1,1,3,0,0,0,1,19,14.9,+18,1.0
8,2015-11-11,27-080,CHO,,NYK,W (+2),0,21:08,7,11,.636,1,1,1.000,2,2,1.000,0,2,2,3,3,0,2,2,17,15.0,+11,1.0
9,2015-11-13,27-082,CHO,@,CHI,L (-5),0,16:33,2,7,.286,0,1,.000,0,0,,0,1,1,1,2,0,0,2,4,2.1,-15,1.0
10,2015-11-15,27-084,CHO,,POR,W (+12),0,20:14,2,9,.222,1,4,.250,0,0,,0,0,0,3,1,1,1,1,5,1.9,+6,1.0
11,2015-11-17,27-086,CHO,@,NYK,L (-8),0,28:25,4,9,.444,0,2,.000,5,6,.833,1,4,5,3,0,0,2,2,13,9.1,+3,1.0
12,2015-11-18,27-087,CHO,,BRK,W (+5),0,28:52,5,13,.385,0,4,.000,3,4,.750,1,8,9,4,1,0,4,3,13,7.2,+8,1.0
13,2015-11-20,27-089,CHO,,PHI,W (+25),1,29:17,3,8,.375,1,3,.333,2,2,1.000,0,3,3,2,0,1,0,1,9,7.2,+6,1.0
14,2015-11-23,27-092,CHO,,SAC,W (+5),0,30:41,5,12,.417,1,3,.333,3,5,.600,1,2,3,3,2,1,4,1,14,8.5,+18,1.0
15,2015-11-25,27-094,CHO,,WAS,W (+14),0,15:16,2,4,.500,0,1,.000,1,1,1.000,0,0,0,0,0,2,3,4,5,-0.2,+8,1.0
16,2015-11-27,27-096,CHO,,CLE,L (-5),0,19:53,3,6,.500,1,2,.500,0,0,,0,4,4,4,0,0,2,2,7,5.2,0,1.0
17,2015-11-29,27-098,CHO,,MIL,W (+5),0,22:21,1,4,.250,1,1,1.000,4,4,1.000,0,3,3,4,0,0,0,3,7,7.1,+10,1.0
18,2015-12-02,27-101,CHO,,GSW,L (-17),0,13:24,1,2,.500,1,2,.500,2,4,.500,0,0,0,3,1,1,1,2,5,5.2,-11,1.0
19,2015-12-05,27-104,CHO,@,CHI,W (+6),0,26:40,3,9,.333,0,3,.000,3,4,.750,2,3,5,3,3,0,0,3,9,9.7,+6,1.0
20,2015-12-07,27-106,CHO,,DET,W (+20),0,26:14,5,10,.500,1,3,.333,2,4,.500,0,3,3,4,2,0,1,2,13,11.1,+6,1.0
