G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-046,GSW,,NOP,W (+16),0,21:20,3,6,.500,0,2,.000,0,0,,0,3,3,2,0,1,0,1,6,5.6,+12,1.0
2,2015-10-30,30-049,GSW,@,HOU,W (+20),0,19:59,0,3,.000,0,0,,4,5,.800,0,1,1,0,0,0,0,0,4,1.8,+11,1.0
3,2015-10-31,30-050,GSW,@,NOP,W (+14),0,21:50,0,3,.000,0,0,,2,2,1.000,0,1,1,3,2,0,2,2,2,1.5,+4,1.0
4,2015-11-02,30-052,GSW,,MEM,W (+50),0,10:19,2,2,1.000,0,0,,0,0,,0,2,2,2,0,1,0,0,4,6.1,+4,1.0
5,2015-11-04,30-054,GSW,,LAC,W (+4),0,17:19,2,5,.400,0,0,,0,0,,1,2,3,3,0,0,2,4,4,1.1,-9,1.0
6,2015-11-06,30-056,GSW,,DEN,W (+15),0,18:34,1,2,.500,0,0,,0,0,,2,2,4,2,0,1,3,2,2,1.3,+6,1.0
7,2015-11-07,30-057,GSW,@,SAC,W (+9),0,18:02,3,5,.600,0,1,.000,0,0,,0,1,1,3,1,0,1,2,6,5.3,+10,1.0
8,2015-11-09,30-059,GSW,,DET,W (+14),0,19:21,2,4,.500,0,0,,0,0,,1,1,2,2,1,0,1,2,4,3.6,+1,1.0
9,2015-11-11,30-061,GSW,@,MEM,W (+16),0,22:45,3,3,1.000,0,0,,0,0,,0,0,0,2,1,0,0,1,6,7.1,+14,1.0
10,2015-11-12,30-062,GSW,@,MIN,W (+13),0,22:23,3,5,.600,0,0,,2,2,1.000,1,0,1,3,0,0,0,4,8,6.9,-12,1.0
11,2015-11-14,30-064,GSW,,BRK,W (+8),0,29:57,3,8,.375,0,0,,0,0,,1,0,1,2,0,0,0,5,6,1.7,+17,1.0
12,2015-11-20,30-070,GSW,,CHI,W (+12),0,12:27,3,3,1.000,0,0,,0,0,,0,3,3,1,0,0,1,1,6,5.3,+5,1.0
13,2015-11-22,30-072,GSW,@,DEN,W (+13),0,21:50,2,7,.286,0,1,.000,0,0,,0,3,3,3,2,0,2,1,4,2.5,+1,1.0
14,2015-11-24,30-074,GSW,,LAL,W (+34),0,15:11,3,4,.750,0,0,,0,0,,1,0,1,3,0,0,1,2,6,5.4,+9,1.0
15,2015-11-27,30-077,GSW,@,PHO,W (+19),0,20:36,0,2,.000,0,0,,4,4,1.000,0,2,2,3,0,0,0,2,4,4.5,-1,1.0
16,2015-11-28,30-078,GSW,,SAC,W (+19),0,17:00,3,5,.600,0,0,,1,1,1.000,1,1,2,3,0,0,0,0,7,7.8,+11,1.0
17,2015-11-30,30-080,GSW,@,UTA,W (+3),0,19:19,3,7,.429,1,1,1.000,2,2,1.000,0,3,3,0,0,0,2,1,9,3.8,+1,1.0
18,2015-12-02,30-082,GSW,@,CHO,W (+17),0,24:58,3,5,.600,0,1,.000,0,0,,0,3,3,7,0,0,0,3,6,8.3,+4,1.0
19,2015-12-05,30-085,GSW,@,TOR,W (+3),0,26:25,2,4,.500,0,0,,0,0,,2,0,2,1,0,1,1,2,4,3.0,-11,1.0
20,2015-12-06,30-086,GSW,@,BRK,W (+16),0,19:52,2,6,.333,0,1,.000,0,0,,2,0,2,4,1,0,1,1,4,4.4,+10,1.0
21,2015-12-08,30-088,GSW,@,IND,W (+8),0,22:24,3,3,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,2,8,6.9,-27,1.0
22,2015-12-11,30-091,GSW,@,BOS,W (+5),0,34:46,5,9,.556,0,1,.000,2,2,1.000,3,0,3,3,0,2,1,2,12,11.5,-3,1.0
23,2015-12-12,30-092,GSW,@,MIL,L (-13),0,24:25,2,6,.333,0,0,,0,0,,1,0,1,2,2,0,0,0,4,4.7,-5,1.0
24,2015-12-16,30-096,GSW,,PHO,W (+25),0,17:22,0,3,.000,0,1,.000,2,2,1.000,0,2,2,4,1,1,1,0,2,4.0,+5,1.0
25,2015-12-18,30-098,GSW,,MIL,W (+9),0,16:27,2,6,.333,0,1,.000,0,0,,0,2,2,5,0,0,0,1,4,4.3,-13,1.0
26,2015-12-23,30-103,GSW,,UTA,W (+18),0,18:16,4,8,.500,0,0,,1,1,1.000,0,1,1,4,0,1,0,2,9,8.0,+8,1.0
27,2015-12-25,30-105,GSW,,CLE,W (+6),0,22:02,8,9,.889,0,0,,0,0,,1,2,3,2,1,0,4,5,16,10.6,+6,1.0
28,2015-12-28,30-108,GSW,,SAC,W (+19),0,26:05,4,9,.444,0,1,.000,0,0,,2,2,4,3,2,0,1,1,8,8.0,-3,1.0
29,2015-12-30,30-110,GSW,@,DAL,L (-23),1,20:40,3,7,.429,0,0,,2,2,1.000,1,0,1,4,0,0,0,2,8,7.0,-14,1.0
