G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,27-050,CLE,@,CHI,L (-2),1,34:49,6,17,.353,3,7,.429,3,3,1.000,4,4,8,4,0,2,2,0,18,14.7,+1,4.0
2,2015-10-28,27-051,CLE,@,MEM,W (+30),1,28:51,7,14,.500,2,7,.286,1,1,1.000,2,11,13,3,0,0,3,2,17,13.0,+18,4.0
3,2015-10-30,27-053,CLE,,MIA,W (+10),1,33:07,6,15,.400,3,7,.429,9,9,1.000,6,8,14,5,0,1,0,2,24,25.9,+3,4.0
4,2015-11-02,27-056,CLE,@,PHI,W (+7),1,28:34,7,14,.500,0,4,.000,1,1,1.000,1,7,8,2,0,0,2,2,15,9.4,+24,4.0
5,2015-11-04,27-058,CLE,,NYK,W (+10),1,32:21,4,13,.308,2,6,.333,1,2,.500,2,10,12,1,0,0,1,0,11,7.2,+10,4.0
6,2015-11-06,27-060,CLE,,PHI,W (+6),1,33:47,5,16,.313,2,10,.200,0,0,,5,9,14,2,2,0,5,2,12,6.6,+14,4.0
7,2015-11-08,27-062,CLE,,IND,W (+4),1,39:03,9,18,.500,2,6,.333,2,2,1.000,4,15,19,2,0,3,2,3,22,20.6,+14,4.0
8,2015-11-10,27-064,CLE,,UTA,W (+4),1,39:58,6,16,.375,4,10,.400,6,6,1.000,2,6,8,3,2,0,2,2,22,17.7,+3,4.0
9,2015-11-13,27-067,CLE,@,NYK,W (+6),1,34:11,2,10,.200,1,5,.200,2,4,.500,6,5,11,2,1,0,3,3,7,3.9,+5,4.0
10,2015-11-14,27-068,CLE,@,MIL,L (-3),1,44:00,8,18,.444,4,9,.444,4,6,.667,2,12,14,2,1,0,2,2,24,18.4,-5,4.0
11,2015-11-17,27-071,CLE,@,DET,L (-5),1,33:48,7,13,.538,1,4,.250,4,4,1.000,0,9,9,3,1,0,4,4,19,12.9,0,4.0
12,2015-11-19,27-073,CLE,,MIL,W (+15),1,34:23,7,15,.467,3,5,.600,5,5,1.000,5,10,15,1,1,1,4,3,22,18.0,+15,4.0
13,2015-11-21,27-075,CLE,,ATL,W (+12),1,31:10,9,15,.600,2,7,.286,5,6,.833,2,9,11,2,1,1,3,4,25,20.3,+11,4.0
14,2015-11-23,27-077,CLE,,ORL,W (+14),1,33:57,11,18,.611,6,9,.667,6,7,.857,0,8,8,4,0,1,2,1,34,28.9,+25,4.0
