G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-12-11,24-114,PHI,,DET,L (-12),1,16:22,2,4,.500,1,1,1.000,0,0,,0,1,1,6,0,0,1,0,5,6.5,-8,1.0
2,2015-12-13,24-116,PHI,@,TOR,L (-20),0,20:07,1,3,.333,0,1,.000,0,0,,1,2,3,5,1,0,3,0,2,3.1,-1,1.0
3,2015-12-16,24-119,PHI,@,ATL,L (-21),1,15:22,3,6,.500,1,3,.333,0,0,,0,0,0,4,0,0,4,0,7,2.8,-6,1.0
4,2015-12-18,24-121,PHI,,NYK,L (-10),1,15:44,1,4,.250,0,2,.000,0,0,,0,1,1,3,2,0,2,1,2,1.6,-13,1.0
5,2015-12-20,24-123,PHI,@,CLE,L (-22),1,17:59,3,7,.429,0,2,.000,2,2,1.000,0,2,2,4,0,0,3,1,8,4.3,-18,1.0
6,2015-12-23,24-126,PHI,@,MIL,L (-13),1,24:08,2,4,.500,1,1,1.000,0,2,.000,0,0,0,7,0,0,6,2,5,0.3,-5,1.0
7,2015-12-26,24-129,PHI,@,PHO,W (+7),0,14:34,1,7,.143,1,4,.250,2,2,1.000,0,3,3,3,0,0,1,2,5,1.7,+18,1.0
8,2015-12-28,24-131,PHI,@,UTA,L (-4),0,4:07,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,-7,1.0
9,2016-01-02,24-136,PHI,@,LAC,L (-31),0,17:12,1,7,.143,1,5,.200,0,0,,0,0,0,3,0,0,2,0,3,-1.4,-8,1.0
10,2016-01-07,24-141,PHI,,ATL,L (-28),0,11:24,0,3,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-0.7,-3,1.0
11,2016-01-16,24-150,PHI,,POR,W (+25),0,7:45,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,2,0,5,2.3,-4,1.0
12,2016-01-24,24-158,PHI,,BOS,L (-20),0,7:44,1,3,.333,0,1,.000,0,0,,0,1,1,2,3,0,0,1,2,4.6,+3,1.0
13,2016-02-03,24-168,PHI,,ATL,L (-38),0,7:45,0,3,.000,0,2,.000,0,0,,0,0,0,3,0,0,1,1,0,-1.4,-7,1.0
14,2016-02-06,24-171,PHI,,BRK,W (+5),0,19:52,2,5,.400,0,0,,0,0,,0,0,0,3,1,0,5,3,4,-1.8,-1,1.0
15,2016-02-19,24-184,PHI,@,NOP,L (-7),0,10:49,3,3,1.000,2,2,1.000,1,2,.500,0,0,0,3,1,0,0,2,9,10.0,+3,1.0
16,2016-02-21,24-186,PHI,@,DAL,L (-26),0,6:17,1,2,.500,1,1,1.000,0,0,,0,1,1,2,1,0,1,2,3,2.9,-1,1.0
17,2016-02-23,24-188,PHI,,ORL,L (-9),0,4:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,1.0
18,2016-02-24,24-189,PHI,@,DET,L (-20),0,21:45,4,8,.500,1,3,.333,3,4,.750,0,1,1,4,0,0,2,2,12,7.9,-1,1.0
19,2016-03-12,24-206,PHI,,DET,L (-14),0,14:13,3,5,.600,1,3,.333,0,0,,0,1,1,3,0,0,0,1,7,6.7,+5,1.0
20,2016-03-15,24-209,PHI,@,BRK,L (-17),0,19:19,2,3,.667,0,0,,0,0,,0,1,1,2,0,1,2,3,4,1.9,-9,1.0
21,2016-03-17,24-211,PHI,,WAS,L (-5),0,9:22,1,4,.250,0,1,.000,1,1,1.000,0,1,1,1,4,0,1,2,3,3.8,+10,1.0
22,2016-03-20,24-214,PHI,,BOS,L (-15),0,10:37,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,-5,1.0
23,2016-03-26,24-220,PHI,@,POR,L (-3),0,9:16,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,1,0,0,-1.0,+4,1.0
24,2016-03-27,24-221,PHI,@,GSW,L (-12),0,9:04,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,-12,1.0
25,2016-03-29,24-223,PHI,,CHO,L (-15),0,11:51,1,2,.500,0,1,.000,0,0,,0,2,2,2,1,1,1,1,2,3.3,+2,1.0
26,2016-04-01,24-226,PHI,@,CHO,L (-9),0,8:05,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+2,1.0
27,2016-04-02,24-227,PHI,,IND,L (-13),0,5:46,1,4,.250,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,0.2,-14,1.0
28,2016-04-08,24-233,PHI,,NYK,L (-7),0,7:52,1,3,.333,0,2,.000,0,0,,0,0,0,0,1,0,0,2,2,0.5,-18,1.0
29,2016-04-12,24-237,PHI,@,TOR,L (-24),0,14:24,1,5,.200,1,3,.333,0,0,,0,4,4,3,0,0,1,0,3,2.2,-15,1.0
30,2016-04-13,24-238,PHI,@,CHI,L (-10),1,36:41,4,8,.500,3,4,.750,0,0,,1,2,3,5,1,0,1,2,11,11.0,-1,1.0
