G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-014,DAL,@,PHO,W (+16),1,26:06,3,7,.429,2,4,.500,1,2,.500,0,3,3,1,1,0,0,2,9,6.7,+21,2.0
2,2015-11-01,29-018,DAL,@,LAL,W (+10),1,26:15,3,10,.300,3,8,.375,1,2,.500,1,1,2,1,0,0,0,1,10,5.1,+9,2.0
3,2015-11-03,29-020,DAL,,TOR,L (-11),1,27:36,3,7,.429,1,3,.333,1,2,.500,1,2,3,3,0,0,2,5,8,3.3,-13,2.0
4,2015-11-05,29-022,DAL,,CHO,L (-14),1,26:23,2,9,.222,2,7,.286,5,6,.833,0,1,1,0,1,0,1,1,11,5.0,-6,2.0
5,2015-11-07,29-024,DAL,,NOP,W (+9),1,29:26,4,10,.400,2,5,.400,3,3,1.000,0,2,2,2,0,0,0,2,13,8.8,+14,2.0
6,2015-11-10,29-027,DAL,@,NOP,L (-15),1,15:18,0,5,.000,0,1,.000,0,0,,0,1,1,1,0,0,2,1,0,-4.9,-15,2.0
7,2015-11-11,29-028,DAL,,LAC,W (+10),1,32:48,9,13,.692,3,4,.750,4,4,1.000,0,6,6,3,1,0,1,3,25,22.2,+16,2.0
8,2015-11-13,29-030,DAL,,LAL,W (+8),1,30:17,2,11,.182,2,6,.333,2,2,1.000,0,2,2,1,2,0,2,2,8,1.6,-4,2.0
9,2015-11-16,29-033,DAL,@,PHI,W (+6),1,29:03,2,10,.200,1,6,.167,2,2,1.000,1,1,2,1,2,0,2,4,7,0.9,+9,2.0
10,2015-11-18,29-035,DAL,@,BOS,W (+4),1,32:31,4,12,.333,3,9,.333,7,7,1.000,0,2,2,3,1,0,2,1,18,12.5,+11,2.0
11,2015-11-20,29-037,DAL,,UTA,W (+9),1,32:07,3,12,.250,0,8,.000,1,1,1.000,0,1,1,1,0,1,0,2,7,0.7,0,2.0
12,2015-11-22,29-039,DAL,@,OKC,L (-3),1,31:55,7,15,.467,4,10,.400,0,0,,1,2,3,1,1,0,1,1,18,11.9,-1,2.0
13,2015-11-24,29-041,DAL,@,MEM,L (-14),1,32:36,3,8,.375,3,7,.429,2,2,1.000,0,4,4,4,0,0,0,4,11,9.0,0,2.0
14,2015-11-25,29-042,DAL,@,SAS,L (-5),1,36:04,6,16,.375,3,10,.300,0,0,,1,3,4,1,1,0,3,3,15,5.3,-12,2.0
15,2015-11-28,29-045,DAL,,DEN,W (+11),1,27:58,3,11,.273,1,7,.143,0,0,,1,0,1,4,1,0,0,3,7,3.8,+12,2.0
16,2015-11-30,29-047,DAL,@,SAC,L (-14),1,36:01,4,11,.364,2,8,.250,0,0,,1,4,5,2,1,0,2,4,10,4.6,-17,2.0
17,2015-12-01,29-048,DAL,@,POR,W (+3),1,40:26,5,11,.455,3,6,.500,5,6,.833,2,3,5,1,2,0,1,1,18,15.5,+20,2.0
18,2015-12-04,29-051,DAL,,HOU,L (-4),1,34:06,1,9,.111,1,8,.125,2,4,.500,1,4,5,1,2,1,0,2,5,2.8,-5,2.0
19,2015-12-06,29-053,DAL,@,WAS,W (+12),1,41:07,12,23,.522,10,17,.588,2,2,1.000,0,6,6,5,1,1,1,2,36,29.9,+21,2.0
20,2015-12-07,29-054,DAL,@,NYK,W (+7),1,34:06,3,10,.300,2,8,.250,2,2,1.000,1,4,5,4,3,0,2,3,10,8.7,+5,2.0
21,2015-12-09,29-056,DAL,,ATL,L (-3),1,35:38,6,17,.353,2,6,.333,3,3,1.000,1,3,4,1,1,2,0,4,17,10.6,+4,2.0
22,2015-12-12,29-059,DAL,,WAS,L (-3),1,35:01,10,17,.588,6,11,.545,2,2,1.000,0,1,1,0,3,0,4,1,28,19.0,+8,2.0
23,2015-12-14,29-061,DAL,,PHO,W (+10),1,31:59,5,13,.385,3,9,.333,0,0,,0,5,5,1,0,0,1,3,13,5.9,+10,2.0
24,2015-12-16,29-063,DAL,@,IND,L (-26),1,29:12,2,10,.200,0,4,.000,0,0,,0,4,4,1,1,1,0,3,4,0.2,-7,2.0
25,2015-12-18,29-065,DAL,,MEM,W (+9),1,29:08,0,4,.000,0,3,.000,2,2,1.000,0,1,1,3,2,0,1,0,2,2.6,+4,2.0
26,2015-12-22,29-069,DAL,@,TOR,L (-4),1,27:08,6,11,.545,3,5,.600,0,0,,0,1,1,1,0,0,0,3,15,9.5,-9,2.0
27,2015-12-23,29-070,DAL,@,BRK,W (+1),1,45:19,6,13,.462,5,10,.500,0,0,,0,2,2,0,0,2,4,1,17,7.9,-5,2.0
28,2015-12-26,29-073,DAL,,CHI,W (+7),1,35:46,4,11,.364,2,8,.250,0,0,,1,3,4,2,1,0,1,2,10,6.1,+10,2.0
29,2015-12-28,29-075,DAL,,MIL,W (+10),1,32:25,6,10,.600,5,7,.714,5,6,.833,0,4,4,2,0,0,1,2,22,17.8,+22,2.0
30,2015-12-30,29-077,DAL,,GSW,W (+23),1,25:35,5,9,.556,3,4,.750,0,0,,0,3,3,0,2,0,0,0,13,11.6,+11,2.0
31,2016-01-01,29-079,DAL,@,MIA,L (-24),1,31:23,4,9,.444,4,7,.571,0,0,,0,4,4,1,0,0,0,1,12,8.8,-14,2.0
32,2016-01-02,29-080,DAL,,NOP,L (-7),1,35:18,7,13,.538,4,10,.400,0,0,,0,1,1,0,1,0,0,3,18,11.8,+2,2.0
33,2016-01-05,29-083,DAL,,SAC,W (+1),1,42:36,7,13,.538,2,4,.500,4,5,.800,0,3,3,4,2,0,0,0,20,19.0,0,2.0
34,2016-01-08,29-086,DAL,@,MIL,L (-1),1,38:37,4,12,.333,3,9,.333,1,2,.500,1,1,2,3,2,1,2,3,12,7.4,+1,2.0
35,2016-01-10,29-088,DAL,@,MIN,W (+6),1,33:05,1,8,.125,1,5,.200,2,2,1.000,1,4,5,1,2,0,2,4,5,0.8,-7,2.0
36,2016-01-12,29-090,DAL,,CLE,L (-3),1,42:04,3,11,.273,3,8,.375,2,2,1.000,1,6,7,2,0,0,0,3,11,7.2,+6,2.0
37,2016-01-15,29-093,DAL,@,CHI,W (+6),1,36:58,4,10,.400,0,5,.000,0,0,,0,6,6,1,0,2,2,1,8,4.1,-1,2.0
38,2016-01-17,29-095,DAL,@,SAS,L (-29),1,26:18,5,9,.556,1,4,.250,1,2,.500,0,1,1,1,0,0,1,3,12,6.1,-17,2.0
39,2016-01-18,29-096,DAL,,BOS,W (+5),1,41:27,5,12,.417,3,8,.375,2,2,1.000,1,1,2,2,0,0,2,2,15,8.2,+16,2.0
40,2016-01-20,29-098,DAL,,MIN,W (+12),1,40:10,6,16,.375,2,8,.250,1,1,1.000,0,6,6,4,2,0,1,3,15,10.6,+19,2.0
41,2016-01-22,29-100,DAL,,OKC,L (-3),1,35:20,5,14,.357,1,7,.143,2,2,1.000,1,2,3,1,5,1,0,1,13,12.5,+6,2.0
42,2016-01-24,29-102,DAL,@,HOU,L (-11),1,33:39,5,11,.455,4,7,.571,1,2,.500,0,1,1,1,1,0,1,3,15,8.7,-16,2.0
43,2016-01-26,29-104,DAL,@,LAL,W (+2),1,32:59,3,8,.375,1,5,.200,2,2,1.000,0,0,0,5,0,0,1,0,9,7.1,-2,2.0
44,2016-01-27,29-105,DAL,@,GSW,L (-20),1,33:17,4,12,.333,1,5,.200,0,0,,0,0,0,3,2,0,1,3,9,4.1,-18,2.0
45,2016-01-29,29-107,DAL,,BRK,W (+12),1,34:23,1,4,.250,0,2,.000,0,0,,1,4,5,3,0,0,0,1,2,3.2,+7,2.0
46,2016-01-31,29-109,DAL,,PHO,W (+13),1,34:21,2,12,.167,1,8,.125,2,2,1.000,1,3,4,1,1,0,0,3,7,1.5,+4,2.0
47,2016-02-01,29-110,DAL,@,ATL,L (-15),1,34:55,4,14,.286,3,9,.333,0,0,,0,1,1,3,0,0,1,2,11,3.4,-14,2.0
48,2016-02-03,29-112,DAL,,MIA,L (-3),1,37:15,4,10,.400,1,5,.200,0,0,,1,2,3,2,2,0,0,2,9,7.5,-6,2.0
49,2016-02-05,29-114,DAL,,SAS,L (-26),1,23:06,2,5,.400,0,0,,0,0,,0,1,1,2,0,1,1,2,4,1.9,-22,2.0
50,2016-02-06,29-115,DAL,@,MEM,W (+4),1,30:17,2,5,.400,2,3,.667,2,4,.500,0,0,0,2,0,0,0,1,8,5.5,0,2.0
51,2016-02-09,29-118,DAL,,UTA,L (-2),1,42:05,5,9,.556,2,5,.400,4,4,1.000,1,1,2,3,0,0,1,4,16,12.2,-4,2.0
52,2016-02-19,29-128,DAL,@,ORL,L (-6),1,36:47,2,10,.200,1,7,.143,0,0,,0,3,3,2,0,0,1,2,5,-0.7,-9,2.0
53,2016-02-21,29-130,DAL,,PHI,W (+26),1,27:15,8,12,.667,3,7,.429,2,2,1.000,0,3,3,2,0,0,0,1,21,17.7,+27,2.0
