G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-19,28-014,MIL,@,CLE,L (-15),0,14:09,1,2,.500,1,2,.500,0,0,,0,1,1,1,2,0,0,2,3,4.2,-14,2.0
2,2015-11-21,28-016,MIL,@,IND,L (-37),0,22:23,4,8,.500,2,5,.400,0,0,,0,2,2,1,0,0,2,2,10,4.5,-23,2.0
3,2015-11-23,28-018,MIL,,DET,W (+21),0,19:12,2,3,.667,2,3,.667,0,0,,0,3,3,2,2,0,0,4,6,7.4,+8,2.0
4,2015-11-25,28-020,MIL,,SAC,L (-11),0,29:22,5,15,.333,2,12,.167,0,0,,0,3,3,2,0,0,0,1,12,5.4,-8,2.0
5,2015-11-27,28-022,MIL,@,ORL,L (-24),0,25:19,1,6,.167,0,4,.000,3,3,1.000,1,3,4,4,0,0,2,4,5,2.0,-4,2.0
6,2015-11-29,28-024,MIL,@,CHO,L (-5),1,44:16,5,13,.385,2,8,.250,0,2,.000,1,3,4,5,2,0,1,4,12,8.6,-2,2.0
7,2015-11-30,28-025,MIL,,DEN,W (+18),1,30:57,3,8,.375,2,5,.400,1,1,1.000,0,4,4,1,2,0,2,4,9,4.9,+23,2.0
8,2015-12-02,28-027,MIL,@,SAS,L (-25),1,24:03,1,6,.167,0,1,.000,0,0,,1,5,6,3,1,0,3,2,2,-0.3,-22,2.0
9,2015-12-04,28-029,MIL,@,DET,L (-7),1,33:43,5,13,.385,0,4,.000,3,3,1.000,0,5,5,4,1,0,2,6,13,6.8,-11,2.0
10,2015-12-05,28-030,MIL,,NYK,W (+15),1,35:09,8,12,.667,1,1,1.000,0,0,,0,3,3,5,1,0,1,4,17,14.6,+17,2.0
11,2015-12-07,28-032,MIL,,POR,W (+2),1,36:25,5,13,.385,3,7,.429,2,2,1.000,0,1,1,2,3,0,1,5,15,9.6,+11,2.0
12,2015-12-09,28-034,MIL,,LAC,L (-14),1,36:05,7,15,.467,0,3,.000,0,0,,0,4,4,8,2,0,3,5,14,10.1,-13,2.0
13,2015-12-11,28-036,MIL,@,TOR,L (-7),1,34:39,4,13,.308,1,4,.250,0,0,,1,2,3,4,3,1,3,1,9,5.9,+3,2.0
14,2015-12-12,28-037,MIL,,GSW,W (+13),1,28:33,6,13,.462,4,8,.500,2,2,1.000,0,1,1,1,1,0,2,2,18,10.5,+6,2.0
15,2015-12-15,28-040,MIL,@,LAL,L (-18),1,27:05,3,11,.273,2,5,.400,1,2,.500,0,1,1,2,2,0,3,4,9,1.2,-9,2.0
16,2015-12-16,28-041,MIL,@,LAC,L (-13),1,38:20,7,18,.389,3,9,.333,0,0,,1,3,4,6,3,0,1,5,17,13.0,+1,2.0
17,2015-12-18,28-043,MIL,@,GSW,L (-9),0,21:55,3,11,.273,0,6,.000,6,6,1.000,2,1,3,4,0,0,2,4,12,6.4,-4,2.0
18,2015-12-20,28-045,MIL,@,PHO,W (+6),1,41:02,5,11,.455,1,5,.200,1,4,.250,0,5,5,5,2,1,2,2,12,10.0,+9,2.0
19,2015-12-23,28-048,MIL,,PHI,W (+13),0,22:26,2,7,.286,0,2,.000,0,0,,0,1,1,4,0,0,4,0,4,-1.0,+1,2.0
20,2015-12-26,28-051,MIL,,TOR,L (-21),0,21:56,1,7,.143,0,2,.000,4,4,1.000,0,1,1,4,0,1,2,2,6,2.5,-5,2.0
21,2015-12-28,28-053,MIL,@,DAL,L (-10),0,31:22,5,8,.625,3,5,.600,0,0,,0,4,4,0,1,0,1,2,13,9.8,+3,2.0
22,2015-12-29,28-054,MIL,@,OKC,L (-8),0,25:42,5,12,.417,2,4,.500,2,2,1.000,0,2,2,2,2,0,2,5,14,7.6,+4,2.0
23,2015-12-31,28-056,MIL,@,IND,W (+4),0,22:33,1,5,.200,0,2,.000,5,5,1.000,1,3,4,3,1,0,1,4,7,6.0,+1,2.0
24,2016-01-02,28-058,MIL,@,MIN,W (+10),0,2:47,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-2,2.0
25,2016-01-04,28-060,MIL,,SAS,L (-25),0,24:03,0,4,.000,0,0,,0,0,,0,0,0,1,1,0,2,1,0,-3.5,-25,2.0
26,2016-01-05,28-061,MIL,@,CHI,L (-11),0,20:13,3,9,.333,0,3,.000,0,1,.000,0,1,1,3,0,0,0,1,6,2.5,-4,2.0
27,2016-01-08,28-064,MIL,,DAL,W (+1),0,34:38,4,8,.500,3,5,.600,0,1,.000,2,3,5,6,1,1,3,0,11,11.8,+10,2.0
28,2016-01-12,28-068,MIL,,CHI,W (+5),0,26:00,2,9,.222,1,4,.250,0,0,,0,1,1,4,1,0,0,1,5,3.2,-1,2.0
29,2016-01-13,28-069,MIL,@,WAS,L (-5),0,11:57,1,3,.333,0,0,,0,0,,0,0,0,3,0,0,1,1,2,1.0,-5,2.0
30,2016-02-09,28-096,MIL,,BOS,W (+1),1,18:29,0,2,.000,0,2,.000,0,0,,0,1,1,6,0,0,1,4,0,0.5,-2,2.0
31,2016-02-11,28-098,MIL,,WAS,W (+7),1,19:38,1,4,.250,0,1,.000,0,0,,0,1,1,1,1,1,3,4,2,-2.3,-3,2.0
32,2016-02-19,28-106,MIL,,CHO,L (-3),1,28:45,2,5,.400,2,4,.500,0,0,,2,1,3,2,0,1,3,3,6,2.9,0,2.0
33,2016-02-20,28-107,MIL,@,ATL,W (+8),1,37:59,3,8,.375,2,5,.400,1,2,.500,0,7,7,6,5,0,3,1,9,12.1,+1,2.0
34,2016-02-22,28-109,MIL,,LAL,W (+7),1,24:27,4,7,.571,4,7,.571,0,0,,0,3,3,4,0,0,0,5,12,10.4,+6,2.0
35,2016-02-25,28-112,MIL,@,BOS,L (-5),1,19:56,1,4,.250,1,3,.333,0,0,,0,0,0,2,1,1,2,4,3,0.1,-2,2.0
36,2016-02-27,28-114,MIL,,DET,L (-11),1,25:15,3,5,.600,3,4,.750,0,0,,0,2,2,2,0,0,2,5,9,4.7,-3,2.0
37,2016-02-29,28-116,MIL,,HOU,W (+7),1,12:42,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,3,2,0,-3.9,0,2.0
38,2016-03-02,28-118,MIL,,IND,L (-5),1,33:55,1,4,.250,1,4,.250,0,0,,0,5,5,2,1,0,2,5,3,0.5,-5,2.0
39,2016-03-04,28-120,MIL,,MIN,W (+15),1,32:00,4,8,.500,4,8,.500,0,0,,0,1,1,0,3,0,2,5,12,7.3,+17,2.0
40,2016-03-06,28-122,MIL,,OKC,L (-8),1,24:27,0,3,.000,0,2,.000,0,0,,0,0,0,0,3,0,1,5,0,-2.1,-20,2.0
41,2016-03-07,28-123,MIL,@,CHI,L (-10),1,25:53,1,4,.250,0,2,.000,0,0,,1,3,4,2,0,1,4,3,2,-1.9,+10,2.0
