G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-29,29-050,LAC,,DAL,W (+16),0,6:54,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-8,4.0
2,2015-10-31,29-052,LAC,,SAC,W (+5),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
3,2015-11-02,29-054,LAC,,PHO,W (+6),0,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,4.0
4,2015-11-07,29-059,LAC,,HOU,L (-4),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,4.0
5,2015-11-09,29-061,LAC,,MEM,W (+2),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,4.0
6,2015-11-11,29-063,LAC,@,DAL,L (-10),0,6:30,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0,-0.2,+4,4.0
7,2015-11-12,29-064,LAC,@,PHO,L (-14),0,14:49,3,6,.500,1,1,1.000,2,2,1.000,2,0,2,0,1,0,0,0,9,8.4,+9,4.0
8,2015-11-14,29-066,LAC,,DET,W (+5),0,8:42,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,3,0,-0.6,+12,4.0
9,2015-11-19,29-071,LAC,,GSW,L (-7),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,,4.0
10,2015-11-20,29-072,LAC,@,POR,L (-11),0,10:29,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,1,2,2,1.2,+1,4.0
11,2015-11-22,29-074,LAC,,TOR,L (-11),0,4:10,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,2,2,2.6,-8,4.0
12,2015-11-24,29-076,LAC,@,DEN,W (+17),0,1:57,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,-1,4.0
13,2015-11-25,29-077,LAC,,UTA,L (-11),0,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3,4.0
