G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,22-261,HOU,,DEN,L (-20),0,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,3.0
2,2015-10-30,22-263,HOU,,GSW,L (-20),0,4:30,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,1,0,1,2,0.2,+3,3.0
3,2015-11-06,22-270,HOU,@,SAC,W (+6),0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,3.0
4,2015-11-16,22-280,HOU,,BOS,L (-16),0,9:39,1,3,.333,0,0,,0,2,.000,1,0,1,1,0,1,0,1,2,1.2,+9,3.0
5,2015-11-20,22-284,HOU,@,MEM,L (-12),0,14:34,1,6,.167,1,4,.250,2,2,1.000,1,4,5,0,1,0,3,1,5,0.7,+12,3.0
6,2015-11-29,22-293,HOU,@,NYK,W (+5),0,5:14,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-1.5,-5,3.0
7,2015-11-30,22-294,HOU,@,DET,L (-11),0,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,3.0
8,2015-12-12,22-306,HOU,,LAL,W (+29),0,2:45,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,+7,3.0
9,2015-12-15,22-309,HOU,@,SAC,L (-10),0,1:29,1,2,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.0,+3,3.0
10,2015-12-17,22-311,HOU,@,LAL,W (+20),0,2:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3,3.0
11,2016-01-02,22-327,HOU,@,SAS,L (-18),0,5:18,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,+4,3.0
12,2016-01-15,22-340,HOU,,CLE,L (-14),0,4:03,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,0,1,4,4.3,+4,3.0
