G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,23-297,CHI,,CLE,W (+2),0,16:12,3,4,.750,1,2,.500,1,2,.500,0,4,4,0,0,0,0,0,8,7.2,-2,3.0
2,2015-10-28,23-298,CHI,@,BRK,W (+15),0,20:12,3,7,.429,2,4,.500,0,0,,1,1,2,1,0,0,3,2,8,2.2,-14,3.0
3,2015-10-30,23-300,CHI,@,DET,L (-4),0,14:32,2,4,.500,2,2,1.000,0,0,,0,1,1,2,0,0,2,3,6,2.5,+4,3.0
4,2015-11-01,23-302,CHI,,ORL,W (+5),0,17:57,5,10,.500,2,4,.500,0,0,,1,0,1,0,0,0,1,2,12,5.9,+3,3.0
5,2015-11-03,23-304,CHI,@,CHO,L (-25),0,30:08,6,12,.500,5,8,.625,0,0,,0,4,4,3,1,0,0,2,17,14.5,-17,3.0
6,2015-11-05,23-306,CHI,,OKC,W (+6),1,23:03,3,5,.600,1,3,.333,2,2,1.000,0,1,1,0,0,0,0,1,9,6.6,-14,3.0
7,2015-11-07,23-308,CHI,,MIN,L (-9),1,20:58,4,5,.800,3,4,.750,0,0,,0,2,2,0,0,0,0,2,11,8.9,-19,3.0
8,2015-11-09,23-310,CHI,@,PHI,W (+23),1,28:07,7,15,.467,3,6,.500,1,1,1.000,1,1,2,0,0,0,0,2,18,10.5,+5,3.0
9,2015-11-13,23-314,CHI,,CHO,W (+5),1,16:29,3,6,.500,1,2,.500,1,2,.500,0,2,2,0,0,0,0,1,8,4.8,-3,3.0
10,2015-11-16,23-317,CHI,,IND,W (+1),0,16:52,4,9,.444,1,2,.500,2,2,1.000,0,1,1,0,0,1,0,1,11,6.9,+5,3.0
11,2015-11-18,23-319,CHI,@,PHO,W (+6),0,25:14,4,7,.571,0,2,.000,0,0,,1,4,5,2,0,0,1,1,8,6.6,+7,3.0
12,2015-11-20,23-321,CHI,@,GSW,L (-12),0,18:09,1,5,.200,1,4,.250,0,0,,0,1,1,0,0,0,0,0,3,0.2,-13,3.0
13,2015-11-24,23-325,CHI,@,POR,W (+5),0,25:19,2,6,.333,0,2,.000,0,0,,0,2,2,1,1,0,1,1,4,1.5,+4,3.0
14,2015-11-27,23-328,CHI,@,IND,L (-12),0,6:01,0,4,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-2.1,-5,3.0
15,2015-11-30,23-331,CHI,,SAS,W (+3),0,30:03,5,12,.417,1,2,.500,1,1,1.000,0,3,3,0,0,0,0,2,12,5.7,+10,3.0
16,2015-12-02,23-333,CHI,,DEN,W (+9),0,29:25,5,9,.556,1,3,.333,0,0,,1,2,3,2,0,0,1,1,11,8.0,+14,3.0
17,2015-12-05,23-336,CHI,,CHO,L (-6),0,33:12,5,9,.556,3,5,.600,0,0,,0,1,1,1,0,0,2,1,13,7.3,-1,3.0
18,2015-12-07,23-338,CHI,,PHO,L (-2),0,22:58,4,7,.571,0,2,.000,0,0,,0,0,0,1,0,0,1,2,8,3.6,-11,3.0
19,2015-12-09,23-340,CHI,@,BOS,L (-5),0,26:17,4,11,.364,3,4,.750,0,0,,1,6,7,0,0,0,1,2,11,5.6,0,3.0
20,2015-12-10,23-341,CHI,,LAC,W (+3),0,16:20,0,5,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.9,+14,3.0
21,2015-12-12,23-343,CHI,,NOP,W (+4),0,27:32,5,10,.500,2,6,.333,0,0,,0,2,2,2,0,0,2,0,12,7.0,+6,3.0
22,2015-12-14,23-345,CHI,,PHI,W (+19),0,23:34,6,16,.375,1,4,.250,0,0,,4,4,8,2,0,0,0,1,13,9.2,+5,3.0
23,2015-12-16,23-347,CHI,,MEM,W (+13),0,23:07,6,12,.500,4,8,.500,1,1,1.000,0,1,1,0,0,1,1,2,17,10.2,+10,3.0
24,2015-12-18,23-349,CHI,,DET,L (-3),0,22:19,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,3,2,-0.6,-10,3.0
25,2015-12-19,23-350,CHI,@,NYK,L (-16),0,9:54,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-17,3.0
26,2015-12-21,23-352,CHI,,BRK,L (-3),0,25:21,4,9,.444,3,6,.500,0,0,,1,4,5,2,0,0,2,1,11,7.2,+8,3.0
27,2015-12-25,23-356,CHI,@,OKC,W (+9),0,23:06,2,7,.286,1,4,.250,0,0,,1,2,3,1,1,0,1,0,5,2.9,+3,3.0
28,2015-12-26,23-357,CHI,@,DAL,L (-7),0,18:16,3,4,.750,1,2,.500,0,0,,0,0,0,1,0,1,1,0,7,5.8,+9,3.0
29,2015-12-30,23-361,CHI,,IND,W (+2),0,20:17,2,6,.333,0,1,.000,1,2,.500,1,4,5,2,0,0,1,2,5,2.7,+3,3.0
30,2016-01-01,23-363,CHI,,NYK,W (+27),0,20:29,5,9,.556,3,4,.750,0,0,,0,2,2,1,0,0,0,2,13,9.2,+24,3.0
31,2016-01-03,24-000,CHI,@,TOR,W (+2),0,10:58,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,2,0,-4.6,-7,3.0
32,2016-01-05,24-002,CHI,,MIL,W (+11),0,10:44,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,0,3.0
33,2016-01-07,24-004,CHI,,BOS,W (+9),0,20:11,3,8,.375,3,4,.750,0,0,,0,1,1,0,1,0,0,1,9,5.5,+5,3.0
34,2016-01-09,24-006,CHI,@,ATL,L (-15),0,24:23,3,5,.600,0,1,.000,0,0,,0,4,4,0,0,0,1,2,6,3.1,-11,3.0
35,2016-01-11,24-008,CHI,,WAS,L (-14),0,19:56,2,4,.500,2,4,.500,3,3,1.000,0,2,2,0,0,1,2,2,9,5.5,-15,3.0
36,2016-01-12,24-009,CHI,@,MIL,L (-5),0,5:45,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,+2,3.0
37,2016-01-14,24-011,CHI,@,PHI,W (+4),0,33:00,7,12,.583,1,2,.500,2,2,1.000,1,2,3,0,1,0,0,2,17,12.9,+19,3.0
38,2016-01-15,24-012,CHI,,DAL,L (-6),0,20:41,0,4,.000,0,1,.000,0,0,,1,3,4,0,0,0,0,0,0,-1.2,+3,3.0
39,2016-01-18,24-015,CHI,@,DET,W (+10),0,24:54,4,6,.667,3,4,.750,0,0,,0,2,2,0,1,0,1,2,11,8.2,+16,3.0
40,2016-01-20,24-017,CHI,,GSW,L (-31),0,32:36,1,6,.167,0,1,.000,1,1,1.000,3,1,4,2,0,0,1,2,3,1.2,-28,3.0
41,2016-01-22,24-019,CHI,@,BOS,L (-9),0,23:10,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,0,2,4,0,-2.7,+13,3.0
42,2016-01-23,24-020,CHI,@,CLE,W (+13),0,24:04,1,2,.500,1,2,.500,0,0,,0,4,4,3,0,0,1,4,3,2.7,+5,3.0
43,2016-01-25,24-022,CHI,,MIA,L (-5),0,30:05,3,10,.300,1,4,.250,0,0,,1,2,3,1,0,0,2,2,7,0.4,-6,3.0
44,2016-01-28,24-025,CHI,@,LAL,W (+23),0,24:26,6,15,.400,3,6,.500,0,0,,0,2,2,1,0,0,1,4,15,5.6,+5,3.0
45,2016-01-31,24-028,CHI,@,LAC,L (-27),0,20:51,2,7,.286,2,4,.500,0,0,,0,1,1,0,0,0,1,1,6,0.8,-19,3.0
46,2016-02-01,24-029,CHI,@,UTA,L (-9),0,19:05,3,6,.500,1,3,.333,0,0,,0,2,2,0,0,0,2,2,7,1.8,+2,3.0
47,2016-02-03,24-031,CHI,@,SAC,W (+5),0,24:58,4,10,.400,2,6,.333,1,2,.500,0,2,2,0,0,0,0,1,11,5.4,0,3.0
48,2016-02-05,24-033,CHI,@,DEN,L (-5),0,25:24,6,11,.545,3,4,.750,0,0,,1,1,2,0,0,0,1,3,15,8.5,-2,3.0
49,2016-02-06,24-034,CHI,@,MIN,L (-7),0,26:12,3,8,.375,0,3,.000,2,2,1.000,0,3,3,0,0,0,0,1,8,4.1,0,3.0
50,2016-02-08,24-036,CHI,@,CHO,L (-17),0,31:52,6,11,.545,1,3,.333,1,1,1.000,0,3,3,0,0,0,0,3,14,8.4,-14,3.0
51,2016-02-10,24-038,CHI,,ATL,L (-23),0,36:52,6,12,.500,2,5,.400,3,3,1.000,0,3,3,1,1,0,3,1,17,10.2,-29,3.0
52,2016-02-18,24-046,CHI,@,CLE,L (-11),0,23:50,1,6,.167,1,5,.200,0,0,,0,1,1,0,1,1,1,3,3,-1.0,-1,3.0
53,2016-02-19,24-047,CHI,,TOR,W (+10),0,30:32,13,17,.765,4,5,.800,0,0,,2,2,4,1,0,0,0,3,30,24.8,+15,3.0
54,2016-02-21,24-049,CHI,,LAL,W (+11),0,21:15,6,9,.667,3,4,.750,1,1,1.000,0,0,0,0,0,0,0,1,16,11.7,-5,3.0
55,2016-02-24,24-052,CHI,,WAS,W (+5),0,28:38,6,11,.545,0,2,.000,2,2,1.000,0,5,5,2,0,0,1,3,14,9.4,0,3.0
56,2016-02-26,24-054,CHI,@,ATL,L (-15),0,30:34,6,13,.462,1,4,.250,7,7,1.000,3,2,5,0,0,0,0,1,20,15.6,-1,3.0
57,2016-02-27,24-055,CHI,,POR,L (-8),0,32:04,6,14,.429,2,5,.400,4,5,.800,0,1,1,1,1,0,0,2,18,11.4,-7,3.0
58,2016-03-01,24-058,CHI,@,MIA,L (-18),0,26:24,5,12,.417,0,2,.000,1,1,1.000,1,0,1,1,1,0,1,0,11,6.0,-7,3.0
59,2016-03-02,24-059,CHI,@,ORL,L (-13),0,32:45,5,15,.333,1,5,.200,0,2,.000,2,2,4,0,0,0,0,2,11,2.9,+1,3.0
60,2016-03-05,24-062,CHI,,HOU,W (+8),0,21:48,3,9,.333,1,3,.333,0,0,,1,3,4,0,0,0,2,2,7,0.7,-18,3.0
61,2016-03-07,24-064,CHI,,MIL,W (+10),0,13:02,2,6,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,2,4,0.7,-4,3.0
62,2016-03-10,24-067,CHI,@,SAS,L (-8),0,21:56,1,4,.250,0,1,.000,2,2,1.000,0,2,2,2,0,0,0,1,4,3.2,-2,3.0
63,2016-03-11,24-068,CHI,,MIA,L (-22),0,22:58,4,9,.444,2,4,.500,0,0,,0,2,2,1,1,0,1,1,10,6.2,-19,3.0
64,2016-03-14,24-071,CHI,@,TOR,W (+2),0,36:30,9,11,.818,4,5,.800,7,8,.875,0,1,1,1,0,1,0,1,29,25.8,+5,3.0
65,2016-03-16,24-073,CHI,@,WAS,L (-21),0,30:31,6,10,.600,3,6,.500,5,5,1.000,0,1,1,2,1,0,0,2,20,17.3,-9,3.0
66,2016-03-17,24-074,CHI,,BRK,W (+16),0,28:30,8,16,.500,5,8,.625,4,4,1.000,0,3,3,1,0,0,0,1,25,18.2,+24,3.0
67,2016-03-19,24-076,CHI,,UTA,W (+7),0,22:28,3,9,.333,1,2,.500,0,0,,1,4,5,2,0,0,0,1,7,4.8,0,3.0
68,2016-03-21,24-078,CHI,,SAC,W (+7),0,21:15,6,11,.545,4,7,.571,0,0,,0,1,1,1,0,0,1,3,16,9.5,-9,3.0
69,2016-03-23,24-080,CHI,,NYK,L (-8),0,19:46,2,5,.400,1,4,.250,2,2,1.000,0,4,4,1,0,0,0,1,7,5.8,0,3.0
70,2016-03-24,24-081,CHI,@,NYK,L (-12),0,13:59,0,3,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-1.5,-5,3.0
71,2016-03-26,24-083,CHI,@,ORL,L (-22),0,20:55,5,10,.500,2,2,1.000,0,0,,2,1,3,0,0,0,1,0,12,7.7,-13,3.0
72,2016-03-28,24-085,CHI,,ATL,L (-2),0,19:42,0,2,.000,0,1,.000,1,2,.500,0,3,3,0,0,0,0,1,1,-0.3,+3,3.0
73,2016-03-29,24-086,CHI,@,IND,W (+2),0,15:34,2,6,.333,1,2,.500,1,1,1.000,0,2,2,0,0,0,0,1,6,2.8,+10,3.0
74,2016-03-31,24-088,CHI,@,HOU,W (+3),0,37:10,6,14,.429,1,4,.250,2,2,1.000,2,7,9,3,0,0,1,3,15,11.0,+26,3.0
