G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-22,27-307,DAL,@,OKC,L (-3),0,10:51,4,5,.800,0,0,,0,2,.000,2,4,6,0,0,0,2,1,8,5.5,-16,5.0
2,2015-11-25,27-310,DAL,@,SAS,L (-5),0,15:50,4,8,.500,0,0,,1,2,.500,3,3,6,0,0,0,1,1,9,6.2,+6,5.0
3,2015-11-28,27-313,DAL,,DEN,W (+11),0,5:28,1,2,.500,0,0,,1,2,.500,1,3,4,0,0,0,0,1,3,2.8,-2,5.0
4,2015-11-30,27-315,DAL,@,SAC,L (-14),0,9:41,3,5,.600,0,0,,0,0,,1,1,2,0,0,0,1,3,6,2.5,+5,5.0
5,2015-12-04,27-319,DAL,,HOU,L (-4),0,3:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,0,5.0
6,2015-12-07,27-322,DAL,@,NYK,W (+7),0,6:46,0,1,.000,0,0,,0,0,,0,4,4,0,0,0,2,1,0,-1.9,+6,5.0
7,2015-12-16,27-331,DAL,@,IND,L (-26),0,10:36,2,2,1.000,0,0,,0,0,,3,4,7,1,0,0,0,1,4,7.0,-10,5.0
8,2015-12-18,27-333,DAL,,MEM,W (+9),0,17:43,5,6,.833,0,0,,0,0,,1,4,5,0,0,3,2,0,10,9.8,+20,5.0
9,2015-12-22,27-337,DAL,@,TOR,L (-4),0,17:09,1,4,.250,0,0,,3,4,.750,0,5,5,1,0,3,1,2,5,4.7,-6,5.0
10,2015-12-23,27-338,DAL,@,BRK,W (+1),0,9:29,2,3,.667,0,0,,0,2,.000,1,1,2,0,0,0,2,2,4,0.1,-4,5.0
11,2015-12-26,27-341,DAL,,CHI,W (+7),0,8:33,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-11,5.0
12,2015-12-28,27-343,DAL,,MIL,W (+10),0,8:54,2,4,.500,0,0,,0,0,,2,2,4,0,0,0,0,0,4,4.0,-6,5.0
13,2015-12-30,27-345,DAL,,GSW,W (+23),0,3:51,0,1,.000,0,0,,1,2,.500,2,0,2,0,0,0,1,0,1,0.3,-4,5.0
14,2016-01-01,27-347,DAL,@,MIA,L (-24),0,9:29,3,5,.600,0,0,,0,0,,1,1,2,0,1,1,0,0,6,6.4,0,5.0
15,2016-01-02,27-348,DAL,,NOP,L (-7),0,13:09,0,2,.000,0,0,,0,0,,1,4,5,0,0,1,0,4,0,-0.4,+6,5.0
16,2016-01-05,27-351,DAL,,SAC,W (+1),0,17:18,6,8,.750,0,0,,1,2,.500,4,7,11,0,2,2,0,3,13,16.5,+3,5.0
17,2016-01-06,27-352,DAL,@,NOP,W (+9),1,19:24,4,8,.500,0,0,,0,0,,4,2,6,0,0,4,1,1,8,8.8,-4,5.0
18,2016-01-08,27-354,DAL,@,MIL,L (-1),0,11:24,3,4,.750,0,0,,0,0,,1,2,3,0,0,0,0,3,6,4.5,-3,5.0
19,2016-01-10,27-356,DAL,@,MIN,W (+6),0,15:56,4,6,.667,0,0,,0,0,,1,0,1,0,0,0,0,2,8,5.3,+11,5.0
20,2016-01-12,27-358,DAL,,CLE,L (-3),0,18:06,4,4,1.000,0,0,,2,4,.500,0,1,1,0,0,3,1,1,10,9.0,-15,5.0
21,2016-01-13,27-359,DAL,@,OKC,L (-19),1,14:42,4,6,.667,0,0,,2,2,1.000,2,4,6,0,0,1,1,3,10,8.5,-11,5.0
22,2016-01-15,27-361,DAL,@,CHI,W (+6),0,7:24,2,4,.500,0,0,,1,1,1.000,2,3,5,0,0,1,0,1,5,5.6,+5,5.0
23,2016-01-17,27-363,DAL,@,SAS,L (-29),0,15:02,2,4,.500,0,0,,1,1,1.000,2,8,10,0,0,3,2,3,5,5.7,-8,5.0
24,2016-01-20,28-001,DAL,,MIN,W (+12),0,16:16,3,9,.333,0,0,,0,2,.000,5,3,8,0,0,1,0,0,6,5.2,+1,5.0
