G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,28-242,MIA,,CHO,W (+10),0,13:28,0,0,,0,0,,0,0,,0,3,3,2,0,0,0,1,0,1.9,+5,4.0
2,2015-10-30,28-244,MIA,@,CLE,L (-10),0,13:22,1,2,.500,0,1,.000,0,0,,1,1,2,1,0,0,1,2,2,0.9,-17,4.0
3,2015-11-01,28-246,MIA,,HOU,W (+20),0,5:11,0,0,,0,0,,0,0,,0,2,2,0,0,0,2,0,0,-1.4,-10,4.0
4,2015-11-03,28-248,MIA,,ATL,L (-6),0,10:24,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,5,0,-2.1,-6,4.0
5,2015-11-05,28-250,MIA,@,MIN,W (+12),0,17:10,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,1,0,0.9,0,4.0
6,2015-11-06,28-251,MIA,@,IND,L (-3),0,16:38,3,4,.750,2,3,.667,0,0,,0,2,2,5,0,0,2,1,8,8.1,+14,4.0
7,2015-11-08,28-253,MIA,,TOR,W (+20),0,19:26,2,7,.286,0,2,.000,1,2,.500,3,0,3,3,3,0,1,1,5,6.3,+19,4.0
8,2015-11-10,28-255,MIA,,LAL,W (+13),0,18:23,2,5,.400,0,1,.000,0,0,,2,2,4,3,1,0,2,1,4,4.0,0,4.0
9,2015-11-12,28-257,MIA,,UTA,W (+1),0,18:14,0,3,.000,0,1,.000,4,4,1.000,1,3,4,0,0,0,0,3,4,2.3,+14,4.0
10,2015-11-17,28-262,MIA,,MIN,L (-12),0,11:37,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,3,3,0,-3.3,-18,4.0
11,2015-11-19,28-264,MIA,,SAC,W (+7),0,16:31,0,1,.000,0,0,,0,2,.000,3,1,4,2,2,0,0,2,0,3.5,+9,4.0
12,2015-11-21,28-266,MIA,,PHI,W (+5),0,13:43,1,3,.333,0,1,.000,1,2,.500,0,2,2,1,1,1,0,1,3,3.5,-7,4.0
13,2015-11-23,28-268,MIA,,NYK,W (+17),0,19:22,0,3,.000,0,2,.000,2,2,1.000,3,6,9,2,0,0,0,2,2,4.4,+18,4.0
14,2015-11-25,28-270,MIA,@,DET,L (-23),0,13:16,1,6,.167,1,5,.200,0,0,,0,1,1,1,0,0,1,1,3,-1.2,-13,4.0
15,2015-11-27,28-272,MIA,@,NYK,W (+19),0,23:53,1,1,1.000,0,0,,0,1,.000,0,4,4,3,0,0,1,2,2,2.8,+14,4.0
16,2015-11-30,28-275,MIA,,BOS,L (-10),0,23:59,2,3,.667,0,0,,2,2,1.000,1,1,2,2,0,1,1,4,6,5.2,-7,4.0
17,2015-12-03,28-278,MIA,,OKC,W (+2),0,18:53,5,7,.714,0,2,.000,2,2,1.000,1,2,3,4,1,1,1,0,12,13.9,+6,4.0
18,2015-12-05,28-280,MIA,,CLE,W (+15),0,19:05,2,3,.667,0,0,,2,2,1.000,0,4,4,2,1,0,1,1,6,6.9,+8,4.0
19,2015-12-07,28-282,MIA,,WAS,L (-11),0,14:33,4,7,.571,0,2,.000,1,3,.333,0,2,2,1,1,0,1,1,9,5.8,-7,4.0
20,2015-12-09,28-284,MIA,@,CHO,L (-18),0,3:35,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-7,4.0
21,2016-01-29,28-335,MIA,@,MIL,W (+4),0,16:08,1,3,.333,0,0,,0,0,,0,1,1,2,1,1,2,3,2,0.5,+8,4.0
22,2016-01-31,28-337,MIA,,ATL,W (+18),0,17:43,1,3,.333,0,1,.000,4,4,1.000,0,2,2,1,0,0,2,2,6,2.8,0,4.0
23,2016-02-02,28-339,MIA,@,HOU,L (-13),0,3:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-5,4.0
24,2016-02-03,28-340,MIA,@,DAL,W (+3),0,9:31,1,3,.333,0,1,.000,0,0,,0,3,3,0,0,0,0,0,2,1.2,+4,4.0
25,2016-02-09,28-346,MIA,,SAS,L (-18),0,10:47,1,2,.500,0,0,,0,0,,0,3,3,2,2,1,0,2,2,5.2,-2,4.0
26,2016-02-19,28-356,MIA,@,ATL,W (+4),0,29:49,8,13,.615,3,5,.600,0,0,,2,4,6,10,0,0,1,1,19,21.3,+1,4.0
27,2016-02-20,28-357,MIA,,WAS,W (+20),0,19:10,1,6,.167,0,1,.000,1,2,.500,0,3,3,3,0,0,0,2,3,1.0,+19,4.0
28,2016-02-22,28-359,MIA,,IND,W (+8),0,21:52,4,8,.500,1,3,.333,1,3,.333,0,6,6,3,2,0,2,3,10,7.9,-2,4.0
29,2016-02-24,28-361,MIA,,GSW,L (-6),0,14:19,2,8,.250,1,2,.500,2,3,.667,0,2,2,0,0,1,0,2,7,2.3,-7,4.0
30,2016-02-27,28-364,MIA,@,BOS,L (-12),0,12:45,1,4,.250,0,1,.000,0,0,,1,1,2,3,0,0,0,2,2,1.9,-10,4.0
31,2016-03-03,29-004,MIA,,PHO,W (+16),0,3:14,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-5,4.0
32,2016-03-11,29-012,MIA,@,CHI,W (+22),0,2:47,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,0.3,0,4.0
33,2016-03-14,29-015,MIA,,DEN,W (+5),0,6:04,0,1,.000,0,0,,0,0,,1,1,2,1,0,1,0,1,0,1.3,+1,4.0
34,2016-03-19,29-020,MIA,,CLE,W (+21),0,11:42,0,1,.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,1,2,2.6,0,4.0
35,2016-03-22,29-023,MIA,@,NOP,W (+14),0,2:33,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-1,4.0
36,2016-03-23,29-024,MIA,@,SAS,L (-24),1,29:58,4,7,.571,1,2,.500,0,0,,0,3,3,3,0,0,2,4,9,5.1,-15,4.0
37,2016-03-25,29-026,MIA,,ORL,W (+11),0,1:10,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,0,4.0
38,2016-03-28,29-029,MIA,,BRK,W (+11),0,17:08,2,5,.400,0,2,.000,0,0,,0,1,1,4,1,0,0,2,4,4.6,+5,4.0
39,2016-04-02,29-034,MIA,@,POR,L (-17),0,16:30,3,8,.375,2,4,.500,0,0,,1,2,3,3,0,0,1,3,8,4.8,-8,4.0
40,2016-04-05,29-037,MIA,,DET,W (+18),0,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+2,4.0
