G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,21-111,BOS,,PHI,W (+17),0,1:58,0,0,,0,0,,2,2,1.000,1,1,2,1,0,0,0,1,2,3.3,0,4.0
2,2015-11-06,21-120,BOS,,WAS,W (+20),0,3:17,1,2,.500,0,0,,1,1,1.000,1,0,1,0,0,1,0,0,3,3.4,+1,4.0
3,2015-12-21,21-165,BOS,,MIN,W (+14),0,1:02,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1,4.0
4,2016-02-19,21-225,BOS,@,UTA,L (-18),0,2:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,2,0,0,2,3.1,0,4.0
5,2016-02-21,21-227,BOS,@,DEN,W (+20),0,2:30,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,1,2,0.6,0,4.0
6,2016-02-22,21-228,BOS,@,MIN,L (-2),0,1:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3,4.0
7,2016-02-29,21-235,BOS,,UTA,W (+5),0,7:08,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,2,1,0,3,4.0,+7,4.0
8,2016-03-02,21-237,BOS,,POR,W (+23),0,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-5,4.0
9,2016-03-05,21-240,BOS,@,CLE,L (-17),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,4.0
10,2016-03-09,21-244,BOS,,MEM,W (+20),0,1:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,3,0,0,0,1.4,0,4.0
11,2016-03-11,21-246,BOS,,HOU,L (-4),0,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,4.0
12,2016-03-16,21-251,BOS,,OKC,L (-21),0,8:54,2,3,.667,0,0,,1,1,1.000,1,1,2,0,0,1,0,0,5,5.4,+7,4.0
13,2016-03-18,21-253,BOS,@,TOR,L (-14),0,8:37,0,2,.000,0,0,,0,2,.000,0,0,0,0,0,1,0,2,0,-2.3,+2,4.0
14,2016-03-20,21-255,BOS,@,PHI,W (+15),0,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
15,2016-03-28,21-263,BOS,@,LAC,L (-24),0,6:43,1,5,.200,0,0,,0,2,.000,1,3,4,0,0,0,0,0,2,-0.3,0,4.0
16,2016-04-08,21-274,BOS,,MIL,W (+15),0,3:28,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-9,4.0
