G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,24-077,MIL,,NYK,L (-25),1,35:19,4,15,.267,3,6,.500,0,0,,1,1,2,0,0,0,2,4,11,-0.5,-12,2.0
2,2015-10-30,24-079,MIL,,WAS,L (-5),1,38:53,6,14,.429,1,4,.250,5,6,.833,0,3,3,5,1,0,1,4,18,13.0,+1,2.0
3,2015-11-01,24-081,MIL,@,TOR,L (-19),1,29:13,3,10,.300,0,2,.000,2,2,1.000,0,2,2,0,0,0,2,5,8,-1.2,-11,2.0
4,2015-11-02,24-082,MIL,@,BRK,W (+7),1,38:57,6,12,.500,2,5,.400,3,4,.750,1,4,5,3,1,1,0,2,17,15.5,-2,2.0
5,2015-11-04,24-084,MIL,,PHI,W (+4),1,35:38,7,20,.350,3,7,.429,4,4,1.000,1,2,3,3,1,0,1,2,21,12.4,+7,2.0
6,2015-11-06,24-086,MIL,@,NYK,W (+7),1,38:15,3,9,.333,1,3,.333,6,6,1.000,0,5,5,2,1,0,2,5,13,7.8,+14,2.0
7,2015-11-07,24-087,MIL,,BRK,W (+8),1,33:23,4,6,.667,3,3,1.000,3,5,.600,0,9,9,7,1,0,1,2,14,17.4,+11,2.0
8,2015-11-10,24-090,MIL,,BOS,L (-16),1,37:14,3,12,.250,2,6,.333,5,5,1.000,0,2,2,2,0,1,1,1,13,7.1,-1,2.0
9,2015-11-11,24-091,MIL,@,DEN,L (-1),1,42:26,5,13,.385,3,5,.600,0,0,,0,1,1,2,4,0,2,2,13,8.8,+5,2.0
10,2015-11-14,24-094,MIL,,CLE,W (+3),1,41:48,4,13,.308,1,2,.500,2,2,1.000,0,4,4,1,3,0,1,4,11,5.8,+6,2.0
11,2015-11-17,24-097,MIL,@,WAS,L (-29),1,27:19,6,12,.500,2,6,.333,0,0,,0,2,2,0,1,0,1,4,14,7.0,-16,2.0
12,2015-11-19,24-099,MIL,@,CLE,L (-15),1,31:58,4,10,.400,0,1,.000,7,7,1.000,0,1,1,4,1,0,2,6,15,9.3,+5,2.0
13,2015-11-21,24-101,MIL,@,IND,L (-37),1,27:37,3,11,.273,1,4,.250,1,2,.500,0,2,2,1,2,1,1,1,8,3.7,-13,2.0
14,2015-11-23,24-103,MIL,,DET,W (+21),1,22:35,5,7,.714,2,2,1.000,4,5,.800,0,3,3,4,1,0,1,2,16,15.6,+10,2.0
15,2015-11-25,24-105,MIL,,SAC,L (-11),1,24:15,8,15,.533,5,8,.625,0,1,.000,1,1,2,6,1,0,1,5,21,16.5,-7,2.0
16,2015-11-27,24-107,MIL,@,ORL,L (-24),1,33:52,4,7,.571,3,5,.600,4,4,1.000,0,3,3,4,3,0,1,1,15,17.0,-16,2.0
17,2015-11-29,24-109,MIL,@,CHO,L (-5),1,37:24,7,18,.389,4,9,.444,1,1,1.000,1,4,5,6,3,0,3,3,19,14.1,+7,2.0
18,2015-11-30,24-110,MIL,,DEN,W (+18),1,30:52,3,9,.333,3,5,.600,1,1,1.000,0,1,1,5,0,0,2,2,10,5.9,+6,2.0
19,2015-12-02,24-112,MIL,@,SAS,L (-25),1,30:22,6,11,.545,1,2,.500,3,3,1.000,0,3,3,3,0,0,2,2,16,10.9,-18,2.0
20,2015-12-04,24-114,MIL,@,DET,L (-7),1,33:51,6,15,.400,3,7,.429,6,6,1.000,0,5,5,3,0,0,1,3,21,14.3,-1,2.0
21,2015-12-05,24-115,MIL,,NYK,W (+15),1,31:33,2,10,.200,1,1,1.000,2,3,.667,1,3,4,3,0,0,0,1,7,3.7,+18,2.0
22,2015-12-07,24-117,MIL,,POR,W (+2),1,40:45,4,13,.308,1,6,.167,5,6,.833,0,1,1,3,2,1,1,5,14,8.2,+2,2.0
23,2015-12-09,24-119,MIL,,LAC,L (-14),1,38:50,3,9,.333,1,3,.333,2,3,.667,0,6,6,2,1,0,4,5,9,1.7,-21,2.0
