G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-05,39-231,MIN,,MIA,L (-12),0,3:59,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,+9,1.0
2,2015-11-09,39-235,MIN,@,ATL,W (+10),0,4:42,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-0.4,-1,1.0
3,2015-11-10,39-236,MIN,,CHO,L (-9),0,3:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-9,1.0
4,2015-11-12,39-238,MIN,,GSW,L (-13),0,21:40,5,8,.625,0,0,,1,2,.500,2,1,3,4,0,0,2,4,11,7.9,+12,1.0
5,2015-11-13,39-239,MIN,@,IND,L (-4),0,22:42,4,5,.800,0,0,,2,2,1.000,1,3,4,5,1,0,3,5,10,9.2,+12,1.0
6,2015-11-15,39-241,MIN,,MEM,L (-8),0,33:31,4,8,.500,0,1,.000,0,0,,1,2,3,8,3,0,2,4,8,10.3,-17,1.0
7,2015-11-23,39-249,MIN,,PHI,W (+5),0,8:47,0,1,.000,0,0,,0,0,,0,1,1,4,0,0,2,1,0,0.0,-4,1.0
8,2015-11-27,39-253,MIN,@,SAC,W (+10),0,18:46,4,4,1.000,1,1,1.000,3,3,1.000,0,1,1,4,1,0,0,3,12,13.7,+12,1.0
9,2015-11-29,39-255,MIN,@,LAC,L (-8),0,21:18,4,7,.571,0,0,,3,3,1.000,0,1,1,4,1,0,3,1,11,8.4,-8,1.0
10,2015-12-13,39-269,MIN,@,PHO,L (-7),0,13:05,0,0,,0,0,,0,0,,1,2,3,5,0,0,1,1,0,3.4,+12,1.0
11,2015-12-15,39-271,MIN,,DEN,L (-12),0,8:40,1,3,.333,0,0,,0,2,.000,0,0,0,1,0,0,0,2,2,-0.6,+2,1.0
12,2015-12-16,39-272,MIN,@,NYK,L (-5),0,9:21,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-9,1.0
13,2015-12-18,39-274,MIN,,SAC,W (+4),0,5:01,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-2,1.0
14,2015-12-20,39-276,MIN,@,BRK,W (+15),0,9:39,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,1,2,3.0,+8,1.0
15,2015-12-21,39-277,MIN,@,BOS,L (-14),0,3:04,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+2,1.0
16,2016-01-04,39-291,MIN,@,PHI,L (-10),0,11:19,3,3,1.000,0,0,,3,3,1.000,0,1,1,2,0,0,1,0,9,8.8,-2,1.0
17,2016-01-10,39-297,MIN,,DAL,L (-6),0,6:08,1,1,1.000,0,0,,1,1,1.000,0,0,0,2,0,0,1,1,3,2.7,-7,1.0
18,2016-01-15,39-302,MIN,@,OKC,L (-20),0,6:14,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4,1.0
19,2016-01-17,39-304,MIN,,PHO,W (+30),0,4:26,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,1,0,1,0.3,+1,1.0
20,2016-01-19,39-306,MIN,@,NOP,L (-15),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,1.0
21,2016-01-31,39-318,MIN,@,POR,L (-3),0,12:16,3,3,1.000,0,0,,0,0,,1,1,2,1,0,0,4,2,6,2.0,-10,1.0
22,2016-02-02,39-320,MIN,@,LAL,L (-4),0,5:40,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,2,0,2,-0.4,-1,1.0
23,2016-02-03,39-321,MIN,@,LAC,W (+6),0,14:27,1,2,.500,0,1,.000,1,1,1.000,0,0,0,7,0,0,2,2,3,4.1,-6,1.0
24,2016-02-06,39-324,MIN,,CHI,W (+7),0,16:21,2,4,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,1,4,3.3,-2,1.0
25,2016-02-08,39-326,MIN,,NOP,L (-14),0,5:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-8,1.0
26,2016-02-10,39-328,MIN,,TOR,W (+5),0,10:48,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,+7,1.0
27,2016-03-02,39-349,SAS,,DET,W (+16),0,7:39,0,0,,0,0,,0,0,,1,1,2,2,0,0,0,2,0,1.6,-1,1.0
28,2016-03-03,39-350,SAS,@,NOP,W (+8),0,3:57,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+8,1.0
29,2016-03-05,39-352,SAS,,SAC,W (+10),0,7:19,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,4,2.0,-7,1.0
30,2016-03-08,39-355,SAS,@,MIN,W (+25),1,24:56,5,6,.833,1,1,1.000,2,2,1.000,0,2,2,5,1,0,1,2,13,14.1,+24,1.0
31,2016-03-10,39-357,SAS,,CHI,W (+8),0,3:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,1.0
