G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-259,ATL,,DET,L (-12),1,36:00,7,15,.467,2,6,.333,3,4,.750,1,7,8,3,0,0,2,4,19,12.2,-22,4.0
2,2015-10-29,30-261,ATL,@,NYK,W (+11),1,34:30,3,11,.273,1,2,.500,4,8,.500,3,8,11,5,5,0,3,2,11,12.1,+14,4.0
3,2015-10-30,30-262,ATL,,CHO,W (+3),1,36:53,5,10,.500,2,4,.500,6,7,.857,1,9,10,4,2,2,4,3,18,17.0,+1,4.0
4,2015-11-01,30-264,ATL,@,CHO,W (+2),1,34:56,7,13,.538,2,5,.400,0,0,,1,5,6,6,0,2,0,3,16,16.3,-3,4.0
5,2015-11-03,30-266,ATL,@,MIA,W (+6),1,35:34,4,12,.333,0,3,.000,4,8,.500,4,6,10,3,3,1,1,3,12,11.8,0,4.0
6,2015-11-04,30-267,ATL,,BRK,W (+14),1,30:36,5,10,.500,1,4,.250,1,2,.500,1,8,9,3,5,0,1,3,12,14.6,+9,4.0
7,2015-11-06,30-269,ATL,@,NOP,W (+6),1,34:13,7,11,.636,0,2,.000,8,10,.800,1,11,12,1,2,1,4,4,22,18.1,0,4.0
8,2015-11-07,30-270,ATL,,WAS,W (+15),1,34:00,6,14,.429,3,6,.500,6,6,1.000,2,4,6,7,1,2,1,0,21,22.5,+17,4.0
9,2015-11-09,30-272,ATL,,MIN,L (-10),1,35:12,9,15,.600,3,5,.600,1,2,.500,2,3,5,6,2,2,3,1,22,21.2,+1,4.0
10,2015-11-11,30-274,ATL,,NOP,W (+8),1,32:43,6,14,.429,0,2,.000,7,8,.875,2,14,16,2,3,0,2,3,19,18.0,+11,4.0
11,2015-11-13,30-276,ATL,@,BOS,L (-13),1,32:06,5,10,.500,1,3,.333,3,4,.750,1,7,8,2,0,0,6,3,14,5.6,-15,4.0
12,2015-11-15,30-278,ATL,,UTA,L (-1),1,36:38,10,18,.556,1,4,.250,7,8,.875,1,5,6,2,1,2,3,2,28,21.2,+6,4.0
13,2015-11-17,30-280,ATL,@,BRK,L (-2),1,34:48,6,10,.600,2,2,1.000,3,4,.750,4,2,6,3,1,1,5,2,17,13.4,-16,4.0
14,2015-11-18,30-281,ATL,,SAC,W (+6),1,34:48,9,19,.474,0,1,.000,5,6,.833,6,10,16,3,3,2,2,4,23,23.0,+4,4.0
15,2015-11-21,30-284,ATL,@,CLE,L (-12),1,31:01,3,13,.231,0,3,.000,8,9,.889,5,6,11,5,4,2,3,4,14,15.3,-1,4.0
16,2015-11-24,30-287,ATL,,BOS,W (+24),1,31:39,10,14,.714,0,1,.000,5,5,1.000,4,5,9,3,1,1,2,3,25,24.1,+20,4.0
17,2015-11-25,30-288,ATL,@,MIN,L (-4),1,31:37,6,15,.400,1,4,.250,9,11,.818,3,7,10,2,2,1,1,4,22,18.8,+11,4.0
18,2015-11-27,30-290,ATL,@,MEM,W (+15),1,35:16,6,10,.600,0,2,.000,11,13,.846,4,10,14,4,0,0,3,2,23,22.4,+27,4.0
19,2015-11-28,30-291,ATL,@,SAS,L (-20),1,26:19,3,9,.333,0,1,.000,2,5,.400,4,4,8,2,2,1,1,2,8,8.0,-24,4.0
20,2015-11-30,30-293,ATL,,OKC,W (+6),1,35:10,8,19,.421,1,2,.500,9,10,.900,5,6,11,5,1,4,3,2,26,24.3,+7,4.0
21,2015-12-02,30-295,ATL,,TOR,L (-10),1,34:02,5,16,.313,0,2,.000,4,4,1.000,5,4,9,4,2,0,2,5,14,10.3,-7,4.0
22,2015-12-04,30-297,ATL,,LAL,W (+13),1,33:49,6,12,.500,0,1,.000,3,3,1.000,2,6,8,2,2,2,2,3,15,13.8,+8,4.0
23,2015-12-09,30-302,ATL,@,DAL,W (+3),1,35:49,7,13,.538,0,2,.000,6,9,.667,2,9,11,5,3,1,1,3,20,21.6,-4,4.0
24,2015-12-10,30-303,ATL,@,OKC,L (-13),1,33:28,2,5,.400,0,1,.000,3,8,.375,1,7,8,4,1,2,0,3,7,9.1,-13,4.0
25,2015-12-12,30-305,ATL,,SAS,L (-25),1,29:15,9,13,.692,2,3,.667,2,3,.667,1,4,5,2,2,2,3,4,22,18.2,-28,4.0
26,2015-12-14,30-307,ATL,,MIA,L (-12),1,37:02,6,12,.500,0,2,.000,6,6,1.000,3,6,9,2,0,0,2,3,18,14.1,-15,4.0
27,2015-12-16,30-309,ATL,,PHI,W (+21),1,24:36,7,8,.875,1,1,1.000,6,7,.857,0,0,0,3,0,2,1,3,21,19.1,+7,4.0
28,2015-12-18,30-311,ATL,@,BOS,W (+8),1,33:29,6,13,.462,0,3,.000,8,10,.800,1,7,8,4,2,0,3,4,20,15.5,+14,4.0
29,2015-12-20,30-313,ATL,@,ORL,W (+3),1,34:50,5,16,.313,0,2,.000,3,4,.750,3,10,13,3,2,2,2,4,13,10.4,-5,4.0
30,2015-12-21,30-314,ATL,,POR,W (+9),1,24:33,3,9,.333,0,2,.000,6,7,.857,0,6,6,1,1,0,2,2,12,7.2,+14,4.0
31,2015-12-23,30-316,ATL,,DET,W (+7),1,31:47,8,15,.533,1,2,.500,1,2,.500,2,3,5,2,1,0,2,0,18,13.0,+3,4.0
32,2015-12-26,30-319,ATL,,NYK,W (+19),1,33:17,8,16,.500,1,3,.333,5,8,.625,4,3,7,7,3,1,1,3,22,22.9,+10,4.0
