G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,24-258,CHI,,CLE,W (+2),1,25:14,6,11,.545,3,4,.750,4,4,1.000,2,7,9,1,1,0,4,5,19,12.9,+9,4.0
2,2015-10-28,24-259,CHI,@,BRK,W (+15),1,29:37,5,10,.500,4,8,.500,4,4,1.000,0,9,9,1,2,1,2,3,18,15.9,+30,4.0
3,2015-10-30,24-261,CHI,@,DET,L (-4),1,38:30,7,14,.500,3,8,.375,5,6,.833,1,5,6,0,2,0,4,1,22,14.4,+2,4.0
4,2015-11-01,24-263,CHI,,ORL,W (+5),1,28:23,4,12,.333,3,8,.375,5,6,.833,1,2,3,0,0,2,2,1,16,9.1,+5,4.0
5,2015-11-03,24-265,CHI,@,CHO,L (-25),1,23:58,2,11,.182,1,5,.200,0,0,,1,4,5,2,0,0,2,1,5,-1.0,-15,4.0
6,2015-11-05,24-267,CHI,,OKC,W (+6),1,15:59,1,5,.200,0,3,.000,0,0,,1,3,4,1,0,0,2,1,2,-1.2,-12,4.0
7,2015-11-07,24-269,CHI,,MIN,L (-9),1,17:02,1,8,.125,0,5,.000,2,2,1.000,0,3,3,0,1,0,1,5,4,-2.3,+5,4.0
8,2015-11-09,24-271,CHI,@,PHI,W (+23),1,28:22,6,11,.545,3,7,.429,5,7,.714,1,9,10,0,2,0,4,3,20,14.1,+22,4.0
9,2015-11-13,24-275,CHI,,CHO,W (+5),1,22:33,0,3,.000,0,2,.000,3,4,.750,1,6,7,3,1,0,1,2,3,4.3,-6,4.0
10,2015-11-16,24-278,CHI,,IND,W (+1),1,16:33,2,7,.286,1,3,.333,1,2,.500,1,5,6,0,0,0,1,1,6,2.3,+6,4.0
11,2015-11-18,24-280,CHI,@,PHO,W (+6),1,21:01,4,12,.333,2,5,.400,0,0,,1,4,5,3,2,0,1,2,10,7.4,-1,4.0
12,2015-11-20,24-282,CHI,@,GSW,L (-12),1,35:57,6,17,.353,0,6,.000,6,6,1.000,3,7,10,5,1,0,1,3,18,15.0,+5,4.0
13,2015-11-24,24-286,CHI,@,POR,W (+5),1,29:20,4,8,.500,3,4,.750,2,4,.500,2,6,8,3,0,0,4,2,13,8.7,+3,4.0
14,2015-11-27,24-289,CHI,@,IND,L (-12),1,29:09,8,14,.571,2,4,.500,7,8,.875,2,5,7,2,0,1,2,4,25,19.4,-4,4.0
15,2015-11-30,24-292,CHI,,SAS,W (+3),1,24:06,3,8,.375,2,5,.400,0,0,,1,4,5,2,0,0,2,3,8,3.7,-5,4.0
16,2015-12-02,24-294,CHI,,DEN,W (+9),1,4:39,1,2,.500,1,2,.500,0,0,,1,2,3,0,1,0,0,0,3,4.3,0,4.0
17,2015-12-05,24-297,CHI,,CHO,L (-6),1,27:06,3,11,.273,1,6,.167,0,2,.000,1,6,7,2,1,0,1,2,7,2.8,-8,4.0
18,2015-12-07,24-299,CHI,,PHO,L (-2),1,28:00,6,13,.462,1,7,.143,0,0,,4,3,7,4,1,1,2,1,13,12.1,+11,4.0
19,2015-12-09,24-301,CHI,@,BOS,L (-5),0,22:09,4,10,.400,2,6,.333,0,0,,1,2,3,2,1,1,1,3,10,6.8,+2,4.0
20,2015-12-10,24-302,CHI,,LAC,W (+3),0,14:27,2,8,.250,1,5,.200,0,0,,0,11,11,1,1,0,0,1,5,4.8,-2,4.0
21,2015-12-12,24-304,CHI,,NOP,W (+4),0,18:06,3,6,.500,2,3,.667,2,2,1.000,1,9,10,2,0,0,0,1,10,11.4,-1,4.0
22,2015-12-14,24-306,CHI,,PHI,W (+19),0,18:39,6,10,.600,5,8,.625,0,0,,0,2,2,0,0,1,3,3,17,9.5,-1,4.0
23,2015-12-16,24-308,CHI,,MEM,W (+13),0,14:35,1,2,.500,1,2,.500,0,0,,0,2,2,2,2,0,0,1,3,5.6,+8,4.0
24,2015-12-18,24-310,CHI,,DET,L (-3),0,23:56,1,6,.167,1,3,.333,2,2,1.000,0,5,5,0,0,0,0,3,5,1.5,-7,4.0
25,2015-12-19,24-311,CHI,@,NYK,L (-16),0,24:43,1,8,.125,0,5,.000,0,0,,0,3,3,0,1,0,3,4,2,-5.9,-10,4.0
26,2015-12-21,24-313,CHI,,BRK,L (-3),1,21:34,3,9,.333,1,4,.250,1,2,.500,1,3,4,1,3,2,1,0,8,8.2,-4,4.0
27,2015-12-25,24-317,CHI,@,OKC,W (+9),1,15:56,1,5,.200,1,5,.200,3,3,1.000,0,7,7,2,1,2,1,2,6,7.0,+20,4.0
28,2015-12-26,24-318,CHI,@,DAL,L (-7),1,40:04,6,10,.600,4,7,.571,7,11,.636,1,6,7,1,2,3,0,4,23,22.5,-3,4.0
29,2015-12-28,24-320,CHI,,TOR,W (+7),1,16:43,1,6,.167,0,4,.000,0,0,,0,7,7,0,0,1,1,2,2,-0.8,-10,4.0
30,2015-12-30,24-322,CHI,,IND,W (+2),1,19:55,0,2,.000,0,1,.000,0,0,,0,4,4,1,0,1,1,0,0,0.2,+1,4.0
31,2016-01-01,24-324,CHI,,NYK,W (+27),1,30:54,6,8,.750,4,6,.667,1,2,.500,0,5,5,7,2,2,0,4,17,21.6,+25,4.0
32,2016-01-03,24-326,CHI,@,TOR,W (+2),1,28:36,4,9,.444,3,6,.500,6,6,1.000,1,2,3,1,1,0,1,2,17,13.5,0,4.0
33,2016-01-05,24-328,CHI,,MIL,W (+11),1,28:32,5,10,.500,1,4,.250,3,3,1.000,0,6,6,0,1,1,1,1,14,11.1,+6,4.0
34,2016-01-07,24-330,CHI,,BOS,W (+9),1,27:13,3,10,.300,2,7,.286,3,4,.750,2,6,8,1,1,1,2,1,11,8.0,+22,4.0
35,2016-01-09,24-332,CHI,@,ATL,L (-15),1,38:17,8,17,.471,5,9,.556,3,4,.750,2,8,10,1,1,2,1,4,24,19.2,-16,4.0
36,2016-01-11,24-334,CHI,,WAS,L (-14),1,28:46,3,8,.375,1,3,.333,0,2,.000,1,8,9,2,1,2,0,0,7,8.7,+1,4.0
37,2016-01-12,24-335,CHI,@,MIL,L (-5),1,31:20,6,13,.462,3,8,.375,2,2,1.000,2,3,5,1,0,2,2,4,17,11.1,+1,4.0
38,2016-01-14,24-337,CHI,@,PHI,W (+4),1,23:45,2,13,.154,1,5,.200,2,2,1.000,0,5,5,0,0,1,5,3,7,-5.3,-3,4.0
39,2016-01-15,24-338,CHI,,DAL,L (-6),0,14:38,0,4,.000,0,2,.000,2,2,1.000,1,1,2,1,0,0,0,3,2,-0.3,-3,4.0
40,2016-01-18,24-341,CHI,@,DET,W (+10),0,21:10,3,6,.500,2,2,1.000,2,4,.500,1,2,3,1,0,0,2,0,10,6.2,+10,4.0
41,2016-01-20,24-343,CHI,,GSW,L (-31),0,14:21,0,5,.000,0,3,.000,0,0,,0,4,4,2,1,0,1,2,0,-1.7,-16,4.0
42,2016-01-22,24-345,CHI,@,BOS,L (-9),0,25:33,1,7,.143,0,2,.000,3,4,.750,1,4,5,0,2,1,3,0,5,1.7,0,4.0
43,2016-01-23,24-346,CHI,@,CLE,W (+13),0,25:12,5,9,.556,3,5,.600,4,5,.800,1,5,6,1,1,0,0,2,17,15.4,+6,4.0
44,2016-01-25,24-348,CHI,,MIA,L (-5),0,21:54,6,11,.545,1,2,.500,2,3,.667,3,5,8,2,1,1,2,0,15,14.0,-5,4.0
45,2016-03-05,25-023,CHI,,HOU,W (+8),0,15:47,2,5,.400,2,3,.667,1,2,.500,0,2,2,1,1,0,1,2,7,4.4,0,4.0
46,2016-03-07,25-025,CHI,,MIL,W (+10),0,19:47,4,9,.444,2,5,.400,4,5,.800,1,5,6,3,1,2,3,2,14,11.8,+10,4.0
47,2016-03-10,25-028,CHI,@,SAS,L (-8),0,28:10,3,7,.429,2,5,.400,0,0,,1,9,10,2,2,1,3,3,8,7.6,+4,4.0
48,2016-03-11,25-029,CHI,,MIA,L (-22),0,19:15,1,4,.250,0,2,.000,4,4,1.000,0,3,3,1,1,0,1,2,6,4.4,-1,4.0
49,2016-03-14,25-032,CHI,@,TOR,W (+2),1,32:13,5,12,.417,3,8,.375,4,4,1.000,1,4,5,2,1,1,3,3,17,11.4,0,4.0
50,2016-03-16,25-034,CHI,@,WAS,L (-21),1,23:41,3,6,.500,1,3,.333,0,0,,0,1,1,1,0,0,1,1,7,3.6,-16,4.0
51,2016-03-17,25-035,CHI,,BRK,W (+16),1,20:20,4,6,.667,1,3,.333,0,0,,0,3,3,0,0,2,2,3,9,5.5,-6,4.0
52,2016-03-19,25-037,CHI,,UTA,W (+7),0,32:47,5,12,.417,2,6,.333,3,4,.750,0,6,6,3,0,2,0,2,15,12.7,-5,4.0
53,2016-03-21,25-039,CHI,,SAC,W (+7),0,20:55,2,8,.250,2,4,.500,0,0,,0,3,3,2,0,2,3,3,6,0.7,-6,4.0
54,2016-03-23,25-041,CHI,,NYK,L (-8),0,33:30,10,17,.588,9,13,.692,6,7,.857,2,4,6,0,1,0,0,2,35,29.5,+1,4.0
55,2016-03-24,25-042,CHI,@,NYK,L (-12),0,24:19,2,9,.222,0,3,.000,4,4,1.000,2,4,6,3,0,0,1,3,8,5.0,-5,4.0
56,2016-03-26,25-044,CHI,@,ORL,L (-22),0,19:53,1,7,.143,1,7,.143,1,2,.500,0,4,4,0,0,0,1,0,4,-0.7,-21,4.0
57,2016-03-28,25-046,CHI,,ATL,L (-2),0,16:41,2,6,.333,1,3,.333,0,0,,0,3,3,2,0,0,0,2,5,3.1,+8,4.0
58,2016-03-29,25-047,CHI,@,IND,W (+2),0,36:31,9,18,.500,7,13,.538,3,3,1.000,2,8,10,2,1,0,4,3,28,20.0,+2,4.0
59,2016-03-31,25-049,CHI,@,HOU,W (+3),0,37:56,8,14,.571,5,10,.500,7,8,.875,0,4,4,3,0,1,1,4,28,22.4,+22,4.0
60,2016-04-02,25-051,CHI,,DET,L (-4),0,23:35,2,7,.286,2,4,.500,0,0,,0,0,0,0,0,1,0,3,6,1.4,-8,4.0
61,2016-04-03,25-052,CHI,@,MIL,W (+4),0,35:06,6,15,.400,3,9,.333,4,4,1.000,0,6,6,3,0,0,1,3,19,12.6,+7,4.0
