G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-146,MIL,,NYK,L (-25),1,34:31,7,17,.412,0,0,,8,10,.800,7,7,14,4,2,2,0,3,22,24.1,-15,5.0
2,2015-10-30,25-148,MIL,,WAS,L (-5),1,34:56,10,14,.714,0,0,,2,3,.667,2,3,5,3,2,0,2,2,22,19.4,+3,5.0
3,2015-11-01,25-150,MIL,@,TOR,L (-19),1,28:24,5,7,.714,0,0,,4,4,1.000,2,4,6,5,1,2,2,5,14,15.6,-18,5.0
4,2015-11-02,25-151,MIL,@,BRK,W (+7),1,39:25,10,14,.714,0,0,,3,4,.750,1,12,13,1,1,1,2,4,23,19.9,+13,5.0
5,2015-11-04,25-153,MIL,,PHI,W (+4),1,36:16,7,14,.500,0,0,,4,5,.800,2,6,8,4,3,0,2,3,18,16.4,+6,5.0
6,2015-11-06,25-155,MIL,@,NYK,W (+7),1,22:43,3,12,.250,0,0,,2,2,1.000,4,3,7,3,0,1,3,2,8,3.5,+2,5.0
7,2015-11-07,25-156,MIL,,BRK,W (+8),1,35:08,8,16,.500,0,0,,4,5,.800,3,5,8,2,2,2,2,0,20,18.0,+12,5.0
8,2015-11-10,25-159,MIL,,BOS,L (-16),1,32:51,7,11,.636,0,0,,3,5,.600,2,12,14,4,1,1,2,2,17,18.0,+7,5.0
9,2015-11-11,25-160,MIL,@,DEN,L (-1),1,32:36,9,13,.692,0,0,,0,0,,2,8,10,2,1,0,2,2,18,15.9,+6,5.0
10,2015-11-14,25-163,MIL,,CLE,W (+3),1,43:28,8,17,.471,0,0,,0,0,,6,11,17,3,0,1,2,3,16,14.4,+8,5.0
11,2015-11-17,25-166,MIL,@,WAS,L (-29),1,25:34,1,6,.167,0,0,,2,4,.500,3,2,5,4,0,1,3,2,4,1.8,-26,5.0
12,2015-11-19,25-168,MIL,@,CLE,L (-15),1,33:39,7,14,.500,0,0,,3,7,.429,2,6,8,1,2,0,2,0,17,12.3,-2,5.0
13,2015-11-21,25-170,MIL,@,IND,L (-37),1,23:51,4,10,.400,0,0,,3,4,.750,7,7,14,3,1,1,2,2,11,13.2,-15,5.0
14,2015-11-23,25-172,MIL,,DET,W (+21),1,31:20,9,19,.474,0,0,,2,2,1.000,5,8,13,1,2,0,1,3,20,16.7,+28,5.0
15,2015-11-25,25-174,MIL,,SAC,L (-11),1,28:43,5,11,.455,0,0,,1,2,.500,0,7,7,3,0,4,1,4,11,9.3,-6,5.0
16,2015-11-27,25-176,MIL,@,ORL,L (-24),1,19:09,3,12,.250,0,0,,3,4,.750,3,5,8,0,0,0,1,1,9,3.6,-18,5.0
17,2015-11-29,25-178,MIL,@,CHO,L (-5),1,30:14,7,15,.467,0,0,,3,5,.600,3,7,10,3,2,0,2,5,17,12.8,+5,5.0
18,2015-11-30,25-179,MIL,,DEN,W (+18),1,24:58,8,11,.727,0,0,,2,2,1.000,2,3,5,2,1,2,0,1,18,19.2,+7,5.0
19,2015-12-02,25-181,MIL,@,SAS,L (-25),1,27:44,6,13,.462,0,0,,2,2,1.000,1,6,7,0,1,1,1,2,14,9.7,-17,5.0
20,2015-12-04,25-183,MIL,@,DET,L (-7),1,33:17,7,15,.467,0,0,,0,0,,2,11,13,1,2,2,1,2,14,13.3,-1,5.0
21,2015-12-05,25-184,MIL,,NYK,W (+15),1,33:14,8,13,.615,0,0,,2,2,1.000,3,11,14,0,1,1,2,3,18,16.0,+20,5.0
22,2015-12-07,25-186,MIL,,POR,W (+2),1,27:09,7,11,.636,0,0,,2,2,1.000,2,10,12,3,0,0,2,1,16,15.2,+13,5.0
23,2015-12-09,25-188,MIL,,LAC,L (-14),1,36:20,8,16,.500,0,0,,0,0,,4,6,10,2,1,0,1,1,16,13.6,-25,5.0
24,2015-12-11,25-190,MIL,@,TOR,L (-7),1,32:59,6,9,.667,0,0,,1,2,.500,0,7,7,2,3,0,1,0,13,14.2,-3,5.0
25,2015-12-12,25-191,MIL,,GSW,W (+13),1,35:32,11,17,.647,0,0,,6,7,.857,4,7,11,5,0,0,3,4,28,23.9,+17,5.0
26,2015-12-18,25-197,MIL,@,GSW,L (-9),1,26:40,5,11,.455,0,0,,0,0,,3,10,13,6,2,1,3,5,10,11.3,-15,5.0
27,2015-12-20,25-199,MIL,@,PHO,W (+6),1,25:58,6,10,.600,0,0,,1,2,.500,0,2,2,4,0,0,1,4,13,8.8,+6,5.0
28,2015-12-23,25-202,MIL,,PHI,W (+13),1,24:51,4,10,.400,0,0,,3,4,.750,0,6,6,1,2,2,0,3,11,9.9,+18,5.0
29,2015-12-26,25-205,MIL,,TOR,L (-21),1,33:04,7,10,.700,0,0,,5,5,1.000,1,10,11,3,0,1,2,1,19,18.9,+1,5.0
30,2015-12-28,25-207,MIL,@,DAL,L (-10),1,32:52,3,10,.300,0,0,,2,2,1.000,3,8,11,2,0,2,1,2,8,7.7,-18,5.0
31,2015-12-29,25-208,MIL,@,OKC,L (-8),1,19:53,2,9,.222,0,0,,0,0,,2,8,10,1,1,0,2,2,4,1.2,-11,5.0
32,2015-12-31,25-210,MIL,@,IND,W (+4),1,29:45,10,12,.833,0,0,,3,4,.750,0,3,3,0,1,1,1,2,23,19.0,+5,5.0
33,2016-01-02,25-212,MIL,@,MIN,W (+10),1,26:59,7,13,.538,0,0,,5,5,1.000,4,6,10,3,2,0,0,1,19,21.0,+2,5.0
34,2016-01-04,25-214,MIL,,SAS,L (-25),1,27:56,5,9,.556,0,0,,5,8,.625,2,6,8,2,2,1,2,1,15,14.4,-12,5.0
35,2016-01-05,25-215,MIL,@,CHI,L (-11),1,28:36,5,18,.278,0,0,,3,4,.750,8,4,12,3,1,0,4,2,13,7.1,-4,5.0
36,2016-01-08,25-218,MIL,,DAL,W (+1),1,27:43,3,10,.300,0,0,,3,5,.600,7,5,12,0,1,0,3,3,9,5.6,-7,5.0
37,2016-01-10,25-220,MIL,@,NYK,L (-12),1,33:20,11,16,.688,0,0,,6,7,.857,4,6,10,2,0,1,2,2,28,24.7,+9,5.0
38,2016-01-12,25-222,MIL,,CHI,W (+5),1,37:00,7,13,.538,0,0,,3,3,1.000,4,8,12,1,1,1,0,1,17,17.9,+14,5.0
39,2016-01-13,25-223,MIL,@,WAS,L (-5),1,31:00,8,13,.615,0,0,,5,9,.556,2,10,12,1,2,0,3,1,21,17.2,0,5.0
40,2016-01-15,25-225,MIL,,ATL,W (+7),1,27:18,4,16,.250,0,0,,7,12,.583,10,2,12,4,0,1,1,0,15,13.5,-8,5.0
41,2016-01-16,25-226,MIL,@,CHO,W (+13),1,26:38,7,9,.778,0,0,,5,6,.833,3,7,10,3,0,1,3,3,19,17.9,+12,5.0
42,2016-01-19,25-229,MIL,@,MIA,W (+12),1,29:55,6,13,.462,0,0,,3,3,1.000,1,9,10,1,0,1,2,1,15,10.7,+1,5.0
43,2016-01-22,25-232,MIL,@,HOU,L (-4),1,29:46,10,17,.588,0,0,,1,3,.333,2,7,9,3,0,4,1,3,21,18.5,-1,5.0
44,2016-01-23,25-233,MIL,@,NOP,L (-17),1,30:26,8,13,.615,0,0,,6,6,1.000,4,7,11,2,0,1,2,3,22,19.9,+1,5.0
45,2016-01-26,25-236,MIL,,ORL,W (+7),1,31:21,7,15,.467,0,0,,7,8,.875,5,6,11,2,0,0,2,2,21,16.8,-3,5.0
46,2016-01-28,25-238,MIL,@,MEM,L (-20),1,25:10,8,13,.615,0,0,,5,6,.833,2,5,7,2,0,0,5,1,21,13.6,-15,5.0
47,2016-01-29,25-239,MIL,,MIA,L (-4),1,34:07,7,14,.500,0,0,,10,11,.909,3,2,5,1,0,1,0,2,24,19.9,+1,5.0
48,2016-02-01,25-242,MIL,@,SAC,L (-7),1,34:38,11,16,.688,0,0,,2,3,.667,5,7,12,3,1,1,1,1,24,24.8,-5,5.0
49,2016-02-02,25-243,MIL,@,POR,L (-12),1,29:50,7,15,.467,0,0,,3,5,.600,2,6,8,3,0,0,1,3,17,11.6,-18,5.0
50,2016-02-05,25-246,MIL,@,UTA,L (-3),1,33:29,5,9,.556,0,0,,4,6,.667,2,7,9,0,1,1,2,1,14,11.7,-12,5.0
51,2016-02-09,25-250,MIL,,BOS,W (+1),0,29:32,13,21,.619,0,0,,3,6,.500,6,6,12,3,1,2,3,1,29,25.4,+11,5.0
52,2016-02-11,25-252,MIL,,WAS,W (+7),0,33:01,5,13,.385,0,0,,2,4,.500,3,6,9,1,2,0,1,4,12,8.1,+9,5.0
53,2016-02-19,25-260,MIL,,CHO,L (-3),0,29:32,0,2,.000,0,0,,4,4,1.000,1,5,6,2,1,3,4,3,4,4.1,-12,5.0
54,2016-02-20,25-261,MIL,@,ATL,W (+8),0,36:06,10,20,.500,0,0,,4,7,.571,5,7,12,4,1,1,0,2,24,22.1,+4,5.0
55,2016-02-22,25-263,MIL,,LAL,W (+7),0,27:25,5,9,.556,0,0,,2,2,1.000,1,7,8,1,2,1,1,1,12,12.5,-5,5.0
56,2016-02-25,25-266,MIL,@,BOS,L (-5),0,34:11,9,13,.692,0,0,,2,3,.667,1,7,8,4,1,2,0,3,20,20.9,+4,5.0
57,2016-02-27,25-268,MIL,,DET,L (-11),0,26:55,5,10,.500,0,0,,0,0,,4,3,7,3,1,1,4,3,10,7.3,-6,5.0
58,2016-02-29,25-270,MIL,,HOU,W (+7),0,19:41,5,9,.556,0,0,,0,0,,2,4,6,1,0,0,0,5,10,7.0,+10,5.0
59,2016-03-02,25-272,MIL,,IND,L (-5),0,28:51,5,9,.556,0,0,,6,8,.750,1,6,7,0,1,0,1,1,16,13.0,+1,5.0
60,2016-03-04,25-274,MIL,,MIN,W (+15),0,31:34,6,6,1.000,0,0,,2,4,.500,4,5,9,4,0,3,6,2,14,13.8,+1,5.0
61,2016-03-06,25-276,MIL,,OKC,L (-8),0,30:29,4,10,.400,0,0,,1,2,.500,6,4,10,2,2,0,1,1,9,10.6,+2,5.0
62,2016-03-07,25-277,MIL,@,CHI,L (-10),0,29:00,5,14,.357,0,0,,1,2,.500,6,8,14,3,0,1,0,4,11,10.6,+4,5.0
63,2016-03-09,25-279,MIL,,MIA,W (+6),1,23:18,4,9,.444,0,0,,2,2,1.000,4,4,8,4,1,0,2,2,10,10.3,+2,5.0
64,2016-03-12,25-282,MIL,,NOP,W (+11),1,27:12,6,10,.600,0,0,,4,4,1.000,0,11,11,2,1,1,0,3,16,16.6,+1,5.0
65,2016-03-13,25-283,MIL,@,BRK,W (+9),1,27:15,6,13,.462,0,0,,2,2,1.000,2,3,5,3,0,0,1,2,14,9.9,+14,5.0
66,2016-03-15,25-285,MIL,,TOR,L (-18),1,28:35,4,8,.500,0,0,,0,1,.000,2,7,9,0,0,0,0,1,8,6.7,-10,5.0
