G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,26-241,CHI,,CLE,W (+2),0,14:22,5,8,.625,1,2,.500,0,0,,0,3,3,1,0,0,0,3,11,7.8,+4,2.0
2,2015-10-28,26-242,CHI,@,BRK,W (+15),0,16:57,4,5,.800,1,2,.500,0,0,,0,0,0,0,1,0,2,0,9,6.1,-1,2.0
3,2015-10-30,26-244,CHI,@,DET,L (-4),0,18:15,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,1,0,0,-0.4,-5,2.0
4,2015-11-01,26-246,CHI,,ORL,W (+5),0,18:43,0,7,.000,0,2,.000,0,0,,0,2,2,3,0,0,1,3,0,-4.4,+3,2.0
5,2015-11-03,26-248,CHI,@,CHO,L (-25),0,15:55,4,7,.571,0,1,.000,0,0,,0,0,0,1,0,0,1,1,8,4.0,-6,2.0
6,2015-11-05,26-250,CHI,,OKC,W (+6),0,21:47,0,1,.000,0,0,,0,0,,0,5,5,0,1,1,0,1,0,2.1,+12,2.0
7,2015-11-07,26-252,CHI,,MIN,L (-9),0,15:22,2,4,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,3.7,+1,2.0
8,2015-11-09,26-254,CHI,@,PHI,W (+23),0,22:46,4,8,.500,1,1,1.000,0,0,,1,3,4,3,0,0,1,1,9,7.3,-6,2.0
9,2015-11-13,26-258,CHI,,CHO,W (+5),0,22:43,5,6,.833,1,1,1.000,0,0,,0,5,5,0,0,0,0,2,11,9.5,+10,2.0
10,2015-11-16,26-261,CHI,,IND,W (+1),0,15:32,1,3,.333,0,2,.000,0,0,,0,2,2,1,1,0,0,0,2,2.6,+4,2.0
11,2015-11-18,26-263,CHI,@,PHO,W (+6),0,14:00,1,2,.500,0,0,,2,2,1.000,0,1,1,1,1,0,1,2,4,3.2,-13,2.0
12,2015-11-20,26-265,CHI,@,GSW,L (-12),0,24:16,3,8,.375,1,1,1.000,2,4,.500,0,0,0,2,2,0,1,2,9,5.4,-8,2.0
13,2015-11-24,26-269,CHI,@,POR,W (+5),0,8:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,2.0
14,2015-11-27,26-272,CHI,@,IND,L (-12),0,27:10,3,7,.429,0,0,,1,2,.500,0,1,1,2,3,0,0,3,7,6.4,-2,2.0
15,2015-11-30,26-275,CHI,,SAS,W (+3),0,16:51,3,6,.500,0,2,.000,0,3,.000,0,2,2,1,0,0,1,2,6,1.3,+9,2.0
