G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-031,OKC,,SAS,W (+6),0,21:38,3,6,.500,2,4,.500,0,0,,0,0,0,0,1,0,0,1,8,5.6,+5,2.0
2,2015-10-30,30-033,OKC,@,ORL,W (+3),0,14:04,1,3,.333,1,3,.333,0,0,,0,1,1,0,2,0,1,0,3,2.6,-8,2.0
3,2015-11-01,30-035,OKC,,DEN,W (+24),0,15:48,2,5,.400,2,4,.500,0,0,,0,3,3,1,1,0,0,0,6,5.9,+2,2.0
4,2015-11-02,30-036,OKC,@,HOU,L (-5),0,5:26,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,+5,2.0
5,2015-11-04,30-038,OKC,,TOR,L (-5),0,5:56,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-11,2.0
6,2015-11-05,30-039,OKC,@,CHI,L (-6),0,5:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-14,2.0
7,2015-11-10,30-044,OKC,@,WAS,W (+24),0,15:39,1,6,.167,0,3,.000,0,0,,1,0,1,0,0,0,0,3,2,-2.3,+3,2.0
8,2015-11-13,30-047,OKC,,PHI,W (+17),1,21:07,5,8,.625,2,5,.400,0,0,,0,1,1,0,1,0,0,2,12,8.9,-1,2.0
9,2015-11-15,30-049,OKC,,BOS,L (-15),1,14:56,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,1,2,0,-3.2,+7,2.0
10,2015-11-16,30-050,OKC,@,MEM,L (-8),1,28:55,1,4,.250,0,2,.000,0,0,,1,3,4,1,1,0,1,0,2,1.9,+9,2.0
11,2015-11-18,30-052,OKC,,NOP,W (+7),1,13:34,3,8,.375,3,6,.500,0,0,,0,2,2,0,0,0,0,1,9,4.8,+8,2.0
12,2015-11-20,30-054,OKC,,NYK,L (-3),0,22:37,2,6,.333,1,3,.333,0,0,,1,2,3,0,0,0,0,1,5,2.5,+2,2.0
13,2015-11-22,30-056,OKC,,DAL,W (+3),0,24:03,5,9,.556,2,3,.667,2,2,1.000,0,2,2,1,1,1,2,0,14,10.7,+18,2.0
14,2015-11-23,30-057,OKC,@,UTA,W (+22),0,18:51,6,8,.750,3,4,.750,0,0,,0,0,0,1,2,0,0,1,15,14.1,+7,2.0
15,2015-11-25,30-059,OKC,,BRK,W (+11),0,23:37,2,5,.400,2,4,.500,0,0,,0,1,1,1,1,0,2,0,6,3.3,+7,2.0
16,2015-11-27,30-061,OKC,,DET,W (+16),0,7:44,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,1.6,-10,2.0
17,2015-11-30,30-064,OKC,@,ATL,L (-6),0,22:40,3,12,.250,3,6,.500,1,1,1.000,0,3,3,0,0,0,0,1,10,3.3,+19,2.0
18,2015-12-03,30-067,OKC,@,MIA,L (-2),0,15:22,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.2,-4,2.0
19,2015-12-06,30-070,OKC,,SAC,W (+3),0,10:31,3,7,.429,1,3,.333,2,3,.667,0,0,0,0,0,0,0,0,9,4.9,0,2.0
20,2015-12-08,30-072,OKC,@,MEM,W (+37),0,18:49,3,4,.750,1,1,1.000,1,1,1.000,1,2,3,2,0,0,0,2,8,8.3,+7,2.0
21,2015-12-10,30-074,OKC,,ATL,W (+13),0,14:29,3,6,.500,2,3,.667,0,0,,0,1,1,0,0,0,0,1,8,4.9,+3,2.0
22,2015-12-11,30-075,OKC,@,UTA,W (+4),0,9:06,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,2,3,0.9,+2,2.0
23,2015-12-13,30-077,OKC,,UTA,W (+6),0,13:21,1,3,.333,1,2,.500,2,2,1.000,0,2,2,0,1,1,0,0,5,5.6,-1,2.0
24,2015-12-16,30-080,OKC,,POR,W (+16),0,14:45,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,0,0,0,2,1.7,+5,2.0
25,2015-12-19,30-083,OKC,,LAL,W (+40),0,18:49,4,9,.444,2,6,.333,0,0,,0,0,0,1,0,0,0,0,10,6.0,+12,2.0
26,2015-12-21,30-085,OKC,@,LAC,W (+1),0,5:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-2,2.0
27,2015-12-23,30-087,OKC,@,LAL,W (+35),0,19:24,2,8,.250,1,4,.250,0,0,,0,2,2,0,0,0,0,1,5,0.4,-9,2.0
28,2015-12-25,30-089,OKC,,CHI,L (-9),0,20:47,3,6,.500,3,6,.500,0,0,,0,1,1,0,1,0,0,0,9,7.3,0,2.0
29,2015-12-27,30-091,OKC,,DEN,W (+10),0,5:38,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,3.0,0,2.0
30,2015-12-29,30-093,OKC,,MIL,W (+8),0,13:08,3,5,.600,3,5,.600,1,1,1.000,0,1,1,0,0,0,0,2,10,7.2,+17,2.0
31,2015-12-31,30-095,OKC,,PHO,W (+4),0,9:47,2,4,.500,0,1,.000,1,2,.500,0,1,1,0,1,0,0,0,5,3.9,-7,2.0
32,2016-01-02,30-097,OKC,@,CHO,W (+19),0,18:26,4,9,.444,4,8,.500,0,1,.000,0,3,3,0,0,0,0,3,12,6.6,+9,2.0
33,2016-01-04,30-099,OKC,,SAC,L (-12),1,33:51,8,11,.727,3,6,.500,1,2,.500,0,1,1,0,1,0,0,3,20,15.2,+2,2.0
34,2016-01-06,30-101,OKC,,MEM,W (+18),0,18:21,3,4,.750,2,2,1.000,6,6,1.000,1,1,2,0,0,0,0,1,14,13.0,+2,2.0
35,2016-01-08,30-103,OKC,@,LAL,W (+4),0,18:43,2,6,.333,1,4,.250,0,0,,0,1,1,0,0,0,0,3,5,0.7,+5,2.0
36,2016-01-10,30-105,OKC,@,POR,L (-5),0,9:21,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1.1,-6,2.0
37,2016-01-12,30-107,OKC,@,MIN,W (+5),0,11:45,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-0.9,-1,2.0
38,2016-01-13,30-108,OKC,,DAL,W (+19),0,13:16,2,7,.286,2,5,.400,0,0,,0,1,1,1,1,0,0,3,6,2.7,+5,2.0
39,2016-01-15,30-110,OKC,,MIN,W (+20),0,10:30,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,1,0,0,0,-1.4,-7,2.0
40,2016-01-24,30-119,OKC,@,BRK,L (-10),0,4:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+2,2.0
41,2016-01-26,30-121,OKC,@,NYK,W (+6),0,6:41,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,1.9,-7,2.0
42,2016-01-27,30-122,OKC,@,MIN,W (+3),0,13:17,4,6,.667,2,4,.500,0,0,,1,3,4,0,0,0,1,1,10,7.6,+7,2.0
43,2016-01-29,30-124,OKC,,HOU,W (+8),0,10:29,2,5,.400,2,4,.500,0,0,,0,1,1,0,0,0,0,1,6,3.2,-3,2.0
44,2016-02-01,30-127,OKC,,WAS,W (+16),0,9:03,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-1.4,0,2.0
45,2016-02-03,30-129,OKC,,ORL,W (+3),0,9:38,2,8,.250,1,4,.250,0,0,,0,0,0,0,0,0,0,0,5,0.2,+1,2.0
46,2016-02-06,30-132,OKC,@,GSW,L (-8),0,13:15,0,3,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,1,0,-0.8,-5,2.0
47,2016-02-08,30-134,OKC,@,PHO,W (+16),0,3:29,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-4,2.0
48,2016-02-11,30-137,OKC,,NOP,W (+26),0,18:56,4,8,.500,2,4,.500,0,0,,0,1,1,0,0,0,1,2,10,4.5,+7,2.0
