G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,19-237,DEN,@,HOU,W (+20),1,37:54,6,13,.462,3,5,.600,2,4,.500,0,5,5,9,0,0,11,4,17,4.7,+13,1.0
2,2015-10-30,19-239,DEN,,MIN,L (-17),1,26:30,5,15,.333,2,5,.400,3,6,.500,0,2,2,2,2,2,4,2,15,5.9,-13,1.0
3,2015-11-01,19-241,DEN,@,OKC,L (-24),1,26:52,3,14,.214,0,3,.000,0,0,,1,3,4,5,1,0,4,1,6,-0.9,-20,1.0
4,2015-11-03,19-243,DEN,@,LAL,W (+11),1,31:28,3,13,.231,3,4,.750,3,3,1.000,1,1,2,10,1,1,6,4,12,6.2,+10,1.0
5,2015-11-05,19-245,DEN,,UTA,L (-12),1,29:34,2,8,.250,1,3,.333,3,4,.750,1,6,7,3,0,0,3,2,8,3.6,-9,1.0
6,2015-11-06,19-246,DEN,@,GSW,L (-15),1,30:23,6,20,.300,0,4,.000,1,2,.500,1,3,4,5,4,1,4,3,13,5.6,-11,1.0
7,2015-11-09,19-249,DEN,,POR,W (+4),1,28:20,6,12,.500,1,3,.333,5,7,.714,1,5,6,5,0,2,2,3,18,15.1,-4,1.0
8,2015-11-11,19-251,DEN,,MIL,W (+1),1,35:18,5,16,.313,1,6,.167,5,8,.625,1,2,3,11,1,0,1,1,16,14.2,+2,1.0
9,2015-11-13,19-253,DEN,,HOU,W (+9),1,33:22,1,10,.100,0,3,.000,0,0,,1,3,4,11,2,2,9,2,2,-1.7,+7,1.0
10,2015-11-14,19-254,DEN,@,PHO,L (-24),1,24:22,6,18,.333,1,7,.143,0,0,,0,5,5,1,0,1,3,0,13,2.7,-4,1.0
11,2015-11-17,19-257,DEN,@,NOP,W (+17),1,33:23,5,14,.357,0,1,.000,2,3,.667,1,2,3,8,1,2,2,1,12,10.7,+17,1.0
12,2015-11-18,19-258,DEN,@,SAS,L (-11),1,26:50,2,12,.167,0,0,,1,1,1.000,1,2,3,7,0,0,2,2,5,0.8,-18,1.0
13,2015-11-20,19-260,DEN,,PHO,L (-7),1,29:04,10,16,.625,1,3,.333,5,7,.714,1,2,3,5,3,1,6,2,26,19.7,-8,1.0
14,2015-11-22,19-262,DEN,,GSW,L (-13),1,32:42,6,21,.286,1,4,.250,4,4,1.000,1,1,2,8,1,1,3,2,17,9.2,-10,1.0
15,2015-11-24,19-264,DEN,,LAC,L (-17),1,23:34,3,8,.375,1,3,.333,0,0,,1,2,3,4,1,0,3,4,7,3.1,-18,1.0
16,2015-11-27,19-267,DEN,,SAS,L (-11),1,28:50,3,14,.214,0,1,.000,3,3,1.000,1,2,3,3,0,0,2,3,9,0.6,-13,1.0
17,2015-11-28,19-268,DEN,@,DAL,L (-11),1,34:17,5,15,.333,0,3,.000,2,4,.500,0,5,5,4,1,0,2,4,12,4.4,-5,1.0
18,2015-11-30,19-270,DEN,@,MIL,L (-18),1,28:31,3,11,.273,1,5,.200,3,4,.750,0,1,1,4,1,0,5,2,10,1.4,-11,1.0
19,2015-12-02,19-272,DEN,@,CHI,L (-9),1,30:17,2,13,.154,0,2,.000,0,2,.000,1,2,3,7,2,1,2,1,4,1.4,+2,1.0
20,2015-12-03,19-273,DEN,@,TOR,W (+1),1,31:35,2,9,.222,1,2,.500,0,0,,0,3,3,9,0,0,3,2,5,2.9,+12,1.0
21,2015-12-05,19-275,DEN,@,PHI,W (+3),1,31:27,4,12,.333,1,3,.333,1,2,.500,2,3,5,6,1,0,7,1,10,2.9,-3,1.0
22,2015-12-08,19-278,DEN,,ORL,L (-11),1,21:59,2,5,.400,0,1,.000,2,2,1.000,2,1,3,4,1,1,5,1,6,4.1,-6,1.0
23,2015-12-11,19-281,DEN,,MIN,W (+3),1,12:10,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,0,2,2,2,-2.6,-8,1.0
24,2016-01-10,19-311,DEN,,CHO,W (+3),1,38:50,5,15,.333,1,3,.333,0,0,,0,4,4,6,2,1,4,0,11,6.6,-2,1.0
25,2016-01-13,19-314,DEN,,GSW,W (+2),0,16:47,1,7,.143,0,2,.000,2,2,1.000,0,2,2,2,1,0,1,2,4,0.7,-1,1.0
26,2016-01-15,19-316,DEN,,MIA,L (-3),0,25:39,5,11,.455,2,3,.667,4,4,1.000,0,1,1,4,0,1,2,0,16,12.1,+2,1.0
27,2016-01-17,19-318,DEN,,IND,W (+3),1,36:48,4,10,.400,0,1,.000,2,8,.250,0,4,4,6,3,1,7,5,10,2.3,+4,1.0
28,2016-01-19,19-320,DEN,,OKC,L (-6),1,33:14,5,14,.357,0,1,.000,3,7,.429,0,3,3,9,0,0,3,2,13,7.0,-1,1.0
29,2016-01-21,19-322,DEN,,MEM,L (-1),1,32:56,6,13,.462,2,5,.400,0,2,.000,0,3,3,8,0,0,1,2,14,11.2,-3,1.0
30,2016-01-23,19-324,DEN,,DET,W (+3),1,34:31,6,15,.400,1,4,.250,5,6,.833,0,4,4,4,1,1,4,3,18,10.0,+16,1.0
31,2016-01-25,19-326,DEN,,ATL,L (-14),1,30:24,4,13,.308,1,3,.333,1,2,.500,0,1,1,6,1,0,3,2,10,3.8,-11,1.0
32,2016-01-27,19-328,DEN,@,BOS,L (-8),1,26:11,4,10,.400,1,2,.500,4,4,1.000,0,2,2,4,0,0,5,3,13,4.8,-7,1.0
33,2016-01-28,19-329,DEN,@,WAS,W (+4),1,31:12,7,14,.500,1,2,.500,5,6,.833,0,4,4,4,2,0,4,4,20,13.0,+3,1.0
34,2016-01-30,19-331,DEN,@,IND,L (-4),1,36:35,4,10,.400,0,1,.000,3,5,.600,0,5,5,8,0,0,4,2,11,7.1,+1,1.0
35,2016-02-01,19-333,DEN,,TOR,W (+19),1,23:52,2,6,.333,0,2,.000,0,0,,0,0,0,8,2,1,1,1,4,7.5,+9,1.0
36,2016-02-03,19-335,DEN,@,UTA,L (-4),1,32:31,3,10,.300,0,0,,3,6,.500,0,1,1,6,2,0,3,1,9,5.1,0,1.0
37,2016-02-05,19-337,DEN,,CHI,W (+5),1,38:51,8,18,.444,1,2,.500,5,11,.455,0,0,0,5,2,2,2,1,22,14.7,+4,1.0
38,2016-02-07,19-339,DEN,@,NYK,W (+5),1,31:46,6,18,.333,2,6,.333,1,4,.250,0,4,4,9,0,0,0,0,15,11.1,-6,1.0
39,2016-02-08,19-340,DEN,@,BRK,L (-1),1,35:28,3,10,.300,0,1,.000,1,2,.500,1,5,6,8,2,0,4,1,7,6.2,-4,1.0
40,2016-02-10,19-342,DEN,@,DET,W (+11),1,33:59,6,12,.500,1,3,.333,1,3,.333,0,4,4,6,2,1,2,1,14,12.9,+15,1.0
41,2016-02-19,19-351,DEN,@,SAC,L (-6),1,30:15,4,14,.286,0,3,.000,0,0,,0,2,2,4,3,0,5,2,8,0.4,-6,1.0
42,2016-02-21,19-353,DEN,,BOS,L (-20),1,30:35,5,9,.556,2,4,.500,6,6,1.000,1,4,5,3,2,0,4,3,18,14.5,-9,1.0
43,2016-02-23,19-355,DEN,,SAC,L (-4),1,26:20,5,13,.385,1,4,.250,0,0,,0,0,0,4,1,1,0,2,11,7.6,-7,1.0
44,2016-02-24,19-356,DEN,@,LAC,W (+6),1,30:26,1,12,.083,0,2,.000,2,2,1.000,1,4,5,6,1,0,0,2,4,2.3,+8,1.0
45,2016-02-26,19-358,DEN,@,DAL,L (-6),1,26:19,1,5,.200,0,1,.000,2,2,1.000,0,2,2,6,1,0,4,3,4,1.5,-4,1.0
46,2016-02-29,19-361,DEN,,MEM,L (-7),1,32:56,3,9,.333,2,4,.500,0,0,,0,5,5,7,0,2,4,3,8,5.5,-5,1.0
47,2016-03-02,19-363,DEN,,LAL,W (+10),1,33:37,10,20,.500,2,4,.500,0,2,.000,2,2,4,7,0,1,2,2,22,16.0,+25,1.0
48,2016-03-04,19-365,DEN,,BRK,L (-1),1,32:56,9,16,.563,1,3,.333,6,7,.857,3,3,6,7,2,1,3,4,25,23.0,+2,1.0
49,2016-03-06,20-001,DEN,,DAL,W (+2),1,39:43,6,21,.286,3,7,.429,1,2,.500,0,4,4,8,2,2,2,2,16,10.7,+18,1.0
50,2016-03-08,20-003,DEN,,NYK,W (+16),1,30:50,6,19,.316,1,4,.250,2,2,1.000,0,7,7,5,0,0,1,1,15,8.3,+17,1.0
51,2016-03-10,20-005,DEN,,PHO,W (+18),1,34:19,13,20,.650,4,7,.571,0,1,.000,0,2,2,5,0,1,4,4,30,20.0,+20,1.0
52,2016-03-12,20-007,DEN,,WAS,W (+16),1,22:14,4,9,.444,0,2,.000,2,2,1.000,0,0,0,2,1,0,4,4,10,2.1,-11,1.0
53,2016-03-14,20-009,DEN,@,MIA,L (-5),1,32:52,9,19,.474,2,4,.500,3,5,.600,0,3,3,10,0,0,5,2,23,14.6,+4,1.0
54,2016-03-15,20-010,DEN,@,ORL,L (-6),1,27:23,5,12,.417,2,5,.400,2,2,1.000,0,2,2,4,0,0,3,3,14,6.8,-13,1.0
55,2016-03-17,20-012,DEN,@,ATL,L (-18),1,23:13,3,11,.273,1,4,.250,5,6,.833,0,2,2,2,1,0,1,1,12,6.7,-23,1.0
56,2016-03-19,20-014,DEN,@,CHO,W (+8),1,34:19,4,16,.250,1,2,.500,2,4,.500,2,5,7,4,0,0,1,1,11,4.9,0,1.0
57,2016-03-21,20-016,DEN,@,CLE,L (-33),1,26:27,1,11,.091,1,3,.333,2,2,1.000,1,2,3,3,1,0,2,1,5,-0.3,-26,1.0
58,2016-03-23,20-018,DEN,,PHI,W (+1),1,42:02,10,23,.435,3,5,.600,4,5,.800,1,10,11,4,0,1,1,1,27,20.3,+16,1.0
59,2016-03-25,20-020,DEN,@,LAL,W (+11),1,21:09,3,8,.375,0,1,.000,3,4,.750,0,3,3,3,1,0,1,0,9,7.2,-7,1.0
60,2016-03-27,20-022,DEN,@,LAC,L (-15),1,22:35,2,15,.133,0,5,.000,0,0,,1,1,2,1,1,1,2,2,4,-5.1,-17,1.0
61,2016-03-28,20-023,DEN,,DAL,L (-9),1,35:27,5,11,.455,1,3,.333,5,6,.833,0,6,6,7,1,0,4,3,16,12.4,+2,1.0
62,2016-03-30,20-025,DEN,@,MEM,W (+4),1,30:53,6,15,.400,3,7,.429,2,2,1.000,0,2,2,5,0,1,5,2,17,7.9,-3,1.0
63,2016-03-31,20-026,DEN,@,NOP,L (-6),1,25:52,5,12,.417,3,6,.500,0,0,,0,2,2,4,1,0,0,2,13,10.2,-1,1.0
64,2016-04-02,20-028,DEN,,SAC,L (-9),1,29:10,6,17,.353,2,6,.333,1,2,.500,1,2,3,6,0,0,4,6,15,4.2,+1,1.0
65,2016-04-05,20-031,DEN,,OKC,L (-22),1,27:03,6,14,.429,1,6,.167,2,4,.500,0,2,2,4,1,0,5,2,15,5.4,-28,1.0
