G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-06,22-309,LAL,@,BRK,W (+6),0,15:36,2,4,.500,0,0,,2,4,.500,0,5,5,0,0,0,1,3,6,2.5,+9,4.0
2,2015-11-08,22-311,LAL,@,NYK,L (-4),0,17:14,1,2,.500,0,0,,0,0,,1,5,6,0,0,0,1,3,2,1.0,+4,4.0
3,2015-11-10,22-313,LAL,@,MIA,L (-13),0,20:00,3,5,.600,0,0,,0,0,,0,3,3,0,0,0,1,1,6,3.2,+4,4.0
4,2015-11-11,22-314,LAL,@,ORL,L (-2),0,20:00,6,6,1.000,1,1,1.000,0,0,,2,1,3,1,0,0,0,2,13,12.8,+2,4.0
5,2015-11-13,22-316,LAL,@,DAL,L (-8),0,11:23,1,4,.250,0,1,.000,0,0,,1,4,5,0,0,0,0,0,2,1.5,-6,4.0
6,2015-11-15,22-318,LAL,,DET,W (+12),0,17:21,3,5,.600,0,0,,0,0,,2,2,4,0,1,0,0,1,6,6.3,+15,4.0
7,2015-11-16,22-319,LAL,@,PHO,L (-19),0,22:51,0,3,.000,0,0,,0,0,,0,3,3,1,1,0,1,2,0,-1.3,-18,4.0
8,2015-11-20,22-323,LAL,,TOR,L (-11),0,18:27,0,2,.000,0,0,,0,0,,0,2,2,2,0,0,0,1,0,0.2,-27,4.0
9,2015-11-24,22-327,LAL,@,GSW,L (-34),0,17:56,4,7,.571,0,0,,2,2,1.000,2,0,2,2,0,0,0,1,10,9.1,-21,4.0
10,2015-11-28,22-331,LAL,@,POR,L (-12),0,18:08,1,2,.500,0,0,,1,1,1.000,1,2,3,0,2,0,1,2,3,3.5,-9,4.0
11,2015-11-29,22-332,LAL,,IND,L (-4),0,14:39,2,7,.286,0,0,,0,0,,2,1,3,0,1,2,2,1,4,1.6,-1,4.0
12,2015-12-01,22-334,LAL,@,PHI,L (-12),0,5:13,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,0,0,0.7,-3,4.0
13,2015-12-02,22-335,LAL,@,WAS,W (+4),0,16:46,0,0,,0,0,,0,0,,1,2,3,2,0,0,1,3,0,0.5,+13,4.0
