G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,24-108,ORL,,OKC,L (-3),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1.0
2,2015-11-01,24-110,ORL,@,CHI,L (-5),0,16:09,2,5,.400,1,2,.500,2,2,1.000,0,0,0,1,1,0,0,3,7,4.8,+7,1.0
3,2015-11-03,24-112,ORL,@,NOP,W (+9),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,1.0
4,2015-11-04,24-113,ORL,@,HOU,L (-5),0,9:07,1,3,.333,0,2,.000,0,0,,0,1,1,2,0,0,1,0,2,1.0,+3,1.0
5,2015-11-06,24-115,ORL,,TOR,W (+5),0,16:39,2,4,.500,1,2,.500,0,0,,0,2,2,6,0,0,1,1,5,6.4,+12,1.0
6,2015-11-07,24-116,ORL,@,PHI,W (+8),0,9:39,0,1,.000,0,0,,1,2,.500,0,2,2,1,0,0,2,0,1,-0.8,+1,1.0
7,2015-11-09,24-118,ORL,@,IND,L (-13),0,2:11,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,0.3,-2,1.0
8,2015-11-11,24-120,ORL,,LAL,W (+2),0,30:11,8,16,.500,5,9,.556,1,1,1.000,0,0,0,3,1,0,2,3,22,13.9,+2,1.0
9,2015-11-13,24-122,ORL,,UTA,W (+9),0,18:14,1,4,.250,0,1,.000,0,0,,0,1,1,0,2,0,4,2,2,-2.9,-4,1.0
10,2015-11-14,24-123,ORL,@,WAS,L (-9),0,16:24,3,5,.600,0,1,.000,0,0,,0,0,0,1,1,0,4,1,6,1.0,+3,1.0
11,2015-11-18,24-127,ORL,,MIN,W (+3),0,14:43,3,9,.333,2,4,.500,1,1,1.000,0,0,0,1,1,0,0,0,9,5.6,-15,1.0
