G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-162,UTA,@,DET,L (-5),1,26:27,3,6,.500,2,2,1.000,0,0,,0,1,1,3,0,0,1,1,8,6.0,+12,1.0
2,2015-10-30,23-164,UTA,@,PHI,W (+28),1,20:32,2,5,.400,2,2,1.000,1,2,.500,0,0,0,3,3,0,0,2,7,8.2,+14,1.0
3,2015-10-31,23-165,UTA,@,IND,W (+21),1,19:46,0,5,.000,0,1,.000,0,0,,2,0,2,2,0,0,3,1,0,-4.1,+17,1.0
4,2015-11-04,23-169,UTA,,POR,L (-16),1,15:26,2,5,.400,2,5,.400,0,0,,1,2,3,0,1,0,1,0,6,4.6,-10,1.0
5,2015-11-05,23-170,UTA,@,DEN,W (+12),1,12:36,1,4,.250,0,2,.000,0,0,,0,1,1,0,1,1,0,2,2,0.8,-5,1.0
6,2015-11-07,23-172,UTA,,MEM,W (+10),1,12:25,2,7,.286,0,4,.000,0,0,,0,2,2,2,0,0,1,0,4,0.9,+3,1.0
7,2015-11-10,23-175,UTA,@,CLE,L (-4),1,12:33,0,2,.000,0,1,.000,0,0,,0,0,0,5,2,0,0,3,0,2.9,+4,1.0
8,2015-11-12,23-177,UTA,@,MIA,L (-1),1,15:46,0,3,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,4,0,-3.0,-6,1.0
9,2015-11-13,23-178,UTA,@,ORL,L (-9),1,23:50,2,5,.400,1,2,.500,0,0,,0,1,1,7,2,0,2,1,5,7.1,-5,1.0
10,2015-11-15,23-180,UTA,@,ATL,W (+1),1,11:36,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,1,0,2,1.0,-1,1.0
11,2015-11-18,23-183,UTA,,TOR,W (+4),1,17:41,3,5,.600,0,1,.000,0,0,,0,0,0,2,2,0,2,1,6,4.7,+9,1.0
