G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-244,CHI,,CLE,W (+2),0,17:07,0,0,,0,0,,0,2,.000,2,7,9,4,1,0,1,1,0,5.1,+1,5.0
2,2015-10-28,30-245,CHI,@,BRK,W (+15),0,17:46,0,3,.000,0,0,,0,2,.000,1,5,6,2,2,1,2,5,0,-0.6,-8,5.0
3,2015-10-30,30-247,CHI,@,DET,L (-4),0,17:27,1,1,1.000,0,0,,0,2,.000,0,3,3,2,0,1,2,0,2,1.9,+2,5.0
4,2015-11-01,30-249,CHI,,ORL,W (+5),0,24:18,3,6,.500,0,0,,2,2,1.000,3,6,9,4,1,1,2,3,8,10.2,-3,5.0
5,2015-11-03,30-251,CHI,@,CHO,L (-25),0,17:03,0,1,.000,0,0,,0,0,,0,5,5,2,0,0,4,4,0,-3.4,-22,5.0
6,2015-11-05,30-253,CHI,,OKC,W (+6),0,25:57,2,5,.400,0,0,,0,0,,4,3,7,5,0,1,1,4,4,6.6,+16,5.0
7,2015-11-07,30-255,CHI,,MIN,L (-9),0,24:41,1,6,.167,0,0,,1,2,.500,5,6,11,7,1,1,3,4,3,6.1,-2,5.0
8,2015-11-13,30-261,CHI,,CHO,W (+5),0,22:53,1,4,.250,0,0,,1,2,.500,7,11,18,6,1,1,0,3,3,13.1,+11,5.0
9,2015-11-16,30-264,CHI,,IND,W (+1),0,21:04,4,7,.571,0,0,,0,1,.000,0,6,6,4,1,0,0,2,8,9.1,-2,5.0
10,2015-11-18,30-266,CHI,@,PHO,W (+6),0,20:08,0,2,.000,0,0,,0,0,,2,9,11,2,0,1,3,3,0,0.6,+5,5.0
11,2015-11-20,30-268,CHI,@,GSW,L (-12),0,17:13,0,3,.000,0,0,,0,0,,5,2,7,0,1,0,4,2,0,-1.8,-15,5.0
12,2015-11-24,30-272,CHI,@,POR,W (+5),0,20:12,3,6,.500,0,0,,1,2,.500,0,6,6,1,0,2,1,3,7,5.3,+5,5.0
13,2015-11-27,30-275,CHI,@,IND,L (-12),0,18:47,0,2,.000,0,0,,0,0,,1,4,5,0,0,2,2,2,0,-0.9,-6,5.0
14,2015-11-30,30-278,CHI,,SAS,W (+3),0,23:06,4,6,.667,0,0,,0,2,.000,4,7,11,7,0,0,0,5,8,12.4,+10,5.0
15,2015-12-02,30-280,CHI,,DEN,W (+9),0,34:55,3,5,.600,0,0,,3,4,.750,5,6,11,1,0,4,3,3,9,10.9,-3,5.0
16,2015-12-05,30-283,CHI,,CHO,L (-6),0,22:05,0,3,.000,0,0,,2,2,1.000,2,8,10,6,0,1,2,1,2,6.2,0,5.0
17,2015-12-07,30-285,CHI,,PHO,L (-2),0,20:48,1,3,.333,0,0,,1,4,.250,2,7,9,6,1,0,1,0,3,7.8,-1,5.0
18,2015-12-09,30-287,CHI,@,BOS,L (-5),0,20:49,2,5,.400,0,0,,1,2,.500,2,3,5,6,2,1,2,2,5,8.3,-18,5.0
19,2015-12-10,30-288,CHI,,LAC,W (+3),0,20:08,1,5,.200,0,0,,0,0,,6,7,13,2,1,2,3,3,2,4.8,-1,5.0
20,2015-12-12,30-290,CHI,,NOP,W (+4),0,29:33,3,4,.750,0,0,,4,4,1.000,3,6,9,2,0,4,0,4,10,14.9,+6,5.0
21,2015-12-14,30-292,CHI,,PHI,W (+19),0,21:59,2,7,.286,0,1,.000,1,2,.500,3,12,15,8,1,2,1,3,5,12.0,+14,5.0
22,2015-12-16,30-294,CHI,,MEM,W (+13),0,29:26,1,4,.250,0,0,,1,4,.250,2,4,6,5,0,1,2,4,3,2.6,+7,5.0
23,2015-12-18,30-296,CHI,,DET,L (-3),0,25:40,3,5,.600,0,0,,0,0,,5,6,11,4,1,0,3,1,6,9.4,-10,5.0
24,2015-12-19,30-297,CHI,@,NYK,L (-16),1,28:32,9,16,.563,0,0,,3,4,.750,6,4,10,2,1,0,1,1,21,19.4,-15,5.0
25,2015-12-21,30-299,CHI,,BRK,L (-3),0,15:56,2,4,.500,0,0,,0,0,,3,5,8,8,0,2,0,3,4,11.4,+1,5.0
26,2016-01-11,30-320,CHI,,WAS,L (-14),0,18:49,0,7,.000,0,0,,0,0,,4,5,9,4,1,0,2,3,0,0.0,-9,5.0
27,2016-01-12,30-321,CHI,@,MIL,L (-5),0,15:02,1,3,.333,0,0,,1,2,.500,4,3,7,2,0,0,0,3,3,4.8,-5,5.0
28,2016-01-14,30-323,CHI,@,PHI,W (+4),1,38:12,3,8,.375,0,0,,0,0,,5,11,16,8,2,1,7,3,6,8.5,+11,5.0
29,2016-01-15,30-324,CHI,,DAL,L (-6),0,5:51,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,2,2,1.2,-4,5.0
