G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-08,23-105,TOR,@,MIA,L (-20),0,3:26,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,1,0,0,0,3,3.7,0,5.0
2,2015-11-11,23-108,TOR,@,PHI,W (+16),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-2,5.0
3,2015-11-29,23-126,TOR,,PHO,L (-5),0,5:59,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,0,0,2,3.0,-9,5.0
4,2015-12-02,23-129,TOR,@,ATL,W (+10),0,16:28,2,2,1.000,0,0,,0,0,,0,7,7,0,0,1,0,0,4,6.2,+22,5.0
5,2015-12-03,23-130,TOR,,DEN,L (-1),0,15:49,3,3,1.000,0,0,,0,0,,0,1,1,0,1,0,0,1,6,6.0,+3,5.0
6,2015-12-05,23-132,TOR,,GSW,L (-3),0,24:50,7,9,.778,0,0,,0,0,,2,2,4,3,1,0,1,2,14,13.8,+1,5.0
7,2015-12-13,23-140,TOR,,PHI,W (+20),0,14:55,1,4,.250,0,0,,1,2,.500,1,1,2,0,2,1,1,4,3,1.3,-8,5.0
8,2015-12-14,23-141,TOR,@,IND,L (-16),0,7:57,0,0,,0,0,,0,0,,1,0,1,0,0,1,2,3,0,-1.8,-5,5.0
9,2015-12-17,23-144,TOR,@,CHO,L (-10),0,5:28,1,1,1.000,0,0,,1,2,.500,2,1,3,0,0,0,0,0,3,4.0,-5,5.0
10,2015-12-22,23-149,TOR,,DAL,W (+4),0,7:54,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,-4,5.0
11,2015-12-26,23-153,TOR,@,MIL,W (+21),0,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0,5.0
12,2016-01-04,23-162,TOR,@,CLE,L (-22),0,2:56,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,-4,5.0
13,2016-01-06,23-164,TOR,@,BRK,W (+17),0,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,5.0
14,2016-01-18,23-176,TOR,,BRK,W (+12),0,0:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,5.0
15,2016-01-26,23-184,TOR,,WAS,W (+17),0,1:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,0,5.0
16,2016-02-01,23-190,TOR,@,DEN,L (-19),0,13:57,1,2,.500,0,0,,2,2,1.000,1,0,1,0,2,1,1,3,4,4.2,-3,5.0
17,2016-02-08,23-197,TOR,@,DET,W (+14),0,1:45,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-7,5.0
18,2016-02-10,23-199,TOR,@,MIN,L (-5),0,4:02,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-1,5.0
19,2016-02-22,23-211,TOR,@,NYK,W (+27),0,3:21,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+3,5.0
20,2016-02-28,23-217,TOR,@,DET,L (-13),0,5:52,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+13,5.0
21,2016-03-02,23-220,TOR,,UTA,W (+10),0,4:30,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,1,1,2,2.3,+11,5.0
22,2016-03-15,23-233,TOR,@,MIL,W (+18),0,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,5.0
23,2016-03-18,23-236,TOR,,BOS,W (+14),0,6:45,1,2,.500,0,0,,0,2,.000,2,0,2,0,0,2,1,0,2,2.0,-5,5.0
24,2016-03-26,23-244,TOR,@,NOP,W (+24),0,2:42,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+3,5.0
25,2016-03-28,23-246,TOR,,OKC,L (-19),0,3:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4,5.0
26,2016-04-07,23-256,TOR,@,ATL,L (-8),0,4:50,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.2,+2,5.0
27,2016-04-08,23-257,TOR,,IND,W (+13),0,10:53,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,1,1,1,2,0.5,-1,5.0
28,2016-04-12,23-261,TOR,,PHI,W (+24),0,9:10,2,2,1.000,0,0,,0,0,,0,1,1,1,1,1,0,4,4,4.5,+11,5.0
29,2016-04-13,23-262,TOR,@,BRK,W (+7),1,35:36,3,6,.500,0,1,.000,0,0,,3,7,10,3,1,3,2,2,6,9.6,+4,5.0
