G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-13,32-153,OKC,,PHI,W (+17),0,1:08,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,-1,4.0
2,2015-12-08,32-178,OKC,@,MEM,W (+37),0,5:11,1,4,.250,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,0.5,+4,4.0
3,2015-12-16,32-186,OKC,,POR,W (+16),0,2:56,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,4.0
4,2015-12-19,32-189,OKC,,LAL,W (+40),0,6:00,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,0,4.0
5,2015-12-23,32-193,OKC,@,LAL,W (+35),0,5:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+3,4.0
6,2016-02-08,32-240,OKC,@,PHO,W (+16),0,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,4.0
7,2016-02-11,32-243,OKC,,NOP,W (+26),0,2:18,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,1,0,6,4.0,+3,4.0
8,2016-02-22,32-254,MIL,,LAL,W (+7),0,1:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,4.0
9,2016-02-25,32-257,MIL,@,BOS,L (-5),0,7:25,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,1.2,+11,4.0
10,2016-02-27,32-259,MIL,,DET,L (-11),0,11:00,1,2,.500,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,0,4,3.0,-7,4.0
