G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,37-131,DAL,@,PHO,W (+16),1,20:43,5,10,.500,1,1,1.000,0,0,,1,8,9,3,1,1,0,2,11,12.1,+21,4.0
2,2015-10-29,37-132,DAL,@,LAC,L (-16),1,25:02,6,15,.400,1,3,.333,3,3,1.000,1,6,7,2,1,0,0,1,16,12.4,-12,4.0
3,2015-11-01,37-135,DAL,@,LAL,W (+10),1,29:54,10,13,.769,3,5,.600,2,2,1.000,0,9,9,1,1,0,1,3,25,22.1,+13,4.0
4,2015-11-03,37-137,DAL,,TOR,L (-11),1,35:11,6,10,.600,3,4,.750,3,3,1.000,1,6,7,2,1,1,2,1,18,16.6,-8,4.0
5,2015-11-05,37-139,DAL,,CHO,L (-14),1,27:42,4,12,.333,0,3,.000,6,6,1.000,1,5,6,0,0,0,0,1,14,9.0,-15,4.0
6,2015-11-07,37-141,DAL,,NOP,W (+9),1,29:34,8,16,.500,2,4,.500,0,1,.000,0,7,7,3,0,0,2,0,18,11.8,+4,4.0
7,2015-11-10,37-144,DAL,@,NOP,L (-15),1,19:48,7,13,.538,1,5,.200,3,3,1.000,0,4,4,2,0,0,1,0,18,13.3,-6,4.0
8,2015-11-11,37-145,DAL,,LAC,W (+10),1,33:19,11,14,.786,5,6,.833,4,5,.800,2,9,11,1,0,0,2,5,31,26.0,+19,4.0
9,2015-11-13,37-147,DAL,,LAL,W (+8),1,28:39,4,13,.308,1,3,.333,0,1,.000,0,5,5,1,0,1,1,4,9,1.4,-14,4.0
10,2015-11-16,37-150,DAL,@,PHI,W (+6),1,30:39,6,16,.375,3,6,.500,6,6,1.000,0,5,5,0,1,1,1,4,21,12.8,-4,4.0
11,2015-11-18,37-152,DAL,@,BOS,W (+4),1,34:03,9,14,.643,1,2,.500,4,4,1.000,0,7,7,1,1,0,2,3,23,17.4,+18,4.0
12,2015-11-20,37-154,DAL,,UTA,W (+9),1,32:01,8,12,.667,3,3,1.000,0,0,,0,4,4,2,1,3,1,4,19,16.9,+15,4.0
13,2015-11-22,37-156,DAL,@,OKC,L (-3),1,34:18,5,7,.714,0,0,,1,2,.500,1,1,2,3,0,0,1,0,11,9.8,-5,4.0
14,2015-11-24,37-158,DAL,@,MEM,L (-14),1,28:59,5,15,.333,2,5,.400,2,2,1.000,0,10,10,0,1,1,0,2,14,9.4,-2,4.0
15,2015-11-25,37-159,DAL,@,SAS,L (-5),1,35:24,5,8,.625,0,1,.000,3,3,1.000,2,12,14,2,1,0,1,2,13,15.0,-5,4.0
16,2015-11-28,37-162,DAL,,DEN,W (+11),1,30:36,4,9,.444,1,3,.333,4,4,1.000,0,7,7,2,3,0,0,1,13,14.4,+14,4.0
17,2015-11-30,37-164,DAL,@,SAC,L (-14),1,28:46,5,15,.333,0,4,.000,3,4,.750,1,6,7,0,0,2,0,3,13,6.8,-7,4.0
18,2015-12-01,37-165,DAL,@,POR,W (+3),1,36:31,11,24,.458,2,7,.286,4,4,1.000,2,5,7,6,0,1,3,1,28,20.0,+18,4.0
19,2015-12-04,37-168,DAL,,HOU,L (-4),1,31:20,6,15,.400,0,3,.000,4,4,1.000,1,9,10,4,2,0,0,2,16,15.3,-10,4.0
20,2015-12-06,37-170,DAL,@,WAS,W (+12),1,28:11,5,8,.625,1,1,1.000,8,10,.800,1,5,6,4,0,1,1,0,19,19.3,+9,4.0
21,2015-12-07,37-171,DAL,@,NYK,W (+7),1,32:46,9,18,.500,2,4,.500,5,6,.833,1,5,6,2,0,0,0,0,25,19.2,+21,4.0
22,2015-12-09,37-173,DAL,,ATL,L (-3),1,31:03,6,20,.300,1,8,.125,0,0,,3,5,8,2,3,1,2,1,13,7.7,-5,4.0
23,2015-12-12,37-176,DAL,,WAS,L (-3),1,31:16,3,9,.333,1,3,.333,6,6,1.000,1,5,6,2,0,2,0,1,13,12.5,+5,4.0
24,2015-12-14,37-178,DAL,,PHO,W (+10),1,29:17,5,10,.500,0,1,.000,4,5,.800,1,6,7,4,0,0,2,4,14,10.3,+4,4.0
25,2015-12-16,37-180,DAL,@,IND,L (-26),1,25:33,6,16,.375,1,7,.143,0,0,,0,7,7,0,0,2,2,0,13,5.7,-17,4.0
26,2015-12-18,37-182,DAL,,MEM,W (+9),1,28:16,7,13,.538,2,3,.667,4,4,1.000,2,3,5,1,0,1,1,1,20,16.0,+13,4.0
